ward,precinct,total,Darlena Williams-Burnett,Darlena Williams-Burnett Percent,precinct_id
1,1,67,67,100.0,01001
1,6,63,63,100.0,01006
1,11,6,6,100.0,01011
1,44,7,7,100.0,01044
2,1,114,114,100.0,02001
2,2,4,4,100.0,02002
2,3,86,86,100.0,02003
2,4,88,88,100.0,02004
2,5,77,77,100.0,02005
2,6,54,54,100.0,02006
2,7,169,169,100.0,02007
2,8,136,136,100.0,02008
2,9,91,91,100.0,02009
2,10,23,23,100.0,02010
2,11,64,64,100.0,02011
2,12,69,69,100.0,02012
2,13,112,112,100.0,02013
2,15,21,21,100.0,02015
2,16,74,74,100.0,02016
2,17,103,103,100.0,02017
2,18,112,112,100.0,02018
2,19,7,7,100.0,02019
2,20,9,9,100.0,02020
2,21,163,163,100.0,02021
2,22,197,197,100.0,02022
2,23,85,85,100.0,02023
2,24,69,69,100.0,02024
2,25,65,65,100.0,02025
2,26,148,148,100.0,02026
2,27,101,101,100.0,02027
2,28,34,34,100.0,02028
2,29,48,48,100.0,02029
2,30,56,56,100.0,02030
2,32,50,50,100.0,02032
2,33,68,68,100.0,02033
2,34,152,152,100.0,02034
2,35,31,31,100.0,02035
2,36,65,65,100.0,02036
2,37,124,124,100.0,02037
2,38,147,147,100.0,02038
2,39,93,93,100.0,02039
2,40,154,154,100.0,02040
2,41,62,62,100.0,02041
2,42,26,26,100.0,02042
2,43,186,186,100.0,02043
2,45,100,100,100.0,02045
2,47,113,113,100.0,02047
2,48,80,80,100.0,02048
2,49,87,87,100.0,02049
2,50,72,72,100.0,02050
2,51,55,55,100.0,02051
2,52,138,138,100.0,02052
2,53,43,43,100.0,02053
2,54,95,95,100.0,02054
2,55,29,29,100.0,02055
2,56,129,129,100.0,02056
2,57,120,120,100.0,02057
2,58,47,47,100.0,02058
2,59,137,137,100.0,02059
2,60,124,124,100.0,02060
2,61,72,72,100.0,02061
3,1,145,145,100.0,03001
3,2,198,198,100.0,03002
3,3,90,90,100.0,03003
3,4,91,91,100.0,03004
3,6,53,53,100.0,03006
3,8,54,54,100.0,03008
3,9,107,107,100.0,03009
3,10,59,59,100.0,03010
3,11,121,121,100.0,03011
3,12,117,117,100.0,03012
3,14,88,88,100.0,03014
3,15,118,118,100.0,03015
3,16,114,114,100.0,03016
3,17,79,79,100.0,03017
3,18,90,90,100.0,03018
3,19,4,4,100.0,03019
3,20,96,96,100.0,03020
3,21,56,56,100.0,03021
3,22,72,72,100.0,03022
3,23,24,24,100.0,03023
3,24,94,94,100.0,03024
3,25,100,100,100.0,03025
3,26,111,111,100.0,03026
3,27,120,120,100.0,03027
3,28,44,44,100.0,03028
3,29,96,96,100.0,03029
3,31,166,166,100.0,03031
3,32,82,82,100.0,03032
3,33,146,146,100.0,03033
3,35,104,104,100.0,03035
3,36,39,39,100.0,03036
3,37,44,44,100.0,03037
3,39,194,194,100.0,03039
3,40,86,86,100.0,03040
3,41,82,82,100.0,03041
3,42,87,87,100.0,03042
3,43,46,46,100.0,03043
3,45,79,79,100.0,03045
3,46,68,68,100.0,03046
3,47,81,81,100.0,03047
3,48,96,96,100.0,03048
3,49,18,18,100.0,03049
3,50,97,97,100.0,03050
3,52,48,48,100.0,03052
3,54,127,127,100.0,03054
4,4,185,185,100.0,04004
4,5,157,157,100.0,04005
4,6,73,73,100.0,04006
4,7,146,146,100.0,04007
4,10,171,171,100.0,04010
4,11,159,159,100.0,04011
4,14,115,115,100.0,04014
4,15,105,105,100.0,04015
4,25,174,174,100.0,04025
4,27,156,156,100.0,04027
4,35,102,102,100.0,04035
4,36,81,81,100.0,04036
4,42,189,189,100.0,04042
4,53,155,155,100.0,04053
11,14,63,63,100.0,11014
11,27,83,83,100.0,11027
11,28,107,107,100.0,11028
11,34,28,28,100.0,11034
11,36,32,32,100.0,11036
11,46,72,72,100.0,11046
12,1,11,11,100.0,12001
12,6,6,6,100.0,12006
12,18,19,19,100.0,12018
16,15,112,112,100.0,16015
16,16,116,116,100.0,16016
16,18,82,82,100.0,16018
16,20,106,106,100.0,16020
16,22,88,88,100.0,16022
16,24,59,59,100.0,16024
16,29,63,63,100.0,16029
16,30,68,68,100.0,16030
16,33,87,87,100.0,16033
20,27,71,71,100.0,20027
20,31,113,113,100.0,20031
20,40,78,78,100.0,20040
20,45,82,82,100.0,20045
20,48,52,52,100.0,20048
22,7,119,119,100.0,22007
22,19,93,93,100.0,22019
22,21,132,132,100.0,22021
24,1,92,92,100.0,24001
24,2,75,75,100.0,24002
24,3,102,102,100.0,24003
24,4,114,114,100.0,24004
24,5,114,114,100.0,24005
24,6,136,136,100.0,24006
24,7,110,110,100.0,24007
24,8,87,87,100.0,24008
24,9,90,90,100.0,24009
24,10,106,106,100.0,24010
24,11,58,58,100.0,24011
24,12,86,86,100.0,24012
24,13,98,98,100.0,24013
24,14,161,161,100.0,24014
24,15,105,105,100.0,24015
24,16,78,78,100.0,24016
24,17,99,99,100.0,24017
24,18,63,63,100.0,24018
24,19,95,95,100.0,24019
24,20,132,132,100.0,24020
24,21,74,74,100.0,24021
24,22,104,104,100.0,24022
24,23,103,103,100.0,24023
24,24,90,90,100.0,24024
24,25,100,100,100.0,24025
24,26,127,127,100.0,24026
24,27,76,76,100.0,24027
24,28,131,131,100.0,24028
24,29,123,123,100.0,24029
24,30,87,87,100.0,24030
24,31,85,85,100.0,24031
24,32,105,105,100.0,24032
24,33,85,85,100.0,24033
24,34,112,112,100.0,24034
24,35,116,116,100.0,24035
24,36,87,87,100.0,24036
24,37,123,123,100.0,24037
24,38,113,113,100.0,24038
24,39,108,108,100.0,24039
24,40,144,144,100.0,24040
24,41,109,109,100.0,24041
24,42,93,93,100.0,24042
24,43,133,133,100.0,24043
24,44,45,45,100.0,24044
24,45,93,93,100.0,24045
24,46,137,137,100.0,24046
24,47,104,104,100.0,24047
24,48,52,52,100.0,24048
24,49,154,154,100.0,24049
24,50,153,153,100.0,24050
24,51,171,171,100.0,24051
24,52,94,94,100.0,24052
24,54,62,62,100.0,24054
24,55,60,60,100.0,24055
24,56,138,138,100.0,24056
24,58,130,130,100.0,24058
24,59,65,65,100.0,24059
25,3,57,57,100.0,25003
25,4,113,113,100.0,25004
25,5,7,7,100.0,25005
25,8,5,5,100.0,25008
25,10,61,61,100.0,25010
25,14,56,56,100.0,25014
25,16,38,38,100.0,25016
25,18,98,98,100.0,25018
25,21,67,67,100.0,25021
25,25,80,80,100.0,25025
25,26,61,61,100.0,25026
25,27,75,75,100.0,25027
25,28,118,118,100.0,25028
25,29,116,116,100.0,25029
26,17,31,31,100.0,26017
26,28,7,7,100.0,26028
26,33,25,25,100.0,26033
26,46,46,46,100.0,26046
27,1,55,55,100.0,27001
27,2,109,109,100.0,27002
27,3,95,95,100.0,27003
27,4,67,67,100.0,27004
27,5,18,18,100.0,27005
27,6,62,62,100.0,27006
27,7,61,61,100.0,27007
27,8,120,120,100.0,27008
27,9,128,128,100.0,27009
27,10,163,163,100.0,27010
27,11,121,121,100.0,27011
27,12,46,46,100.0,27012
27,14,145,145,100.0,27014
27,15,74,74,100.0,27015
27,16,20,20,100.0,27016
27,17,51,51,100.0,27017
27,18,43,43,100.0,27018
27,19,88,88,100.0,27019
27,20,180,180,100.0,27020
27,21,85,85,100.0,27021
27,22,103,103,100.0,27022
27,23,21,21,100.0,27023
27,24,84,84,100.0,27024
27,25,73,73,100.0,27025
27,26,119,119,100.0,27026
27,27,53,53,100.0,27027
27,28,100,100,100.0,27028
27,29,68,68,100.0,27029
27,30,62,62,100.0,27030
27,31,86,86,100.0,27031
27,33,74,74,100.0,27033
27,34,96,96,100.0,27034
27,36,87,87,100.0,27036
27,37,67,67,100.0,27037
27,39,62,62,100.0,27039
27,40,56,56,100.0,27040
27,42,44,44,100.0,27042
27,43,59,59,100.0,27043
27,44,88,88,100.0,27044
27,45,86,86,100.0,27045
27,46,121,121,100.0,27046
27,47,70,70,100.0,27047
27,48,107,107,100.0,27048
27,49,107,107,100.0,27049
27,50,70,70,100.0,27050
27,51,53,53,100.0,27051
27,52,79,79,100.0,27052
27,53,65,65,100.0,27053
27,54,39,39,100.0,27054
27,55,100,100,100.0,27055
27,57,56,56,100.0,27057
27,58,54,54,100.0,27058
28,1,126,126,100.0,28001
28,2,108,108,100.0,28002
28,3,73,73,100.0,28003
28,4,143,143,100.0,28004
28,5,95,95,100.0,28005
28,6,81,81,100.0,28006
28,7,95,95,100.0,28007
28,8,98,98,100.0,28008
28,9,76,76,100.0,28009
28,10,35,35,100.0,28010
28,11,99,99,100.0,28011
28,12,81,81,100.0,28012
28,13,55,55,100.0,28013
28,14,70,70,100.0,28014
28,15,108,108,100.0,28015
28,16,84,84,100.0,28016
28,17,104,104,100.0,28017
28,18,139,139,100.0,28018
28,19,117,117,100.0,28019
28,20,119,119,100.0,28020
28,21,136,136,100.0,28021
