ward,precinct,total,La Shawn K. Ford,La Shawn K. Ford Percent,Calvin Giles,Calvin Giles Percent,precinct_id
24,7,148,105,70.95,43,29.05,24007
24,16,104,57,54.81,47,45.19,24016
24,41,141,86,60.99,55,39.01,24041
24,46,165,103,62.42,62,37.58,24046
28,1,144,90,62.5,54,37.5,28001
28,4,173,85,49.13,88,50.87,28004
28,8,111,55,49.55,56,50.45,28008
28,12,100,49,49.0,51,51.0,28012
28,14,87,41,47.13,46,52.87,28014
28,15,127,86,67.72,41,32.28,28015
28,17,129,84,65.12,45,34.88,28017
28,19,154,107,69.48,47,30.52,28019
28,21,159,89,55.97,70,44.03,28021
28,27,163,112,68.71,51,31.29,28027
28,39,136,80,58.82,56,41.18,28039
28,40,175,90,51.43,85,48.57,28040
28,41,141,98,69.5,43,30.5,28041
28,42,111,51,45.95,60,54.05,28042
28,45,146,82,56.16,64,43.84,28045
28,46,157,98,62.42,59,37.58,28046
28,51,128,83,64.84,45,35.16,28051
28,55,104,52,50.0,52,50.0,28055
28,56,142,107,75.35,35,24.65,28056
28,57,156,91,58.33,65,41.67,28057
28,58,145,82,56.55,63,43.45,28058
28,60,78,44,56.41,34,43.59,28060
29,1,187,81,43.32,106,56.68,29001
29,3,249,119,47.79,130,52.21,29003
29,10,131,52,39.69,79,60.31,29010
29,12,216,135,62.5,81,37.5,29012
29,14,277,144,51.99,133,48.01,29014
29,15,209,135,64.59,74,35.41,29015
29,17,156,114,73.08,42,26.92,29017
29,22,132,81,61.36,51,38.64,29022
29,25,181,73,40.33,108,59.67,29025
29,28,234,132,56.41,102,43.59,29028
29,31,149,92,61.74,57,38.26,29031
29,34,120,67,55.83,53,44.17,29034
29,36,192,92,47.92,100,52.08,29036
29,38,203,108,53.2,95,46.8,29038
29,42,221,127,57.47,94,42.53,29042
29,48,149,64,42.95,85,57.05,29048
29,49,229,77,33.62,152,66.38,29049
37,2,87,48,55.17,39,44.83,37002
37,3,21,6,28.57,15,71.43,37003
37,10,195,113,57.95,82,42.05,37010
37,14,253,167,66.01,86,33.99,37014
37,15,189,122,64.55,67,35.45,37015
37,16,184,108,58.7,76,41.3,37016
37,20,177,124,70.06,53,29.94,37020
37,21,196,133,67.86,63,32.14,37021
37,22,101,56,55.45,45,44.55,37022
37,23,133,93,69.92,40,30.08,37023
37,24,166,104,62.65,62,37.35,37024
37,25,211,134,63.51,77,36.49,37025
37,26,189,112,59.26,77,40.74,37026
37,27,221,143,64.71,78,35.29,37027
37,30,140,68,48.57,72,51.43,37030
37,31,199,127,63.82,72,36.18,37031
37,33,153,108,70.59,45,29.41,37033
37,34,185,104,56.22,81,43.78,37034
37,36,188,155,82.45,33,17.55,37036
37,40,185,129,69.73,56,30.27,37040
37,41,213,133,62.44,80,37.56,37041
37,43,162,94,58.02,68,41.98,37043
