ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Robert Dallas,Robert Dallas Percent,Jim Ascot,Jim Ascot Percent,precinct_id
1,1,80,49,61.25,8,10.0,23,28.75,01001
1,6,80,48,60.0,7,8.75,25,31.25,01006
1,11,9,3,33.33,1,11.11,5,55.56,01011
1,44,9,7,77.78,1,11.11,1,11.11,01044
2,1,136,114,83.82,7,5.15,15,11.03,02001
2,2,4,4,100.0,0,0.0,0,0.0,02002
2,3,99,82,82.83,9,9.09,8,8.08,02003
2,4,119,116,97.48,1,0.84,2,1.68,02004
2,5,88,81,92.05,3,3.41,4,4.55,02005
2,6,71,55,77.46,0,0.0,16,22.54,02006
2,7,206,191,92.72,5,2.43,10,4.85,02007
2,8,164,143,87.2,7,4.27,14,8.54,02008
2,9,113,110,97.35,1,0.88,2,1.77,02009
2,10,28,27,96.43,1,3.57,0,0.0,02010
2,11,88,59,67.05,1,1.14,28,31.82,02011
2,12,100,70,70.0,7,7.0,23,23.0,02012
2,13,131,115,87.79,3,2.29,13,9.92,02013
2,15,22,22,100.0,0,0.0,0,0.0,02015
2,16,94,73,77.66,4,4.26,17,18.09,02016
2,17,117,111,94.87,3,2.56,3,2.56,02017
2,18,145,112,77.24,5,3.45,28,19.31,02018
2,19,7,7,100.0,0,0.0,0,0.0,02019
2,20,13,10,76.92,1,7.69,2,15.38,02020
2,21,213,206,96.71,1,0.47,6,2.82,02021
2,22,256,189,73.83,5,1.95,62,24.22,02022
2,23,104,92,88.46,4,3.85,8,7.69,02023
2,24,79,79,100.0,0,0.0,0,0.0,02024
2,25,74,58,78.38,7,9.46,9,12.16,02025
2,26,189,164,86.77,5,2.65,20,10.58,02026
2,27,126,119,94.44,4,3.17,3,2.38,02027
2,28,40,27,67.5,2,5.0,11,27.5,02028
2,29,50,44,88.0,4,8.0,2,4.0,02029
2,30,78,72,92.31,6,7.69,0,0.0,02030
2,32,53,52,98.11,0,0.0,1,1.89,02032
2,33,83,83,100.0,0,0.0,0,0.0,02033
2,34,189,182,96.3,4,2.12,3,1.59,02034
2,35,34,28,82.35,0,0.0,6,17.65,02035
2,36,88,85,96.59,1,1.14,2,2.27,02036
2,37,152,111,73.03,3,1.97,38,25.0,02037
2,38,184,175,95.11,5,2.72,4,2.17,02038
2,39,117,104,88.89,7,5.98,6,5.13,02039
2,40,186,154,82.8,8,4.3,24,12.9,02040
2,41,67,65,97.01,2,2.99,0,0.0,02041
2,42,26,23,88.46,0,0.0,3,11.54,02042
2,43,230,191,83.04,8,3.48,31,13.48,02043
2,45,112,110,98.21,0,0.0,2,1.79,02045
2,47,129,125,96.9,3,2.33,1,0.78,02047
2,48,103,100,97.09,2,1.94,1,0.97,02048
2,49,118,96,81.36,10,8.47,12,10.17,02049
2,50,79,67,84.81,4,5.06,8,10.13,02050
2,51,77,74,96.1,2,2.6,1,1.3,02051
2,52,156,149,95.51,5,3.21,2,1.28,02052
