ward,precinct,total,Carl Anthony Walker,Carl Anthony Walker Percent,Bonita Coleman-John,Bonita Coleman-John Percent,precinct_id
5,12,111,69,62.16,42,37.84,05012
5,50,30,17,56.67,13,43.33,05050
6,1,252,165,65.48,87,34.52,06001
6,2,227,159,70.04,68,29.96,06002
6,3,215,130,60.47,85,39.53,06003
6,4,115,72,62.61,43,37.39,06004
6,5,90,61,67.78,29,32.22,06005
6,6,163,101,61.96,62,38.04,06006
6,8,225,153,68.0,72,32.0,06008
6,9,186,125,67.2,61,32.8,06009
6,10,268,153,57.09,115,42.91,06010
6,11,189,122,64.55,67,35.45,06011
6,12,128,77,60.16,51,39.84,06012
6,13,179,119,66.48,60,33.52,06013
6,14,171,105,61.4,66,38.6,06014
6,16,210,153,72.86,57,27.14,06016
6,17,234,158,67.52,76,32.48,06017
6,19,196,120,61.22,76,38.78,06019
6,21,183,133,72.68,50,27.32,06021
6,22,176,110,62.5,66,37.5,06022
6,23,151,84,55.63,67,44.37,06023
6,24,226,160,70.8,66,29.2,06024
6,25,150,115,76.67,35,23.33,06025
6,26,220,143,65.0,77,35.0,06026
6,27,255,193,75.69,62,24.31,06027
6,28,371,299,80.59,72,19.41,06028
6,29,242,154,63.64,88,36.36,06029
6,31,220,139,63.18,81,36.82,06031
6,34,167,113,67.66,54,32.34,06034
6,35,176,96,54.55,80,45.45,06035
6,36,94,47,50.0,47,50.0,06036
6,37,232,146,62.93,86,37.07,06037
6,38,188,113,60.11,75,39.89,06038
6,39,109,71,65.14,38,34.86,06039
6,40,97,64,65.98,33,34.02,06040
6,41,202,126,62.38,76,37.62,06041
6,42,79,56,70.89,23,29.11,06042
6,43,185,112,60.54,73,39.46,06043
6,44,181,117,64.64,64,35.36,06044
6,45,127,79,62.2,48,37.8,06045
6,46,172,110,63.95,62,36.05,06046
6,47,207,135,65.22,72,34.78,06047
6,49,165,89,53.94,76,46.06,06049
6,50,201,147,73.13,54,26.87,06050
6,51,134,76,56.72,58,43.28,06051
6,52,124,84,67.74,40,32.26,06052
6,53,169,119,70.41,50,29.59,06053
6,54,183,113,61.75,70,38.25,06054
6,55,145,93,64.14,52,35.86,06055
6,56,123,75,60.98,48,39.02,06056
6,57,105,67,63.81,38,36.19,06057
6,58,223,153,68.61,70,31.39,06058
6,59,173,114,65.9,59,34.1,06059
6,60,130,91,70.0,39,30.0,06060
6,63,160,101,63.13,59,36.88,06063
6,64,236,151,63.98,85,36.02,06064
7,1,208,119,57.21,89,42.79,07001
7,2,214,135,63.08,79,36.92,07002
7,3,94,69,73.4,25,26.6,07003
7,4,123,79,64.23,44,35.77,07004
7,5,115,75,65.22,40,34.78,07005
7,6,128,91,71.09,37,28.91,07006
7,7,87,60,68.97,27,31.03,07007
7,8,55,35,63.64,20,36.36,07008
7,10,96,74,77.08,22,22.92,07010
7,12,116,80,68.97,36,31.03,07012
7,13,112,65,58.04,47,41.96,07013
7,14,167,84,50.3,83,49.7,07014
7,15,82,42,51.22,40,48.78,07015
