ward,precinct,total,Rahm Emanuel,Rahm Emanuel Percent,John Haptonstall (Johnny Hap),John Haptonstall (Johnny Hap) Percent,Mark Arnold Fredrickson,Mark Arnold Fredrickson Percent,precinct_id
1,7,1,1,100.0,0,0.0,0,0.0,01007
1,28,3,2,66.67,0,0.0,1,33.33,01028
1,42,3,3,100.0,0,0.0,0,0.0,01042
29,2,90,69,76.67,6,6.67,15,16.67,29002
29,9,88,73,82.95,8,9.09,7,7.95,29009
29,24,79,59,74.68,5,6.33,15,18.99,29024
29,30,88,80,90.91,4,4.55,4,4.55,29030
29,32,89,72,80.9,10,11.24,7,7.87,29032
30,1,128,110,85.94,7,5.47,11,8.59,30001
30,2,99,86,86.87,5,5.05,8,8.08,30002
30,3,139,117,84.17,11,7.91,11,7.91,30003
30,6,66,50,75.76,8,12.12,8,12.12,30006
30,7,79,70,88.61,3,3.8,6,7.59,30007
30,8,103,79,76.7,11,10.68,13,12.62,30008
30,9,136,101,74.26,14,10.29,21,15.44,30009
30,10,68,57,83.82,5,7.35,6,8.82,30010
30,11,60,51,85.0,2,3.33,7,11.67,30011
30,12,76,65,85.53,5,6.58,6,7.89,30012
30,13,77,65,84.42,11,14.29,1,1.3,30013
30,14,29,21,72.41,5,17.24,3,10.34,30014
30,15,145,120,82.76,6,4.14,19,13.1,30015
30,16,100,86,86.0,7,7.0,7,7.0,30016
30,17,53,44,83.02,4,7.55,5,9.43,30017
30,25,40,27,67.5,6,15.0,7,17.5,30025
30,28,88,73,82.95,7,7.95,8,9.09,30028
30,30,126,112,88.89,6,4.76,8,6.35,30030
30,34,131,106,80.92,13,9.92,12,9.16,30034
30,37,88,69,78.41,7,7.95,12,13.64,30037
30,38,138,119,86.23,8,5.8,11,7.97,30038
30,39,102,85,83.33,4,3.92,13,12.75,30039
30,40,75,53,70.67,11,14.67,11,14.67,30040
31,3,94,84,89.36,3,3.19,7,7.45,31003
31,8,76,65,85.53,6,7.89,5,6.58,31008
31,9,69,56,81.16,5,7.25,8,11.59,31009
31,15,40,36,90.0,2,5.0,2,5.0,31015
31,16,28,24,85.71,1,3.57,3,10.71,31016
31,19,77,56,72.73,12,15.58,9,11.69,31019
31,26,48,41,85.42,2,4.17,5,10.42,31026
31,28,68,50,73.53,9,13.24,9,13.24,31028
31,29,71,64,90.14,2,2.82,5,7.04,31029
31,32,82,63,76.83,12,14.63,7,8.54,31032
31,33,66,52,78.79,5,7.58,9,13.64,31033
31,35,45,32,71.11,5,11.11,8,17.78,31035
31,38,49,39,79.59,3,6.12,7,14.29,31038
31,41,56,46,82.14,5,8.93,5,8.93,31041
31,43,90,72,80.0,10,11.11,8,8.89,31043
31,45,71,59,83.1,4,5.63,8,11.27,31045
31,46,71,59,83.1,5,7.04,7,9.86,31046
31,47,99,79,79.8,8,8.08,12,12.12,31047
31,48,71,50,70.42,10,14.08,11,15.49,31048
31,50,70,51,72.86,6,8.57,13,18.57,31050
32,7,55,47,,8,,0,,32007
32,8,118,100,84.75,8,6.78,10,8.47,32008
32,9,171,149,87.13,12,7.02,10,5.85,32009
32,10,84,69,82.14,6,7.14,9,10.71,32010
32,13,33,24,72.73,5,15.15,4,12.12,32013
32,15,72,59,81.94,8,11.11,5,6.94,32015
32,18,68,56,82.35,5,7.35,7,10.29,32018
32,19,98,80,81.63,7,7.14,11,11.22,32019
32,20,98,90,91.84,4,4.08,4,4.08,32020
32,21,86,74,86.05,4,4.65,8,9.3,32021
32,22,128,116,90.63,6,4.69,6,4.69,32022
32,23,135,121,89.63,6,4.44,8,5.93,32023
32,24,77,65,84.42,4,5.19,8,10.39,32024
32,25,86,71,82.56,10,11.63,5,5.81,32025
32,27,90,85,94.44,3,3.33,2,2.22,32027
32,30,76,69,90.79,5,6.58,2,2.63,32030
32,32,89,78,87.64,3,3.37,8,8.99,32032
32,37,80,63,78.75,8,10.0,9,11.25,32037
32,38,94,80,85.11,4,4.26,10,10.64,32038
32,39,120,100,83.33,15,12.5,5,4.17,32039
32,40,115,94,81.74,12,10.43,9,7.83,32040
32,41,116,96,82.76,13,11.21,7,6.03,32041
32,42,127,107,84.25,10,7.87,10,7.87,32042
32,43,121,103,85.12,9,7.44,9,7.44,32043
32,44,111,91,81.98,13,11.71,7,6.31,32044
32,45,102,80,78.43,11,10.78,11,10.78,32045
32,47,116,89,76.72,13,11.21,14,12.07,32047
32,48,129,106,82.17,10,7.75,13,10.08,32048
32,49,71,57,80.28,4,5.63,10,14.08,32049
32,50,15,9,,6,,0,,32050
33,5,106,85,80.19,7,6.6,14,13.21,33005
33,7,273,239,87.55,14,5.13,20,7.33,33007
33,9,174,155,89.08,11,6.32,8,4.6,33009
33,10,243,208,85.6,15,6.17,20,8.23,33010
33,14,99,76,76.77,15,15.15,8,8.08,33014
33,18,48,32,66.67,6,12.5,10,20.83,33018
33,22,141,128,90.78,7,4.96,6,4.26,33022
33,23,174,143,82.18,16,9.2,15,8.62,33023
33,24,249,225,90.36,10,4.02,14,5.62,33024
33,25,176,137,77.84,15,8.52,24,13.64,33025
35,22,39,31,79.49,4,10.26,4,10.26,35022
35,33,131,104,79.39,12,9.16,15,11.45,35033
36,1,141,129,91.49,6,4.26,6,4.26,36001
36,2,124,99,79.84,14,11.29,11,8.87,36002
36,3,228,202,88.6,9,3.95,17,7.46,36003
36,5,110,97,88.18,6,5.45,7,6.36,36005
36,6,132,110,83.33,9,6.82,13,9.85,36006
36,7,95,82,86.32,8,8.42,5,5.26,36007
36,8,136,110,80.88,8,5.88,18,13.24,36008
36,9,123,108,87.8,6,4.88,9,7.32,36009
36,10,82,69,84.15,5,6.1,8,9.76,36010
36,11,181,151,83.43,14,7.73,16,8.84,36011
36,12,87,60,68.97,12,13.79,15,17.24,36012
36,13,279,250,89.61,14,5.02,15,5.38,36013
36,14,182,155,85.16,9,4.95,18,9.89,36014
36,15,128,109,85.16,4,3.13,15,11.72,36015
36,16,257,222,86.38,18,7.0,17,6.61,36016
36,17,132,110,83.33,10,7.58,12,9.09,36017
36,18,177,138,77.97,19,10.73,20,11.3,36018
36,19,157,137,87.26,13,8.28,7,4.46,36019
36,20,168,137,81.55,20,11.9,11,6.55,36020
36,21,213,175,82.16,19,8.92,19,8.92,36021
36,22,182,141,77.47,12,6.59,29,15.93,36022
36,25,96,85,88.54,3,3.13,8,8.33,36025
36,26,143,121,84.62,10,6.99,12,8.39,36026
36,27,87,67,77.01,7,8.05,13,14.94,36027
36,28,133,111,83.46,5,3.76,17,12.78,36028
36,29,119,103,86.55,8,6.72,8,6.72,36029
36,30,152,119,78.29,11,7.24,22,14.47,36030
36,31,158,137,86.71,12,7.59,9,5.7,36031
36,32,134,113,84.33,7,5.22,14,10.45,36032
36,33,72,60,83.33,4,5.56,8,11.11,36033
36,34,112,86,76.79,9,8.04,17,15.18,36034
36,35,193,164,84.97,13,6.74,16,8.29,36035
36,36,116,98,84.48,10,8.62,8,6.9,36036
36,37,101,88,87.13,7,6.93,6,5.94,36037
36,38,82,71,86.59,5,6.1,6,7.32,36038
36,39,126,96,76.19,16,12.7,14,11.11,36039
36,40,140,118,84.29,9,6.43,13,9.29,36040
36,41,103,86,83.5,6,5.83,11,10.68,36041
36,42,103,87,84.47,5,4.85,11,10.68,36042
36,43,95,83,87.37,4,4.21,8,8.42,36043
36,45,163,144,88.34,9,5.52,10,6.13,36045
36,46,109,99,90.83,4,3.67,6,5.5,36046
36,47,117,97,82.91,10,8.55,10,8.55,36047
36,48,118,90,76.27,15,12.71,13,11.02,36048
36,49,157,125,79.62,15,9.55,17,10.83,36049
36,50,137,109,79.56,12,8.76,16,11.68,36050
36,51,176,152,86.36,13,7.39,11,6.25,36051
