ward,precinct,total,Dan Kotowski,Dan Kotowski Percent,"James J. Morici, Jr.","James J. Morici, Jr. Percent",precinct_id
41,13,87,69,79.31,18,20.69,41013
41,25,52,37,71.15,15,28.85,41025
41,26,66,39,59.09,27,40.91,41026
41,28,114,87,76.32,27,23.68,41028
41,29,51,33,64.71,18,35.29,41029
41,32,103,65,63.11,38,36.89,41032
41,48,77,53,68.83,24,31.17,41048
