ward,precinct,total,Antonio ''Tony'' Munoz,Antonio ''Tony'' Munoz Percent,Oscar Torres,Oscar Torres Percent,precinct_id
11,1,174,153,87.93,21,12.07,11001
11,2,129,106,82.17,23,17.83,11002
11,3,123,98,79.67,25,20.33,11003
11,4,168,135,80.36,33,19.64,11004
11,5,83,55,66.27,28,33.73,11005
11,6,181,130,71.82,51,28.18,11006
11,7,156,133,85.26,23,14.74,11007
11,8,167,134,80.24,33,19.76,11008
11,9,116,103,88.79,13,11.21,11009
11,10,89,76,85.39,13,14.61,11010
11,11,170,129,75.88,41,24.12,11011
11,16,174,136,78.16,38,21.84,11016
11,17,200,145,72.5,55,27.5,11017
11,18,114,99,86.84,15,13.16,11018
11,19,108,76,70.37,32,29.63,11019
11,20,160,151,94.38,9,5.63,11020
11,21,211,193,91.47,18,8.53,11021
11,22,124,102,82.26,22,17.74,11022
11,24,367,334,91.01,33,8.99,11024
11,25,122,99,81.15,23,18.85,11025
11,26,223,178,79.82,45,20.18,11026
11,29,196,164,83.67,32,16.33,11029
11,30,140,116,82.86,24,17.14,11030
11,38,271,238,87.82,33,12.18,11038
11,40,102,89,87.25,13,12.75,11040
11,41,117,104,88.89,13,11.11,11041
11,44,147,110,74.83,37,25.17,11044
11,45,83,67,80.72,16,19.28,11045
11,47,130,106,81.54,24,18.46,11047
11,50,115,98,85.22,17,14.78,11050
12,1,74,54,72.97,20,27.03,12001
12,2,85,72,84.71,13,15.29,12002
12,3,81,62,76.54,19,23.46,12003
12,4,78,68,87.18,10,12.82,12004
12,5,100,81,81.0,19,19.0,12005
12,6,87,68,78.16,19,21.84,12006
12,7,89,55,61.8,34,38.2,12007
12,8,181,128,70.72,53,29.28,12008
12,9,101,90,89.11,11,10.89,12009
12,10,102,73,71.57,29,28.43,12010
12,11,159,134,84.28,25,15.72,12011
12,12,79,65,82.28,14,17.72,12012
12,13,149,124,83.22,25,16.78,12013
12,14,69,44,63.77,25,36.23,12014
12,15,87,71,81.61,16,18.39,12015
12,16,35,29,82.86,6,17.14,12016
12,17,143,107,74.83,36,25.17,12017
12,18,86,63,73.26,23,26.74,12018
12,19,111,80,72.07,31,27.93,12019
12,20,95,77,81.05,18,18.95,12020
12,21,133,104,78.2,29,21.8,12021
12,22,86,60,69.77,26,30.23,12022
12,23,97,74,76.29,23,23.71,12023
12,24,137,104,75.91,33,24.09,12024
14,7,115,96,83.48,19,16.52,14007
14,8,93,77,82.8,16,17.2,14008
14,10,133,105,78.95,28,21.05,14010
14,12,121,104,85.95,17,14.05,14012
14,14,104,85,81.73,19,18.27,14014
14,16,122,97,79.51,25,20.49,14016
14,17,145,124,85.52,21,14.48,14017
14,18,112,90,80.36,22,19.64,14018
14,19,186,150,80.65,36,19.35,14019
14,20,113,82,72.57,31,27.43,14020
14,21,152,141,92.76,11,7.24,14021
14,22,160,135,84.38,25,15.63,14022
14,23,143,120,83.92,23,16.08,14023
14,26,141,106,75.18,35,24.82,14026
14,29,158,132,83.54,26,16.46,14029
14,30,104,80,76.92,24,23.08,14030
14,31,133,110,82.71,23,17.29,14031
14,33,109,92,84.4,17,15.6,14033
14,34,7,7,,0,,14034
14,35,106,90,84.91,16,15.09,14035
16,11,90,67,74.44,23,25.56,16011
16,13,77,58,75.32,19,24.68,16013
16,21,78,55,70.51,23,29.49,16021
16,23,88,70,79.55,18,20.45,16023
16,32,30,24,80.0,6,20.0,16032
16,42,88,79,89.77,9,10.23,16042
20,4,90,74,82.22,16,17.78,20004
20,21,48,39,81.25,9,18.75,20021
22,1,81,56,69.14,25,30.86,22001
22,8,83,62,74.7,21,25.3,22008
22,9,112,82,73.21,30,26.79,22009
22,11,79,65,82.28,14,17.72,22011
22,15,89,71,79.78,18,20.22,22015
22,22,76,49,64.47,27,35.53,22022
22,28,8,6,75.0,2,25.0,22028
22,29,75,43,57.33,32,42.67,22029
24,57,114,83,72.81,31,27.19,24057
25,1,162,123,75.93,39,24.07,25001
25,2,202,134,66.34,68,33.66,25002
25,5,175,128,73.14,47,26.86,25005
25,7,122,84,68.85,38,31.15,25007
25,8,160,113,70.63,47,29.38,25008
25,9,219,121,55.25,98,44.75,25009
25,11,157,101,64.33,56,35.67,25011
25,13,173,124,71.68,49,28.32,25013
25,15,160,115,71.88,45,28.13,25015
25,17,238,155,65.13,83,34.87,25017
25,19,161,80,49.69,81,50.31,25019
25,20,185,142,76.76,43,23.24,25020
25,22,76,60,78.95,16,21.05,25022
25,23,188,115,61.17,73,38.83,25023
25,24,158,104,65.82,54,34.18,25024
25,30,156,98,62.82,58,37.18,25030
28,29,99,70,70.71,29,29.29,28029
28,38,55,39,70.91,16,29.09,28038
28,53,2,1,50.0,1,50.0,28053
