ward,precinct,total,Susana Mendoza,Susana Mendoza Percent,precinct_id
11,3,95,95,100.0,11003
12,2,78,78,100.0,12002
12,3,76,76,100.0,12003
12,4,73,73,100.0,12004
12,5,91,91,100.0,12005
12,6,80,80,100.0,12006
12,8,32,32,100.0,12008
12,9,3,3,100.0,12009
12,10,85,85,100.0,12010
12,11,145,145,100.0,12011
12,12,73,73,100.0,12012
12,13,145,145,100.0,12013
12,14,65,65,100.0,12014
12,17,107,107,100.0,12017
12,19,110,110,100.0,12019
12,20,85,85,100.0,12020
12,21,123,123,100.0,12021
12,23,90,90,100.0,12023
12,24,130,130,100.0,12024
14,7,108,108,100.0,14007
14,8,91,91,100.0,14008
14,10,121,121,100.0,14010
14,12,117,117,100.0,14012
14,14,101,101,100.0,14014
14,16,115,115,100.0,14016
14,17,145,145,100.0,14017
14,18,109,109,100.0,14018
14,19,180,180,100.0,14019
14,20,110,110,100.0,14020
14,21,149,149,100.0,14021
14,22,152,152,100.0,14022
14,23,137,137,100.0,14023
14,26,143,143,100.0,14026
14,29,155,155,100.0,14029
14,30,103,103,100.0,14030
14,31,134,134,100.0,14031
14,33,107,107,100.0,14033
14,34,10,10,100.0,14034
14,35,99,99,100.0,14035
16,11,85,85,100.0,16011
16,13,72,72,100.0,16013
16,21,73,73,100.0,16021
16,23,78,78,100.0,16023
16,32,31,31,100.0,16032
16,42,78,78,100.0,16042
20,4,90,90,100.0,20004
20,21,50,50,100.0,20021
22,8,78,78,100.0,22008
22,9,102,102,100.0,22009
22,11,77,77,100.0,22011
22,15,80,80,100.0,22015
22,22,73,73,100.0,22022
22,28,10,10,100.0,22028
