ward,precinct,total,Thomas J. Dart,Thomas J. Dart Percent,"Sylvester E. Baker, Jr.","Sylvester E. Baker, Jr. Percent",Richard L. Remus,Richard L. Remus Percent,precinct_id
1,1,76,57,75.0,9,11.84,10,13.16,01001
1,2,55,40,72.73,4,7.27,11,20.0,01002
1,3,47,36,76.6,4,8.51,7,14.89,01003
1,4,77,54,70.13,12,15.58,11,14.29,01004
1,5,68,45,66.18,10,14.71,13,19.12,01005
1,6,74,48,64.86,16,21.62,10,13.51,01006
1,7,82,66,80.49,8,9.76,8,9.76,01007
1,8,67,44,65.67,9,13.43,14,20.9,01008
1,9,109,66,60.55,21,19.27,22,20.18,01009
1,10,70,54,77.14,4,5.71,12,17.14,01010
1,11,51,27,52.94,10,19.61,14,27.45,01011
1,12,73,51,69.86,9,12.33,13,17.81,01012
1,13,116,80,68.97,16,13.79,20,17.24,01013
1,14,97,52,53.61,33,34.02,12,12.37,01014
1,15,77,46,59.74,16,20.78,15,19.48,01015
1,16,37,18,48.65,15,40.54,4,10.81,01016
1,17,53,31,58.49,10,18.87,12,22.64,01017
1,18,60,33,55.0,15,25.0,12,20.0,01018
1,19,91,53,58.24,13,14.29,25,27.47,01019
1,20,100,53,53.0,26,26.0,21,21.0,01020
1,21,72,42,58.33,19,26.39,11,15.28,01021
1,22,82,44,53.66,20,24.39,18,21.95,01022
1,23,52,33,63.46,7,13.46,12,23.08,01023
1,24,141,83,58.87,21,14.89,37,26.24,01024
1,25,66,31,46.97,15,22.73,20,30.3,01025
1,26,45,28,62.22,7,15.56,10,22.22,01026
1,27,55,35,63.64,10,18.18,10,18.18,01027
1,28,109,51,46.79,36,33.03,22,20.18,01028
1,29,82,51,62.2,17,20.73,14,17.07,01029
1,30,169,108,63.91,22,13.02,39,23.08,01030
1,31,59,47,79.66,6,10.17,6,10.17,01031
1,32,89,49,55.06,30,33.71,10,11.24,01032
1,33,76,50,65.79,12,15.79,14,18.42,01033
1,34,51,39,76.47,5,9.8,7,13.73,01034
1,35,34,24,70.59,5,14.71,5,14.71,01035
1,36,57,35,61.4,12,21.05,10,17.54,01036
1,37,55,32,58.18,15,27.27,8,14.55,01037
1,38,44,29,65.91,6,13.64,9,20.45,01038
1,39,90,60,66.67,14,15.56,16,17.78,01039
1,40,50,26,52.0,10,20.0,14,28.0,01040
1,41,97,57,58.76,12,12.37,28,28.87,01041
1,42,50,28,56.0,10,20.0,12,24.0,01042
1,43,66,35,53.03,15,22.73,16,24.24,01043
1,44,49,37,75.51,2,4.08,10,20.41,01044
1,45,66,36,54.55,14,21.21,16,24.24,01045
1,46,72,42,58.33,15,20.83,15,20.83,01046
1,47,38,27,71.05,1,2.63,10,26.32,01047
