ward,precinct,total,Cynthia Soto,Cynthia Soto Percent,precinct_id
1,1,77,77,100.0,01001
1,2,51,51,100.0,01002
1,3,42,42,100.0,01003
1,4,77,77,100.0,01004
1,5,63,63,100.0,01005
1,10,72,72,100.0,01010
1,11,49,49,100.0,01011
1,14,95,95,100.0,01014
1,15,83,83,100.0,01015
1,17,55,55,100.0,01017
1,18,63,63,100.0,01018
1,21,68,68,100.0,01021
1,22,84,84,100.0,01022
1,23,48,48,100.0,01023
1,25,58,58,100.0,01025
1,26,42,42,100.0,01026
1,27,54,54,100.0,01027
1,32,92,92,100.0,01032
1,33,76,76,100.0,01033
1,35,3,3,100.0,01035
1,36,62,62,100.0,01036
1,37,60,60,100.0,01037
1,40,58,58,100.0,01040
1,43,56,56,100.0,01043
1,44,40,40,100.0,01044
1,45,71,71,100.0,01045
1,46,66,66,100.0,01046
1,47,41,41,100.0,01047
1,48,65,65,100.0,01048
1,49,24,24,100.0,01049
1,50,52,52,100.0,01050
26,1,45,45,100.0,26001
26,2,75,75,100.0,26002
26,3,49,49,100.0,26003
26,5,81,81,100.0,26005
26,7,37,37,100.0,26007
26,9,42,42,100.0,26009
26,10,44,44,100.0,26010
26,11,57,57,100.0,26011
26,12,53,53,100.0,26012
26,14,55,55,100.0,26014
26,15,46,46,100.0,26015
26,18,46,46,100.0,26018
26,20,84,84,100.0,26020
26,21,66,66,100.0,26021
26,22,40,40,100.0,26022
26,23,57,57,100.0,26023
26,24,47,47,100.0,26024
26,25,39,39,100.0,26025
26,27,80,80,100.0,26027
26,28,50,50,100.0,26028
26,29,55,55,100.0,26029
26,31,81,81,100.0,26031
26,32,75,75,100.0,26032
26,35,65,65,100.0,26035
26,36,56,56,100.0,26036
26,37,37,37,100.0,26037
26,38,40,40,100.0,26038
26,39,39,39,100.0,26039
26,40,36,36,100.0,26040
26,41,62,62,100.0,26041
26,43,50,50,100.0,26043
26,44,37,37,100.0,26044
26,45,71,71,100.0,26045
26,47,47,47,100.0,26047
26,48,78,78,100.0,26048
26,49,43,43,100.0,26049
26,50,29,29,100.0,26050
26,52,23,23,100.0,26052
26,53,39,39,100.0,26053
26,55,36,36,100.0,26055
26,56,64,64,100.0,26056
26,57,41,41,100.0,26057
26,58,51,51,100.0,26058
26,59,84,84,100.0,26059
26,61,39,39,100.0,26061
26,63,23,23,100.0,26063
27,4,65,65,100.0,27004
27,10,4,4,100.0,27010
27,13,66,66,100.0,27013
27,32,111,111,100.0,27032
27,35,75,75,100.0,27035
27,38,59,59,100.0,27038
27,41,16,16,100.0,27041
27,56,52,52,100.0,27056
27,59,105,105,100.0,27059
30,20,69,69,100.0,30020
30,23,73,73,100.0,30023
30,26,56,56,100.0,30026
30,29,35,35,100.0,30029
30,31,62,62,100.0,30031
30,32,33,33,100.0,30032
30,33,86,86,100.0,30033
32,1,96,96,100.0,32001
32,3,55,55,100.0,32003
32,11,58,58,100.0,32011
32,12,66,66,100.0,32012
32,17,67,67,100.0,32017
32,46,7,7,100.0,32046
35,14,2,2,100.0,35014
35,32,91,91,100.0,35032
