ward,precinct,total,Lovana S. ''Lou'' Jones,Lovana S. ''Lou'' Jones Percent,Ranoule Tatum,Ranoule Tatum Percent,precinct_id
2,7,180,151,83.89,29,16.11,02007
2,8,140,116,82.86,24,17.14,02008
2,14,20,18,90.0,2,10.0,02014
2,18,122,93,76.23,29,23.77,02018
2,20,192,167,86.98,25,13.02,02020
2,21,167,153,91.62,14,8.38,02021
2,26,162,133,82.1,29,17.9,02026
2,31,110,98,89.09,12,10.91,02031
2,37,127,100,78.74,27,21.26,02037
2,40,166,126,75.9,40,24.1,02040
2,44,141,113,80.14,28,19.86,02044
2,46,240,209,87.08,31,12.92,02046
2,49,48,36,75.0,12,25.0,02049
2,60,133,105,78.95,28,21.05,02060
2,61,76,53,69.74,23,30.26,02061
3,2,232,209,90.09,23,9.91,03002
3,4,109,94,86.24,15,13.76,03004
3,5,160,126,78.75,34,21.25,03005
3,7,172,150,87.21,22,12.79,03007
3,9,33,31,93.94,2,6.06,03009
3,11,26,24,92.31,2,7.69,03011
3,16,144,132,91.67,12,8.33,03016
3,20,111,93,83.78,18,16.22,03020
3,30,120,101,84.17,19,15.83,03030
3,31,199,181,90.95,18,9.05,03031
3,34,103,82,79.61,21,20.39,03034
3,38,115,103,89.57,12,10.43,03038
3,39,244,223,91.39,21,8.61,03039
3,45,3,2,66.67,1,33.33,03045
3,49,21,18,85.71,3,14.29,03049
4,2,243,221,90.95,22,9.05,04002
4,3,235,200,85.11,35,14.89,04003
4,4,223,158,70.85,65,29.15,04004
4,5,188,162,86.17,26,13.83,04005
4,7,180,164,91.11,16,8.89,04007
4,8,201,185,92.04,16,7.96,04008
4,10,194,160,82.47,34,17.53,04010
4,11,173,143,82.66,30,17.34,04011
4,12,105,94,89.52,11,10.48,04012
4,13,135,117,86.67,18,13.33,04013
4,14,124,104,83.87,20,16.13,04014
4,15,119,103,86.55,16,13.45,04015
4,16,210,183,87.14,27,12.86,04016
4,18,203,181,89.16,22,10.84,04018
4,19,211,193,91.47,18,8.53,04019
4,20,75,62,82.67,13,17.33,04020
4,23,132,115,87.12,17,12.88,04023
4,24,206,184,89.32,22,10.68,04024
4,25,216,190,87.96,26,12.04,04025
4,26,189,168,88.89,21,11.11,04026
4,27,181,162,89.5,19,10.5,04027
4,30,31,28,90.32,3,9.68,04030
4,31,96,83,86.46,13,13.54,04031
4,33,100,89,89.0,11,11.0,04033
4,35,100,85,85.0,15,15.0,04035
4,36,88,79,89.77,9,10.23,04036
4,37,62,57,91.94,5,8.06,04037
4,39,100,95,95.0,5,5.0,04039
4,40,144,125,86.81,19,13.19,04040
4,42,214,181,84.58,33,15.42,04042
4,46,140,131,93.57,9,6.43,04046
4,49,156,130,83.33,26,16.67,04049
4,50,161,152,94.41,9,5.59,04050
4,51,237,210,88.61,27,11.39,04051
4,52,254,233,91.73,21,8.27,04052
4,53,159,132,83.02,27,16.98,04053
5,2,134,116,86.57,18,13.43,05002
5,9,162,147,90.74,15,9.26,05009
5,10,132,114,86.36,18,13.64,05010
5,13,141,121,85.82,20,14.18,05013
5,15,131,111,84.73,20,15.27,05015
5,16,131,117,89.31,14,10.69,05016
5,18,171,157,91.81,14,8.19,05018
5,19,80,73,91.25,7,8.75,05019
5,23,125,113,90.4,12,9.6,05023
5,45,94,84,89.36,10,10.64,05045
5,51,103,83,80.58,20,19.42,05051
5,52,18,17,94.44,1,5.56,05052
6,39,2,2,,0,,06039
20,2,111,100,90.09,11,9.91,20002
20,5,86,73,84.88,13,15.12,20005
20,9,116,100,86.21,16,13.79,20009
20,14,30,28,93.33,2,6.67,20014
20,16,160,139,86.88,21,13.13,20016
20,18,89,74,83.15,15,16.85,20018
20,22,150,131,87.33,19,12.67,20022
20,24,142,117,82.39,25,17.61,20024
20,29,121,105,86.78,16,13.22,20029
20,32,124,107,86.29,17,13.71,20032
20,36,115,98,85.22,17,14.78,20036
20,47,86,70,81.4,16,18.6,20047
42,1,84,64,76.19,20,23.81,42001
42,2,68,45,66.18,23,33.82,42002
42,5,82,68,82.93,14,17.07,42005
42,6,202,148,73.27,54,26.73,42006
42,7,74,50,67.57,24,32.43,42007
42,9,23,16,69.57,7,30.43,42009
42,11,88,66,75.0,22,25.0,42011
42,13,185,135,72.97,50,27.03,42013
42,23,120,95,79.17,25,20.83,42023
42,24,8,6,75.0,2,25.0,42024
42,25,82,53,64.63,29,35.37,42025
42,29,86,68,79.07,18,20.93,42029
42,31,39,31,79.49,8,20.51,42031
42,35,82,67,81.71,15,18.29,42035
42,37,76,57,75.0,19,25.0,42037
42,38,68,50,73.53,18,26.47,42038
42,40,86,59,68.6,27,31.4,42040
42,41,93,70,75.27,23,24.73,42041
42,42,47,34,72.34,13,27.66,42042
42,43,87,67,77.01,20,22.99,42043
42,44,98,70,71.43,28,28.57,42044
42,47,49,36,73.47,13,26.53,42047
42,48,48,37,77.08,11,22.92,42048
42,50,68,51,75.0,17,25.0,42050
42,51,81,62,76.54,19,23.46,42051
42,52,48,38,79.17,10,20.83,42052
42,53,61,39,63.93,22,36.07,42053
42,54,71,54,76.06,17,23.94,42054
42,61,31,25,80.65,6,19.35,42061
42,62,50,40,80.0,10,20.0,42062
42,63,84,66,78.57,18,21.43,42063
42,64,49,34,69.39,15,30.61,42064
42,65,64,50,78.13,14,21.88,42065
42,66,86,66,76.74,20,23.26,42066
43,35,84,62,73.81,22,26.19,43035
43,40,26,21,80.77,5,19.23,43040
