ward,precinct,total,Jacqueline ''Jacqui'' Y. Collins,Jacqueline ''Jacqui'' Y. Collins Percent,precinct_id
6,4,119,119,100.0,06004
6,5,97,97,100.0,06005
6,6,166,166,100.0,06006
6,7,195,195,100.0,06007
6,11,197,197,100.0,06011
6,12,140,140,100.0,06012
6,15,118,118,100.0,06015
6,18,78,78,100.0,06018
6,19,209,209,100.0,06019
6,20,193,193,100.0,06020
6,30,147,147,100.0,06030
6,32,184,184,100.0,06032
6,33,227,227,100.0,06033
6,36,95,95,100.0,06036
6,40,104,104,100.0,06040
6,42,85,85,100.0,06042
6,48,164,164,100.0,06048
6,49,181,181,100.0,06049
6,61,119,119,100.0,06061
6,62,160,160,100.0,06062
13,19,132,132,100.0,13019
13,26,108,108,100.0,13026
13,30,155,155,100.0,13030
13,47,122,122,100.0,13047
15,1,9,9,100.0,15001
15,6,88,88,100.0,15006
15,7,92,92,100.0,15007
15,8,129,129,100.0,15008
15,9,110,110,100.0,15009
15,11,99,99,100.0,15011
15,12,49,49,100.0,15012
15,13,55,55,100.0,15013
15,14,118,118,100.0,15014
15,15,66,66,100.0,15015
15,21,123,123,100.0,15021
15,25,67,67,100.0,15025
15,27,77,77,100.0,15027
15,28,86,86,100.0,15028
15,30,5,5,100.0,15030
15,32,75,75,100.0,15032
15,34,88,88,100.0,15034
15,41,135,135,100.0,15041
15,42,59,59,100.0,15042
15,44,81,81,100.0,15044
15,45,48,48,100.0,15045
15,46,82,82,100.0,15046
15,47,115,115,100.0,15047
15,49,43,43,100.0,15049
15,51,73,73,100.0,15051
16,35,70,70,100.0,16035
16,41,59,59,100.0,16041
17,1,83,83,100.0,17001
17,2,108,108,100.0,17002
17,3,90,90,100.0,17003
17,4,193,193,100.0,17004
17,5,108,108,100.0,17005
17,6,98,98,100.0,17006
17,7,168,168,100.0,17007
17,8,120,120,100.0,17008
17,9,96,96,100.0,17009
17,10,138,138,100.0,17010
17,11,136,136,100.0,17011
17,12,172,172,100.0,17012
17,13,62,62,100.0,17013
17,14,85,85,100.0,17014
17,15,112,112,100.0,17015
17,16,105,105,100.0,17016
17,17,83,83,100.0,17017
17,18,165,165,100.0,17018
17,19,44,44,100.0,17019
17,20,108,108,100.0,17020
17,21,207,207,100.0,17021
17,22,147,147,100.0,17022
17,23,107,107,100.0,17023
17,24,131,131,100.0,17024
17,25,82,82,100.0,17025
17,26,160,160,100.0,17026
17,27,173,173,100.0,17027
17,28,101,101,100.0,17028
17,29,160,160,100.0,17029
17,30,145,145,100.0,17030
17,31,118,118,100.0,17031
17,32,136,136,100.0,17032
17,33,109,109,100.0,17033
17,34,105,105,100.0,17034
17,35,80,80,100.0,17035
17,36,80,80,100.0,17036
17,37,104,104,100.0,17037
17,38,126,126,100.0,17038
17,39,86,86,100.0,17039
17,40,103,103,100.0,17040
17,41,105,105,100.0,17041
17,42,109,109,100.0,17042
17,43,104,104,100.0,17043
17,44,90,90,100.0,17044
17,45,74,74,100.0,17045
17,46,131,131,100.0,17046
17,47,72,72,100.0,17047
17,48,150,150,100.0,17048
17,49,105,105,100.0,17049
17,50,115,115,100.0,17050
17,51,153,153,100.0,17051
17,52,168,168,100.0,17052
17,53,111,111,100.0,17053
17,54,163,163,100.0,17054
17,55,121,121,100.0,17055
17,56,132,132,100.0,17056
17,57,145,145,100.0,17057
17,58,99,99,100.0,17058
17,59,48,48,100.0,17059
17,60,191,191,100.0,17060
17,61,108,108,100.0,17061
17,62,110,110,100.0,17062
17,63,68,68,100.0,17063
17,64,83,83,100.0,17064
18,1,94,94,100.0,18001
18,2,163,163,100.0,18002
18,3,114,114,100.0,18003
18,4,205,205,100.0,18004
18,5,158,158,100.0,18005
18,6,124,124,100.0,18006
18,7,114,114,100.0,18007
18,8,69,69,100.0,18008
18,9,200,200,100.0,18009
18,10,269,269,100.0,18010
18,11,157,157,100.0,18011
18,12,225,225,100.0,18012
18,13,188,188,100.0,18013
18,14,217,217,100.0,18014
18,15,86,86,100.0,18015
18,16,192,192,100.0,18016
18,17,131,131,100.0,18017
18,18,213,213,100.0,18018
18,20,189,189,100.0,18020
18,21,231,231,100.0,18021
18,22,185,185,100.0,18022
18,23,145,145,100.0,18023
18,27,127,127,100.0,18027
18,28,171,171,100.0,18028
18,29,170,170,100.0,18029
18,31,136,136,100.0,18031
18,33,142,142,100.0,18033
18,35,208,208,100.0,18035
18,36,118,118,100.0,18036
18,37,127,127,100.0,18037
18,38,226,226,100.0,18038
18,39,129,129,100.0,18039
18,40,220,220,100.0,18040
18,41,162,162,100.0,18041
18,42,89,89,100.0,18042
18,43,102,102,100.0,18043
18,44,86,86,100.0,18044
18,47,115,115,100.0,18047
18,48,80,80,100.0,18048
18,49,114,114,100.0,18049
18,50,155,155,100.0,18050
18,54,182,182,100.0,18054
18,55,141,141,100.0,18055
18,56,128,128,100.0,18056
18,57,127,127,100.0,18057
18,58,146,146,100.0,18058
18,59,108,108,100.0,18059
18,60,202,202,100.0,18060
18,61,167,167,100.0,18061
18,62,105,105,100.0,18062
20,10,108,108,100.0,20010
20,18,38,38,100.0,20018
20,25,74,74,100.0,20025
20,28,146,146,100.0,20028
20,30,133,133,100.0,20030
20,35,73,73,100.0,20035
20,49,109,109,100.0,20049
21,2,162,162,100.0,21002
21,16,170,170,100.0,21016
21,30,132,132,100.0,21030
21,32,153,153,100.0,21032
21,34,219,219,100.0,21034
21,37,115,115,100.0,21037
21,39,148,148,100.0,21039
21,41,138,138,100.0,21041
21,52,186,186,100.0,21052
21,62,184,184,100.0,21062
21,64,92,92,100.0,21064
