ward,precinct,total,Kwame Raoul,Kwame Raoul Percent,precinct_id
2,7,168,168,100.0,02007
2,8,131,131,100.0,02008
2,14,19,19,100.0,02014
2,18,113,113,100.0,02018
2,20,160,160,100.0,02020
2,21,128,128,100.0,02021
2,26,152,152,100.0,02026
2,31,100,100,100.0,02031
2,37,123,123,100.0,02037
2,40,156,156,100.0,02040
2,44,119,119,100.0,02044
2,46,228,228,100.0,02046
2,49,46,46,100.0,02049
2,60,123,123,100.0,02060
2,61,80,80,100.0,02061
3,2,197,197,100.0,03002
3,4,93,93,100.0,03004
3,5,137,137,100.0,03005
3,7,142,142,100.0,03007
3,9,27,27,100.0,03009
3,11,25,25,100.0,03011
3,16,128,128,100.0,03016
3,20,95,95,100.0,03020
3,30,109,109,100.0,03030
3,31,174,174,100.0,03031
3,34,90,90,100.0,03034
3,38,96,96,100.0,03038
3,39,187,187,100.0,03039
3,45,2,2,100.0,03045
3,49,21,21,100.0,03049
4,1,134,134,100.0,04001
4,2,227,227,100.0,04002
4,3,212,212,100.0,04003
4,4,187,187,100.0,04004
4,5,174,174,100.0,04005
4,7,163,163,100.0,04007
4,8,179,179,100.0,04008
4,9,354,354,100.0,04009
4,10,189,189,100.0,04010
4,11,153,153,100.0,04011
4,12,91,91,100.0,04012
4,13,139,139,100.0,04013
4,14,108,108,100.0,04014
4,15,121,121,100.0,04015
4,16,194,194,100.0,04016
4,17,164,164,100.0,04017
4,18,190,190,100.0,04018
4,19,173,173,100.0,04019
4,20,60,60,100.0,04020
4,21,209,209,100.0,04021
4,22,244,244,100.0,04022
4,23,133,133,100.0,04023
4,24,196,196,100.0,04024
4,25,203,203,100.0,04025
4,26,169,169,100.0,04026
4,27,168,168,100.0,04027
4,28,113,113,100.0,04028
4,29,146,146,100.0,04029
4,30,22,22,100.0,04030
4,31,90,90,100.0,04031
4,32,173,173,100.0,04032
4,33,93,93,100.0,04033
4,34,122,122,100.0,04034
4,35,96,96,100.0,04035
