ward,precinct,total,Andre Martin Thapedi,Andre Martin Thapedi Percent,Diane M. Shelley,Diane M. Shelley Percent,Stephen Stern,Stephen Stern Percent,precinct_id
2,14,199,71,35.68,96,48.24,32,16.08,02014
2,20,163,42,25.77,88,53.99,33,20.25,02020
2,31,167,52,31.14,80,47.9,35,20.96,02031
2,44,135,36,26.67,72,53.33,27,20.0,02044
2,46,214,67,31.31,96,44.86,51,23.83,02046
3,1,149,33,22.15,91,61.07,25,16.78,03001
3,2,214,53,24.77,109,50.93,52,24.3,03002
3,4,101,22,21.78,62,61.39,17,16.83,03004
3,5,146,44,30.14,53,36.3,49,33.56,03005
3,7,153,46,30.07,82,53.59,25,16.34,03007
3,8,33,10,30.3,15,45.45,8,24.24,03008
3,9,114,39,34.21,51,44.74,24,21.05,03009
3,10,61,17,27.87,32,52.46,12,19.67,03010
3,11,142,36,25.35,80,56.34,26,18.31,03011
3,12,137,32,23.36,72,52.55,33,24.09,03012
3,14,85,28,32.94,44,51.76,13,15.29,03014
3,15,123,39,31.71,61,49.59,23,18.7,03015
3,16,139,22,15.83,89,64.03,28,20.14,03016
3,17,86,17,19.77,49,56.98,20,23.26,03017
3,18,96,24,25.0,53,55.21,19,19.79,03018
3,19,9,5,,4,,0,,03019
3,20,95,33,34.74,46,48.42,16,16.84,03020
3,21,57,13,22.81,30,52.63,14,24.56,03021
3,22,86,14,16.28,63,73.26,9,10.47,03022
3,23,25,7,28.0,15,60.0,3,12.0,03023
3,24,108,31,28.7,55,50.93,22,20.37,03024
3,25,107,15,14.02,60,56.07,32,29.91,03025
3,26,119,27,22.69,66,55.46,26,21.85,03026
3,27,127,43,33.86,57,44.88,27,21.26,03027
3,29,94,34,36.17,44,46.81,16,17.02,03029
3,30,122,39,31.97,63,51.64,20,16.39,03030
3,31,184,39,21.2,107,58.15,38,20.65,03031
3,32,89,22,24.72,52,58.43,15,16.85,03032
3,33,146,35,23.97,80,54.79,31,21.23,03033
3,34,101,28,27.72,49,48.51,24,23.76,03034
3,35,110,24,21.82,66,60.0,20,18.18,03035
3,36,53,14,26.42,28,52.83,11,20.75,03036
3,37,50,10,20.0,28,56.0,12,24.0,03037
3,38,160,46,28.75,68,42.5,46,28.75,03038
3,39,215,49,22.79,101,46.98,65,30.23,03039
3,40,99,22,22.22,67,67.68,10,10.1,03040
3,41,127,23,18.11,68,53.54,36,28.35,03041
3,42,86,18,20.93,48,55.81,20,23.26,03042
3,43,43,8,18.6,30,69.77,5,11.63,03043
3,44,54,13,24.07,30,55.56,11,20.37,03044
3,46,61,18,29.51,33,54.1,10,16.39,03046
3,47,83,19,22.89,56,67.47,8,9.64,03047
3,48,99,32,32.32,41,41.41,26,26.26,03048
3,49,41,6,14.63,29,70.73,6,14.63,03049
3,50,108,19,17.59,70,64.81,19,17.59,03050
3,52,53,12,22.64,30,56.6,11,20.75,03052
3,53,109,43,39.45,38,34.86,28,25.69,03053
4,1,141,40,28.37,53,37.59,48,34.04,04001
4,2,228,59,25.88,103,45.18,66,28.95,04002
4,3,207,52,25.12,95,45.89,60,28.99,04003
4,4,194,68,35.05,71,36.6,55,28.35,04004
4,5,176,54,30.68,73,41.48,49,27.84,04005
4,6,81,14,17.28,51,62.96,16,19.75,04006
4,7,164,49,29.88,78,47.56,37,22.56,04007
4,8,194,34,17.53,104,53.61,56,28.87,04008
4,9,358,136,37.99,117,32.68,105,29.33,04009
4,10,188,68,36.17,71,37.77,49,26.06,04010
4,11,158,49,31.01,73,46.2,36,22.78,04011
4,12,98,39,39.8,33,33.67,26,26.53,04012
4,13,126,47,37.3,43,34.13,36,28.57,04013
4,14,118,27,22.88,61,51.69,30,25.42,04014
4,15,112,39,34.82,44,39.29,29,25.89,04015
4,16,197,60,30.46,90,45.69,47,23.86,04016
4,17,159,45,28.3,59,37.11,55,34.59,04017
4,18,186,53,28.49,70,37.63,63,33.87,04018
4,19,182,44,24.18,95,52.2,43,23.63,04019
4,20,67,12,17.91,26,38.81,29,43.28,04020
4,21,198,61,30.81,62,31.31,75,37.88,04021
4,22,239,78,32.64,76,31.8,85,35.56,04022
4,23,131,46,35.11,37,28.24,48,36.64,04023
4,24,180,41,22.78,76,42.22,63,35.0,04024
4,25,197,82,41.62,73,37.06,42,21.32,04025
4,26,173,43,24.86,87,50.29,43,24.86,04026
4,27,161,43,26.71,81,50.31,37,22.98,04027
4,28,107,23,21.5,36,33.64,48,44.86,04028
4,29,135,37,27.41,52,38.52,46,34.07,04029
4,30,26,5,19.23,12,46.15,9,34.62,04030
4,31,89,18,20.22,50,56.18,21,23.6,04031
4,32,167,36,21.56,61,36.53,70,41.92,04032
4,33,96,29,30.21,40,41.67,27,28.13,04033
4,34,115,21,18.26,33,28.7,61,53.04,04034
4,35,102,35,34.31,43,42.16,24,23.53,04035
4,36,85,28,32.94,34,40.0,23,27.06,04036
4,37,55,17,30.91,29,52.73,9,16.36,04037
4,38,246,61,24.8,91,36.99,94,38.21,04038
4,39,89,25,28.09,28,31.46,36,40.45,04039
4,40,139,35,25.18,58,41.73,46,33.09,04040
4,41,79,24,30.38,23,29.11,32,40.51,04041
4,42,197,57,28.93,92,46.7,48,24.37,04042
4,43,112,18,16.07,39,34.82,55,49.11,04043
4,44,107,32,29.91,37,34.58,38,35.51,04044
4,45,344,89,25.87,108,31.4,147,42.73,04045
4,46,135,45,33.33,46,34.07,44,32.59,04046
4,47,207,68,32.85,60,28.99,79,38.16,04047
4,48,230,53,23.04,80,34.78,97,42.17,04048
4,49,130,38,29.23,41,31.54,51,39.23,04049
4,50,163,45,27.61,83,50.92,35,21.47,04050
4,51,205,48,23.41,110,53.66,47,22.93,04051
4,52,222,60,27.03,122,54.95,40,18.02,04052
4,53,147,40,27.21,72,48.98,35,23.81,04053
4,54,81,26,32.1,28,34.57,27,33.33,04054
4,55,93,13,13.98,28,30.11,52,55.91,04055
5,1,167,77,46.11,59,35.33,31,18.56,05001
5,2,133,45,33.83,65,48.87,23,17.29,05002
5,3,79,20,25.32,26,32.91,33,41.77,05003
5,4,129,47,36.43,59,45.74,23,17.83,05004
5,5,138,41,29.71,63,45.65,34,24.64,05005
5,6,181,65,35.91,82,45.3,34,18.78,05006
5,7,178,94,52.81,56,31.46,28,15.73,05007
5,8,186,31,16.67,57,30.65,98,52.69,05008
5,9,146,52,35.62,60,41.1,34,23.29,05009
5,10,139,49,35.25,63,45.32,27,19.42,05010
5,11,148,22,14.86,63,42.57,63,42.57,05011
5,13,144,49,34.03,72,50.0,23,15.97,05013
5,14,204,52,25.49,85,41.67,67,32.84,05014
5,15,133,39,29.32,58,43.61,36,27.07,05015
5,16,119,56,47.06,43,36.13,20,16.81,05016
5,17,177,76,42.94,80,45.2,21,11.86,05017
5,18,155,63,40.65,61,39.35,31,20.0,05018
5,19,82,30,36.59,38,46.34,14,17.07,05019
5,20,79,31,39.24,28,35.44,20,25.32,05020
5,21,208,100,48.08,75,36.06,33,15.87,05021
5,22,160,53,33.13,79,49.38,28,17.5,05022
5,23,116,43,37.07,50,43.1,23,19.83,05023
5,24,167,37,22.16,75,44.91,55,32.93,05024
5,25,163,57,34.97,81,49.69,25,15.34,05025
5,26,185,113,61.08,47,25.41,25,13.51,05026
5,27,147,30,20.41,56,38.1,61,41.5,05027
5,28,185,74,40.0,45,24.32,66,35.68,05028
5,29,176,94,53.41,50,28.41,32,18.18,05029
5,30,140,18,12.86,43,30.71,79,56.43,05030
5,31,140,81,57.86,32,22.86,27,19.29,05031
5,32,284,131,46.13,109,38.38,44,15.49,05032
5,33,135,36,26.67,62,45.93,37,27.41,05033
5,34,172,117,68.02,39,22.67,16,9.3,05034
5,35,127,36,28.35,50,39.37,41,32.28,05035
5,36,85,39,45.88,32,37.65,14,16.47,05036
5,37,133,35,26.32,59,44.36,39,29.32,05037
5,38,166,40,24.1,62,37.35,64,38.55,05038
5,39,176,31,17.61,57,32.39,88,50.0,05039
