ward,precinct,total,Edward J. Lechowicz,Edward J. Lechowicz Percent,Roxanne L. Rochester,Roxanne L. Rochester Percent,Ramon Ocasio III,Ramon Ocasio III Percent,precinct_id
1,1,74,33,44.59,8,10.81,33,44.59,01001
1,2,47,19,40.43,11,23.4,17,36.17,01002
1,3,43,10,23.26,11,25.58,22,51.16,01003
1,4,67,13,19.4,19,28.36,35,52.24,01004
1,5,60,18,30.0,19,31.67,23,38.33,01005
1,6,57,21,36.84,12,21.05,24,42.11,01006
1,7,75,25,33.33,15,20.0,35,46.67,01007
1,8,64,20,31.25,18,28.13,26,40.63,01008
1,9,102,34,33.33,21,20.59,47,46.08,01009
1,10,69,16,23.19,26,37.68,27,39.13,01010
1,11,41,14,34.15,8,19.51,19,46.34,01011
1,12,76,24,31.58,23,30.26,29,38.16,01012
1,13,101,28,27.72,21,20.79,52,51.49,01013
1,14,90,18,20.0,24,26.67,48,53.33,01014
1,15,71,15,21.13,9,12.68,47,66.2,01015
1,16,34,8,23.53,10,29.41,16,47.06,01016
1,17,47,10,21.28,14,29.79,23,48.94,01017
1,18,61,17,27.87,12,19.67,32,52.46,01018
1,19,91,19,20.88,6,6.59,66,72.53,01019
1,20,75,27,36.0,10,13.33,38,50.67,01020
1,21,65,20,30.77,12,18.46,33,50.77,01021
1,22,87,23,26.44,12,13.79,52,59.77,01022
1,23,50,15,30.0,9,18.0,26,52.0,01023
1,24,134,33,24.63,31,23.13,70,52.24,01024
1,25,61,13,21.31,19,31.15,29,47.54,01025
1,26,45,22,48.89,15,33.33,8,17.78,01026
1,27,51,10,19.61,10,19.61,31,60.78,01027
1,28,92,20,21.74,27,29.35,45,48.91,01028
1,29,72,20,27.78,18,25.0,34,47.22,01029
1,30,163,52,31.9,29,17.79,82,50.31,01030
1,31,58,19,32.76,10,17.24,29,50.0,01031
1,32,89,32,35.96,18,20.22,39,43.82,01032
1,33,70,18,25.71,19,27.14,33,47.14,01033
1,34,44,10,22.73,5,11.36,29,65.91,01034
1,35,31,12,38.71,2,6.45,17,54.84,01035
1,36,56,20,35.71,16,28.57,20,35.71,01036
1,37,57,27,47.37,14,24.56,16,28.07,01037
1,38,44,13,29.55,6,13.64,25,56.82,01038
1,39,85,28,32.94,7,8.24,50,58.82,01039
1,40,55,20,36.36,14,25.45,21,38.18,01040
1,41,104,14,13.46,9,8.65,81,77.88,01041
1,42,43,15,34.88,14,32.56,14,32.56,01042
1,43,55,19,34.55,14,25.45,22,40.0,01043
1,44,45,26,57.78,8,17.78,11,24.44,01044
1,45,65,10,15.38,15,23.08,40,61.54,01045
1,46,64,24,37.5,10,15.63,30,46.88,01046
1,47,34,6,17.65,15,44.12,13,38.24,01047
1,48,64,21,32.81,17,26.56,26,40.63,01048
