ward,precinct,total,Maria Antonia ''Toni'' Berrios,Maria Antonia ''Toni'' Berrios Percent,precinct_id
1,7,77,77,100.0,01007
1,9,105,105,100.0,01009
1,13,114,114,100.0,01013
1,20,108,108,100.0,01020
1,24,142,142,100.0,01024
1,29,74,74,100.0,01029
1,30,164,164,100.0,01030
1,31,7,7,100.0,01031
1,34,45,45,100.0,01034
1,38,42,42,100.0,01038
1,39,92,92,100.0,01039
26,8,54,54,100.0,26008
26,19,96,96,100.0,26019
26,34,55,55,100.0,26034
26,51,73,73,100.0,26051
30,9,95,95,100.0,30009
30,18,64,64,100.0,30018
30,19,48,48,100.0,30019
30,25,45,45,100.0,30025
30,36,52,52,100.0,30036
31,1,55,55,100.0,31001
31,2,58,58,100.0,31002
31,4,66,66,100.0,31004
31,5,84,84,100.0,31005
31,6,77,77,100.0,31006
31,7,66,66,100.0,31007
31,9,68,68,100.0,31009
31,11,49,49,100.0,31011
31,13,55,55,100.0,31013
31,14,41,41,100.0,31014
31,16,43,43,100.0,31016
31,18,50,50,100.0,31018
31,19,79,79,100.0,31019
31,22,44,44,100.0,31022
31,28,64,64,100.0,31028
31,30,84,84,100.0,31030
31,31,91,91,100.0,31031
31,32,83,83,100.0,31032
31,33,69,69,100.0,31033
31,38,47,47,100.0,31038
31,41,56,56,100.0,31041
31,46,68,68,100.0,31046
31,47,88,88,100.0,31047
31,48,69,69,100.0,31048
31,49,49,49,100.0,31049
31,50,67,67,100.0,31050
32,14,76,76,100.0,32014
32,16,60,60,100.0,32016
35,1,114,114,100.0,35001
35,3,67,67,100.0,35003
35,5,108,108,100.0,35005
35,6,113,113,100.0,35006
35,7,117,117,100.0,35007
35,8,91,91,100.0,35008
35,9,105,105,100.0,35009
35,10,104,104,100.0,35010
35,11,90,90,100.0,35011
35,12,132,132,100.0,35012
35,13,26,26,100.0,35013
35,14,143,143,100.0,35014
35,15,95,95,100.0,35015
35,16,118,118,100.0,35016
35,17,121,121,100.0,35017
35,18,114,114,100.0,35018
35,19,100,100,100.0,35019
35,20,101,101,100.0,35020
35,21,97,97,100.0,35021
35,24,63,63,100.0,35024
35,25,83,83,100.0,35025
35,27,130,130,100.0,35027
35,28,106,106,100.0,35028
35,29,114,114,100.0,35029
35,30,131,131,100.0,35030
35,31,53,53,100.0,35031
35,33,24,24,100.0,35033
35,34,90,90,100.0,35034
35,36,60,60,100.0,35036
38,53,1,1,100.0,38053
