ward,precinct,total,Michael J. Madigan,Michael J. Madigan Percent,precinct_id
3,51,47,47,100.0,03051
11,1,145,145,100.0,11001
11,2,110,110,100.0,11002
11,4,127,127,100.0,11004
11,5,70,70,100.0,11005
11,6,160,160,100.0,11006
11,7,127,127,100.0,11007
11,8,135,135,100.0,11008
11,9,85,85,100.0,11009
11,11,145,145,100.0,11011
11,12,140,140,100.0,11012
11,13,125,125,100.0,11013
11,15,114,114,100.0,11015
11,16,136,136,100.0,11016
11,17,176,176,100.0,11017
11,18,85,85,100.0,11018
11,19,89,89,100.0,11019
11,20,108,108,100.0,11020
11,21,185,185,100.0,11021
11,22,115,115,100.0,11022
11,23,104,104,100.0,11023
11,24,270,270,100.0,11024
11,25,98,98,100.0,11025
11,26,185,185,100.0,11026
11,29,154,154,100.0,11029
11,30,119,119,100.0,11030
11,31,120,120,100.0,11031
11,32,122,122,100.0,11032
11,33,103,103,100.0,11033
11,34,39,39,100.0,11034
11,35,190,190,100.0,11035
11,37,177,177,100.0,11037
11,38,178,178,100.0,11038
11,39,223,223,100.0,11039
11,40,75,75,100.0,11040
11,41,89,89,100.0,11041
11,42,80,80,100.0,11042
11,43,146,146,100.0,11043
11,44,123,123,100.0,11044
11,45,65,65,100.0,11045
11,47,108,108,100.0,11047
11,48,61,61,100.0,11048
11,49,115,115,100.0,11049
11,50,112,112,100.0,11050
13,1,151,151,100.0,13001
13,2,132,132,100.0,13002
13,4,245,245,100.0,13004
13,5,184,184,100.0,13005
13,6,173,173,100.0,13006
13,7,160,160,100.0,13007
13,8,207,207,100.0,13008
13,9,183,183,100.0,13009
13,10,181,181,100.0,13010
13,11,190,190,100.0,13011
13,12,162,162,100.0,13012
13,13,155,155,100.0,13013
13,14,120,120,100.0,13014
13,15,256,256,100.0,13015
13,16,140,140,100.0,13016
13,17,197,197,100.0,13017
13,18,134,134,100.0,13018
13,19,142,142,100.0,13019
13,20,155,155,100.0,13020
13,21,216,216,100.0,13021
13,22,185,185,100.0,13022
13,23,129,129,100.0,13023
13,24,173,173,100.0,13024
13,25,138,138,100.0,13025
13,26,115,115,100.0,13026
13,27,200,200,100.0,13027
13,28,123,123,100.0,13028
13,29,154,154,100.0,13029
13,30,177,177,100.0,13030
13,31,180,180,100.0,13031
13,32,173,173,100.0,13032
