ward,precinct,total,George Cardenas,George Cardenas Percent,Ricardo Muñoz,Ricardo Muñoz Percent,precinct_id
1,1,4,3,75.0,1,25.0,01001
1,2,53,29,54.72,24,45.28,01002
1,3,41,21,51.22,20,48.78,01003
1,4,75,32,42.67,43,57.33,01004
1,5,62,15,24.19,47,75.81,01005
1,7,73,26,35.62,47,64.38,01007
1,8,61,28,45.9,33,54.1,01008
1,9,108,38,35.19,70,64.81,01009
1,10,72,38,52.78,34,47.22,01010
1,11,40,20,50.0,20,50.0,01011
1,12,67,15,22.39,52,77.61,01012
1,13,119,37,31.09,82,68.91,01013
1,14,93,38,40.86,55,59.14,01014
1,15,83,35,42.17,48,57.83,01015
1,16,39,22,56.41,17,43.59,01016
1,17,52,23,44.23,29,55.77,01017
1,18,63,29,46.03,34,53.97,01018
1,19,90,37,41.11,53,58.89,01019
1,20,111,29,26.13,82,73.87,01020
1,21,70,26,37.14,44,62.86,01021
1,22,84,24,28.57,60,71.43,01022
1,23,47,15,31.91,32,68.09,01023
1,24,141,57,40.43,84,59.57,01024
1,25,58,29,50.0,29,50.0,01025
1,26,47,21,44.68,26,55.32,01026
1,27,57,16,28.07,41,71.93,01027
1,28,96,43,44.79,53,55.21,01028
1,29,75,21,28.0,54,72.0,01029
1,30,163,56,34.36,107,65.64,01030
1,31,54,19,35.19,35,64.81,01031
1,32,101,38,37.62,63,62.38,01032
1,33,67,19,28.36,48,71.64,01033
1,34,47,12,25.53,35,74.47,01034
1,35,29,13,44.83,16,55.17,01035
1,36,57,19,33.33,38,66.67,01036
1,37,57,29,50.88,28,49.12,01037
1,38,44,13,29.55,31,70.45,01038
1,39,95,31,32.63,64,67.37,01039
1,40,56,19,33.93,37,66.07,01040
1,41,102,32,31.37,70,68.63,01041
1,42,47,23,48.94,24,51.06,01042
1,43,60,24,40.0,36,60.0,01043
1,44,37,21,56.76,16,43.24,01044
1,45,72,25,34.72,47,65.28,01045
1,46,58,21,36.21,37,63.79,01046
1,47,43,18,41.86,25,58.14,01047
1,48,68,34,50.0,34,50.0,01048
1,49,25,11,44.0,14,56.0,01049
1,50,53,28,52.83,25,47.17,01050
3,13,108,43,39.81,65,60.19,03013
11,3,123,79,64.23,44,35.77,11003
11,10,89,49,55.06,40,44.94,11010
11,18,15,6,40.0,9,60.0,11018
11,26,2,0,0.0,2,100.0,11026
12,1,58,33,56.9,25,43.1,12001
12,2,85,58,68.24,27,31.76,12002
12,3,77,41,53.25,36,46.75,12003
12,4,77,54,70.13,23,29.87,12004
12,5,99,62,62.63,37,37.37,12005
12,6,76,26,34.21,50,65.79,12006
12,7,91,42,46.15,49,53.85,12007
12,8,179,120,67.04,59,32.96,12008
12,9,110,72,65.45,38,34.55,12009
12,10,98,61,62.24,37,37.76,12010
12,11,160,106,66.25,54,33.75,12011
12,12,75,35,46.67,40,53.33,12012
12,13,152,89,58.55,63,41.45,12013
12,14,74,36,48.65,38,51.35,12014
12,15,91,45,49.45,46,50.55,12015
12,16,78,42,53.85,36,46.15,12016
12,17,140,103,73.57,37,26.43,12017
12,18,62,26,41.94,36,58.06,12018
12,19,107,60,56.07,47,43.93,12019
12,20,97,78,80.41,19,19.59,12020
12,21,130,86,66.15,44,33.85,12021
12,22,87,43,49.43,44,50.57,12022
12,23,97,53,54.64,44,45.36,12023
12,24,138,81,58.7,57,41.3,12024
13,3,201,108,53.73,93,46.27,13003
14,1,104,57,54.81,47,45.19,14001
14,3,170,75,44.12,95,55.88,14003
14,4,117,65,55.56,52,44.44,14004
14,5,180,101,56.11,79,43.89,14005
14,6,121,58,47.93,63,52.07,14006
14,7,119,80,67.23,39,32.77,14007
14,8,92,62,67.39,30,32.61,14008
14,9,152,75,49.34,77,50.66,14009
14,10,132,79,59.85,53,40.15,14010
14,11,108,56,51.85,52,48.15,14011
14,12,119,72,60.5,47,39.5,14012
14,13,191,102,53.4,89,46.6,14013
14,14,102,65,63.73,37,36.27,14014
14,15,158,88,55.7,70,44.3,14015
14,16,124,63,50.81,61,49.19,14016
14,17,147,112,76.19,35,23.81,14017
14,18,116,54,46.55,62,53.45,14018
14,19,184,117,63.59,67,36.41,14019
14,20,116,65,56.03,51,43.97,14020
14,21,151,113,74.83,38,25.17,14021
14,22,155,105,67.74,50,32.26,14022
14,23,140,84,60.0,56,40.0,14023
14,24,79,51,64.56,28,35.44,14024
14,26,151,70,46.36,81,53.64,14026
14,27,154,76,49.35,78,50.65,14027
14,29,151,98,64.9,53,35.1,14029
14,30,106,69,65.09,37,34.91,14030
14,31,134,98,73.13,36,26.87,14031
14,32,111,62,55.86,49,44.14,14032
14,33,106,74,69.81,32,30.19,14033
14,34,131,91,69.47,40,30.53,14034
14,35,102,61,59.8,41,40.2,14035
16,21,78,31,39.74,47,60.26,16021
16,32,81,36,44.44,45,55.56,16032
20,4,90,36,40.0,54,60.0,20004
20,8,51,25,49.02,26,50.98,20008
20,15,100,41,41.0,59,59.0,20015
20,21,49,20,40.82,29,59.18,20021
22,1,87,12,13.79,75,86.21,22001
22,2,83,16,19.28,67,80.72,22002
22,3,134,34,25.37,100,74.63,22003
22,4,119,22,18.49,97,81.51,22004
22,5,128,17,13.28,111,86.72,22005
22,6,126,14,11.11,112,88.89,22006
22,8,84,8,9.52,76,90.48,22008
22,9,127,23,18.11,104,81.89,22009
22,10,100,25,25.0,75,75.0,22010
22,11,92,19,20.65,73,79.35,22011
22,12,105,30,28.57,75,71.43,22012
22,13,135,46,34.07,89,65.93,22013
22,14,83,14,16.87,69,83.13,22014
22,15,98,19,19.39,79,80.61,22015
22,16,138,36,26.09,102,73.91,22016
22,17,98,20,20.41,78,79.59,22017
22,18,124,31,25.0,93,75.0,22018
22,20,145,19,13.1,126,86.9,22020
22,22,85,20,23.53,65,76.47,22022
22,23,122,23,18.85,99,81.15,22023
22,24,103,13,12.62,90,87.38,22024
22,25,94,25,26.6,69,73.4,22025
22,26,100,26,26.0,74,74.0,22026
22,27,126,34,26.98,92,73.02,22027
22,28,75,21,28.0,54,72.0,22028
22,29,81,20,24.69,61,75.31,22029
23,9,177,54,30.51,123,69.49,23009
23,24,113,45,39.82,68,60.18,23024
23,29,147,51,34.69,96,65.31,23029
24,53,152,71,46.71,81,53.29,24053
24,57,120,22,18.33,98,81.67,24057
25,1,159,72,45.28,87,54.72,25001
25,2,196,67,34.18,129,65.82,25002
25,5,158,74,46.84,84,53.16,25005
25,6,72,29,40.28,43,59.72,25006
25,7,128,50,39.06,78,60.94,25007
25,8,150,50,33.33,100,66.67,25008
25,9,203,58,28.57,145,71.43,25009
25,11,151,57,37.75,94,62.25,25011
25,12,117,34,29.06,83,70.94,25012
25,13,173,54,31.21,119,68.79,25013
25,15,154,64,41.56,90,58.44,25015
25,17,227,73,32.16,154,67.84,25017
25,19,154,52,33.77,102,66.23,25019
25,20,176,67,38.07,109,61.93,25020
25,22,73,23,31.51,50,68.49,25022
25,23,185,58,31.35,127,68.65,25023
25,24,158,63,39.87,95,60.13,25024
25,30,150,56,37.33,94,62.67,25030
25,31,58,21,36.21,37,63.79,25031
26,1,42,17,40.48,25,59.52,26001
26,2,84,35,41.67,49,58.33,26002
