ward,precinct,total,Barbara Flynn Currie,Barbara Flynn Currie Percent,Sharon Latiker,Sharon Latiker Percent,precinct_id
4,1,155,140,90.32,15,9.68,04001
4,9,394,336,85.28,58,14.72,04009
4,17,181,162,89.5,19,10.5,04017
4,21,221,184,83.26,37,16.74,04021
4,22,274,220,80.29,54,19.71,04022
4,28,131,114,87.02,17,12.98,04028
4,29,165,143,86.67,22,13.33,04029
4,32,203,189,93.1,14,6.9,04032
4,34,155,149,96.13,6,3.87,04034
4,38,275,223,81.09,52,18.91,04038
4,41,90,80,88.89,10,11.11,04041
4,43,126,116,92.06,10,7.94,04043
4,44,122,98,80.33,24,19.67,04044
4,45,380,331,87.11,49,12.89,04045
4,47,233,182,78.11,51,21.89,04047
4,48,257,236,91.83,21,8.17,04048
4,54,104,87,83.65,17,16.35,04054
4,55,125,116,92.8,9,7.2,04055
5,1,186,112,60.22,74,39.78,05001
5,3,93,83,89.25,10,10.75,05003
5,5,156,101,64.74,55,35.26,05005
5,6,206,139,67.48,67,32.52,05006
5,7,185,127,68.65,58,31.35,05007
5,8,238,233,97.9,5,2.1,05008
5,11,188,165,87.77,23,12.23,05011
5,14,251,230,91.63,21,8.37,05014
5,17,205,123,60.0,82,40.0,05017
5,21,206,120,58.25,86,41.75,05021
5,22,177,109,61.58,68,38.42,05022
5,24,200,189,94.5,11,5.5,05024
5,25,172,113,65.7,59,34.3,05025
5,26,207,111,53.62,96,46.38,05026
5,27,199,194,97.49,5,2.51,05027
5,28,205,143,69.76,62,30.24,05028
5,29,184,106,57.61,78,42.39,05029
5,30,181,173,95.58,8,4.42,05030
5,31,151,111,73.51,40,26.49,05031
5,32,300,214,71.33,86,28.67,05032
5,33,144,92,63.89,52,36.11,05033
5,34,183,118,64.48,65,35.52,05034
5,35,146,129,88.36,17,11.64,05035
5,36,91,65,71.43,26,28.57,05036
5,37,166,152,91.57,14,8.43,05037
5,38,209,199,95.22,10,4.78,05038
5,39,231,226,97.84,5,2.16,05039
5,40,163,95,58.28,68,41.72,05040
5,41,153,151,98.69,2,1.31,05041
5,42,190,131,68.95,59,31.05,05042
5,43,210,136,64.76,74,35.24,05043
5,44,226,144,63.72,82,36.28,05044
5,46,202,187,92.57,15,7.43,05046
5,47,120,76,63.33,44,36.67,05047
5,48,107,89,83.18,18,16.82,05048
5,49,38,20,52.63,18,47.37,05049
5,53,222,191,86.04,31,13.96,05053
5,54,265,199,75.09,66,24.91,05054
5,55,157,111,70.7,46,29.3,05055
7,3,108,60,55.56,48,44.44,07003
7,8,57,33,57.89,24,42.11,07008
7,9,169,101,59.76,68,40.24,07009
7,10,109,63,57.8,46,42.2,07010
7,11,178,108,60.67,70,39.33,07011
7,14,183,102,55.74,81,44.26,07014
7,15,85,45,52.94,40,47.06,07015
7,16,132,70,53.03,62,46.97,07016
7,17,111,60,54.05,51,45.95,07017
7,18,107,54,50.47,53,49.53,07018
7,20,88,21,23.86,67,76.14,07020
7,22,122,28,22.95,94,77.05,07022
7,23,105,47,44.76,58,55.24,07023
7,28,157,89,56.69,68,43.31,07028
7,32,135,78,57.78,57,42.22,07032
7,35,77,47,61.04,30,38.96,07035
7,39,134,68,50.75,66,49.25,07039
7,40,181,95,52.49,86,47.51,07040
7,44,201,120,59.7,81,40.3,07044
7,45,261,137,52.49,124,47.51,07045
7,46,91,60,65.93,31,34.07,07046
7,48,63,37,58.73,26,41.27,07048
7,54,69,35,50.72,34,49.28,07054
7,56,111,64,57.66,47,42.34,07056
7,63,127,66,51.97,61,48.03,07063
7,64,141,76,53.9,65,46.1,07064
7,65,156,75,48.08,81,51.92,07065
8,70,228,120,52.63,108,47.37,08070
10,1,129,65,50.39,64,49.61,10001
10,4,92,65,70.65,27,29.35,10004
10,7,31,24,77.42,7,22.58,10007
10,18,91,55,60.44,36,39.56,10018
10,25,143,97,67.83,46,32.17,10025
10,37,106,41,38.68,65,61.32,10037
10,43,58,39,67.24,19,32.76,10043
10,45,53,43,81.13,10,18.87,10045
10,47,107,89,83.18,18,16.82,10047
10,48,101,69,68.32,32,31.68,10048
10,49,92,48,52.17,44,47.83,10049
20,26,171,125,73.1,46,26.9,20026
20,34,168,121,72.02,47,27.98,20034
20,38,28,15,53.57,13,46.43,20038
