ward,precinct,total,Sara Feigenholtz,Sara Feigenholtz Percent,precinct_id
42,8,129,129,100.0,42008
42,10,58,58,100.0,42010
42,15,110,110,100.0,42015
42,16,57,57,100.0,42016
42,26,127,127,100.0,42026
42,28,116,116,100.0,42028
42,30,67,67,100.0,42030
42,33,167,167,100.0,42033
42,34,96,96,100.0,42034
42,36,71,71,100.0,42036
43,4,98,98,100.0,43004
43,8,133,133,100.0,43008
43,12,130,130,100.0,43012
43,14,107,107,100.0,43014
43,16,100,100,100.0,43016
43,17,85,85,100.0,43017
43,18,121,121,100.0,43018
43,23,74,74,100.0,43023
43,24,106,106,100.0,43024
43,25,102,102,100.0,43025
43,26,84,84,100.0,43026
43,27,87,87,100.0,43027
43,28,106,106,100.0,43028
43,32,104,104,100.0,43032
43,33,32,32,100.0,43033
43,34,28,28,100.0,43034
43,36,80,80,100.0,43036
43,38,66,66,100.0,43038
43,39,55,55,100.0,43039
43,42,112,112,100.0,43042
43,43,53,53,100.0,43043
43,44,78,78,100.0,43044
43,45,41,41,100.0,43045
43,46,131,131,100.0,43046
43,48,85,85,100.0,43048
43,49,94,94,100.0,43049
43,52,57,57,100.0,43052
43,53,105,105,100.0,43053
43,58,61,61,100.0,43058
43,59,116,116,100.0,43059
44,1,119,119,100.0,44001
44,2,79,79,100.0,44002
44,3,152,152,100.0,44003
44,4,152,152,100.0,44004
44,5,103,103,100.0,44005
44,6,86,86,100.0,44006
44,7,144,144,100.0,44007
44,8,48,48,100.0,44008
44,10,48,48,100.0,44010
44,12,66,66,100.0,44012
44,14,74,74,100.0,44014
44,15,147,147,100.0,44015
44,17,125,125,100.0,44017
44,18,69,69,100.0,44018
44,19,55,55,100.0,44019
44,20,68,68,100.0,44020
44,21,107,107,100.0,44021
44,22,144,144,100.0,44022
44,23,76,76,100.0,44023
44,24,71,71,100.0,44024
44,26,64,64,100.0,44026
44,28,68,68,100.0,44028
44,29,92,92,100.0,44029
44,30,96,96,100.0,44030
44,31,88,88,100.0,44031
44,32,71,71,100.0,44032
44,33,105,105,100.0,44033
44,34,72,72,100.0,44034
44,35,100,100,100.0,44035
44,36,68,68,100.0,44036
44,37,163,163,100.0,44037
44,38,74,74,100.0,44038
44,39,80,80,100.0,44039
44,41,83,83,100.0,44041
44,42,122,122,100.0,44042
44,44,126,126,100.0,44044
44,45,108,108,100.0,44045
44,46,82,82,100.0,44046
44,48,98,98,100.0,44048
44,49,213,213,100.0,44049
44,50,80,80,100.0,44050
46,1,253,253,100.0,46001
46,3,144,144,100.0,46003
46,5,51,51,100.0,46005
46,10,72,72,100.0,46010
46,13,101,101,100.0,46013
46,15,122,122,100.0,46015
46,17,173,173,100.0,46017
46,18,147,147,100.0,46018
46,24,67,67,100.0,46024
46,28,111,111,100.0,46028
46,29,135,135,100.0,46029
46,30,148,148,100.0,46030
46,31,124,124,100.0,46031
46,33,130,130,100.0,46033
46,36,150,150,100.0,46036
46,37,49,49,100.0,46037
46,43,170,170,100.0,46043
46,44,101,101,100.0,46044
