ward,precinct,total,Carol M. Howard,Carol M. Howard Percent,Melanie Rose Nuby,Melanie Rose Nuby Percent,Leopoldo ''Leo'' Lastre,Leopoldo ''Leo'' Lastre Percent,Kenneth K. McNeil,Kenneth K. McNeil Percent,precinct_id
1,6,13,5,38.46,1,7.69,4,30.77,3,23.08,01006
2,2,4,4,100.0,0,0.0,0,0.0,0,0.0,02002
2,3,85,39,45.88,23,27.06,7,8.24,16,18.82,02003
2,4,91,45,49.45,10,10.99,2,2.2,34,37.36,02004
2,5,82,51,62.2,15,18.29,4,4.88,12,14.63,02005
2,6,63,37,58.73,15,23.81,5,7.94,6,9.52,02006
2,9,99,40,40.4,14,14.14,3,3.03,42,42.42,02009
2,10,25,12,48.0,1,4.0,4,16.0,8,32.0,02010
2,12,75,47,62.67,8,10.67,8,10.67,12,16.0,02012
2,13,95,57,60.0,17,17.89,9,9.47,12,12.63,02013
2,15,21,17,80.95,1,4.76,0,0.0,3,14.29,02015
2,16,79,29,36.71,18,22.78,7,8.86,25,31.65,02016
2,17,110,65,59.09,31,28.18,5,4.55,9,8.18,02017
2,19,4,2,50.0,1,25.0,0,0.0,1,25.0,02019
2,23,85,41,48.24,24,28.24,7,8.24,13,15.29,02023
2,24,65,39,60.0,13,20.0,5,7.69,8,12.31,02024
2,25,62,28,45.16,16,25.81,6,9.68,12,19.35,02025
2,27,96,54,56.25,18,18.75,6,6.25,18,18.75,02027
2,28,29,18,62.07,3,10.34,1,3.45,7,24.14,02028
2,29,35,18,51.43,6,17.14,1,2.86,10,28.57,02029
2,30,63,29,46.03,17,26.98,3,4.76,14,22.22,02030
2,32,49,20,40.82,5,10.2,1,2.04,23,46.94,02032
2,33,63,41,65.08,12,19.05,1,1.59,9,14.29,02033
2,34,131,81,61.83,25,19.08,6,4.58,19,14.5,02034
2,36,56,34,60.71,14,25.0,0,0.0,8,14.29,02036
2,38,131,89,67.94,23,17.56,4,3.05,15,11.45,02038
2,39,85,46,54.12,11,12.94,14,16.47,14,16.47,02039
2,41,60,30,50.0,14,23.33,6,10.0,10,16.67,02041
2,42,20,12,60.0,3,15.0,1,5.0,4,20.0,02042
2,45,97,58,59.79,18,18.56,4,4.12,17,17.53,02045
2,47,111,61,54.95,21,18.92,9,8.11,20,18.02,02047
2,48,86,56,65.12,9,10.47,6,6.98,15,17.44,02048
2,50,67,29,43.28,16,23.88,11,16.42,11,16.42,02050
2,51,59,35,59.32,12,20.34,3,5.08,9,15.25,02051
2,52,139,82,58.99,25,17.99,7,5.04,25,17.99,02052
2,53,40,20,50.0,12,30.0,2,5.0,6,15.0,02053
2,56,125,65,52.0,21,16.8,11,8.8,28,22.4,02056
2,57,106,60,56.6,21,19.81,9,8.49,16,15.09,02057
22,7,112,59,52.68,34,30.36,3,2.68,16,14.29,22007
