ward,precinct,total,Alexander Giannoulias,Alexander Giannoulias Percent,Paul L. Mangieri,Paul L. Mangieri Percent,precinct_id
36,5,112,51,45.54,61,54.46,36005
36,6,128,74,57.81,54,42.19,36006
36,7,97,59,60.82,38,39.18,36007
36,8,130,57,43.85,73,56.15,36008
36,9,128,60,46.88,68,53.13,36009
36,10,84,47,55.95,37,44.05,36010
36,11,184,85,46.2,99,53.8,36011
36,12,91,50,54.95,41,45.05,36012
36,13,275,92,33.45,183,66.55,36013
36,14,173,69,39.88,104,60.12,36014
36,15,125,57,45.6,68,54.4,36015
36,16,259,155,59.85,104,40.15,36016
36,17,135,56,41.48,79,58.52,36017
36,18,180,89,49.44,91,50.56,36018
36,19,159,73,45.91,86,54.09,36019
36,20,158,70,44.3,88,55.7,36020
36,21,208,109,52.4,99,47.6,36021
36,22,187,110,58.82,77,41.18,36022
36,23,94,55,58.51,39,41.49,36023
36,24,153,98,64.05,55,35.95,36024
36,25,97,48,49.48,49,50.52,36025
36,26,134,82,61.19,52,38.81,36026
36,27,88,42,47.73,46,52.27,36027
36,28,135,71,52.59,64,47.41,36028
36,29,124,66,53.23,58,46.77,36029
36,30,148,75,50.68,73,49.32,36030
36,31,153,73,47.71,80,52.29,36031
36,32,134,84,62.69,50,37.31,36032
36,33,133,76,57.14,57,42.86,36033
36,34,108,54,50.0,54,50.0,36034
36,35,186,89,47.85,97,52.15,36035
36,36,113,67,59.29,46,40.71,36036
36,37,98,53,54.08,45,45.92,36037
36,38,83,44,53.01,39,46.99,36038
36,39,124,74,59.68,50,40.32,36039
36,40,138,72,52.17,66,47.83,36040
36,41,98,47,47.96,51,52.04,36041
36,42,107,57,53.27,50,46.73,36042
36,43,95,61,64.21,34,35.79,36043
36,44,183,129,70.49,54,29.51,36044
36,45,160,102,63.75,58,36.25,36045
36,46,104,63,60.58,41,39.42,36046
36,47,112,47,41.96,65,58.04,36047
36,48,118,68,57.63,50,42.37,36048
36,49,154,85,55.19,69,44.81,36049
36,50,139,51,36.69,88,63.31,36050
36,51,167,81,48.5,86,51.5,36051
36,52,113,63,55.75,50,44.25,36052
36,53,104,57,54.81,47,45.19,36053
36,54,195,116,59.49,79,40.51,36054
36,55,243,141,58.02,102,41.98,36055
37,1,84,48,57.14,36,42.86,37001
37,2,136,81,59.56,55,40.44,37002
37,3,68,51,75.0,17,25.0,37003
37,4,141,93,65.96,48,34.04,37004
37,5,194,104,53.61,90,46.39,37005
37,6,184,132,71.74,52,28.26,37006
37,7,188,114,60.64,74,39.36,37007
37,8,114,66,57.89,48,42.11,37008
