ward,precinct,total,William ''Will'' Davis,William ''Will'' Davis Percent,precinct_id
9,4,288,288,100.0,09004
9,6,279,279,100.0,09006
9,11,230,230,100.0,09011
9,18,232,232,100.0,09018
9,19,279,279,100.0,09019
9,30,211,211,100.0,09030
9,39,277,277,100.0,09039
9,45,283,283,100.0,09045
34,3,43,43,100.0,34003
34,6,174,174,100.0,34006
34,35,346,346,100.0,34035
