ward,precinct,total,Lou Lang,Lou Lang Percent,precinct_id
40,8,62,62,100.0,40008
49,24,263,263,100.0,49024
49,28,188,188,100.0,49028
49,38,181,181,100.0,49038
49,40,177,177,100.0,49040
49,41,215,215,100.0,49041
50,1,256,256,100.0,50001
50,2,265,265,100.0,50002
50,3,240,240,100.0,50003
50,4,255,255,100.0,50004
50,5,259,259,100.0,50005
50,6,220,220,100.0,50006
50,7,256,256,100.0,50007
50,8,166,166,100.0,50008
50,9,200,200,100.0,50009
50,10,150,150,100.0,50010
50,11,235,235,100.0,50011
50,12,174,174,100.0,50012
50,13,275,275,100.0,50013
50,14,136,136,100.0,50014
50,15,265,265,100.0,50015
50,16,139,139,100.0,50016
50,17,185,185,100.0,50017
50,18,237,237,100.0,50018
50,19,207,207,100.0,50019
50,20,216,216,100.0,50020
50,21,268,268,100.0,50021
50,22,216,216,100.0,50022
50,23,148,148,100.0,50023
50,24,218,218,100.0,50024
50,25,207,207,100.0,50025
50,26,171,171,100.0,50026
50,27,96,96,100.0,50027
50,28,237,237,100.0,50028
50,29,259,259,100.0,50029
50,30,221,221,100.0,50030
50,31,98,98,100.0,50031
50,32,213,213,100.0,50032
50,33,176,176,100.0,50033
50,34,182,182,100.0,50034
50,35,306,306,100.0,50035
50,36,247,247,100.0,50036
50,37,276,276,100.0,50037
50,38,177,177,100.0,50038
50,39,207,207,100.0,50039
50,40,264,264,100.0,50040
50,41,291,291,100.0,50041
50,42,235,235,100.0,50042
50,43,214,214,100.0,50043
