ward,precinct,total,Michael J. Madigan,Michael J. Madigan Percent,Robert P. Famiglietti,Robert P. Famiglietti Percent,precinct_id
13,1,274,236,86.13,38,13.87,13001
13,2,206,195,94.66,11,5.34,13002
13,4,278,227,81.65,51,18.35,13004
13,5,317,305,96.21,12,3.79,13005
13,6,276,243,88.04,33,11.96,13006
13,7,245,225,91.84,20,8.16,13007
13,8,320,287,89.69,33,10.31,13008
13,9,302,279,92.38,23,7.62,13009
13,10,247,216,87.45,31,12.55,13010
13,11,299,280,93.65,19,6.35,13011
13,12,242,221,91.32,21,8.68,13012
13,13,298,277,92.95,21,7.05,13013
13,14,222,196,88.29,26,11.71,13014
13,15,410,387,94.39,23,5.61,13015
13,16,228,220,96.49,8,3.51,13016
13,17,260,221,85.0,39,15.0,13017
13,21,329,295,89.67,34,10.33,13021
13,22,254,234,92.13,20,7.87,13022
13,23,223,203,91.03,20,8.97,13023
13,24,254,234,92.13,20,7.87,13024
13,25,230,202,87.83,28,12.17,13025
13,27,284,260,91.55,24,8.45,13027
13,28,228,216,94.74,12,5.26,13028
13,29,236,225,95.34,11,4.66,13029
13,30,57,56,98.25,1,1.75,13030
13,31,60,55,91.67,5,8.33,13031
13,32,293,273,93.17,20,6.83,13032
13,33,250,230,92.0,20,8.0,13033
13,34,227,196,86.34,31,13.66,13034
13,35,292,273,93.49,19,6.51,13035
13,36,174,162,93.1,12,6.9,13036
13,37,199,172,86.43,27,13.57,13037
13,38,283,252,89.05,31,10.95,13038
13,39,264,247,93.56,17,6.44,13039
13,40,328,304,92.68,24,7.32,13040
13,41,229,221,96.51,8,3.49,13041
13,42,252,227,90.08,25,9.92,13042
13,43,188,184,97.87,4,2.13,13043
13,44,319,310,97.18,9,2.82,13044
13,45,368,338,91.85,30,8.15,13045
13,46,285,260,91.23,25,8.77,13046
13,48,284,261,91.9,23,8.1,13048
13,49,300,276,92.0,24,8.0,13049
13,50,393,367,93.38,26,6.62,13050
