ward,precinct,total,Monique D. Davis,Monique D. Davis Percent,precinct_id
9,10,250,250,100.0,09010
9,20,325,325,100.0,09020
9,21,293,293,100.0,09021
9,27,279,279,100.0,09027
19,13,259,259,100.0,19013
19,20,285,285,100.0,19020
19,27,206,206,100.0,19027
19,28,363,363,100.0,19028
19,31,273,273,100.0,19031
19,40,277,277,100.0,19040
19,42,251,251,100.0,19042
19,43,386,386,100.0,19043
19,48,270,270,100.0,19048
19,49,359,359,100.0,19049
19,50,318,318,100.0,19050
19,60,294,294,100.0,19060
19,63,236,236,100.0,19063
19,64,345,345,100.0,19064
19,66,337,337,100.0,19066
19,67,113,113,100.0,19067
21,1,388,388,100.0,21001
21,3,194,194,100.0,21003
21,4,279,279,100.0,21004
21,5,258,258,100.0,21005
21,6,237,237,100.0,21006
21,7,300,300,100.0,21007
21,8,305,305,100.0,21008
21,9,298,298,100.0,21009
21,10,198,198,100.0,21010
21,11,272,272,100.0,21011
21,12,294,294,100.0,21012
21,13,144,144,100.0,21013
21,14,256,256,100.0,21014
21,17,261,261,100.0,21017
21,18,247,247,100.0,21018
21,19,223,223,100.0,21019
21,20,141,141,100.0,21020
21,21,304,304,100.0,21021
21,22,267,267,100.0,21022
21,24,298,298,100.0,21024
21,27,300,300,100.0,21027
21,28,215,215,100.0,21028
21,31,354,354,100.0,21031
21,33,240,240,100.0,21033
21,38,266,266,100.0,21038
21,40,257,257,100.0,21040
21,42,281,281,100.0,21042
21,44,278,278,100.0,21044
21,45,225,225,100.0,21045
21,47,339,339,100.0,21047
21,49,342,342,100.0,21049
21,50,243,243,100.0,21050
21,51,318,318,100.0,21051
21,53,159,159,100.0,21053
21,54,243,243,100.0,21054
21,56,225,225,100.0,21056
21,58,199,199,100.0,21058
21,59,335,335,100.0,21059
21,60,291,291,100.0,21060
21,61,299,299,100.0,21061
21,63,243,243,100.0,21063
21,66,213,213,100.0,21066
21,68,278,278,100.0,21068
34,1,433,433,100.0,34001
34,7,383,383,100.0,34007
34,8,315,315,100.0,34008
34,12,371,371,100.0,34012
34,13,360,360,100.0,34013
34,19,67,67,100.0,34019
34,21,280,280,100.0,34021
34,25,338,338,100.0,34025
34,29,305,305,100.0,34029
34,32,192,192,100.0,34032
34,33,148,148,100.0,34033
34,34,391,391,100.0,34034
34,44,351,351,100.0,34044
34,45,292,292,100.0,34045
34,46,288,288,100.0,34046
34,47,173,173,100.0,34047
34,48,371,371,100.0,34048
34,49,411,411,100.0,34049
34,51,428,428,100.0,34051
34,55,326,326,100.0,34055
34,56,144,144,100.0,34056
34,57,276,276,100.0,34057
34,58,309,309,100.0,34058
34,61,270,270,100.0,34061
