ward,precinct,total,John P. Daley,John P. Daley Percent,Carl Segvich,Carl Segvich Percent,precinct_id
3,10,110,106,96.36,4,3.64,03010
3,51,36,28,77.78,8,22.22,03051
11,1,265,234,88.3,31,11.7,11001
11,4,272,249,91.54,23,8.46,11004
11,5,166,140,84.34,26,15.66,11005
11,7,239,208,87.03,31,12.97,11007
11,8,260,225,86.54,35,13.46,11008
11,9,195,161,82.56,34,17.44,11009
11,10,155,134,86.45,21,13.55,11010
11,11,356,285,80.06,71,19.94,11011
11,12,257,226,87.94,31,12.06,11012
11,13,214,177,82.71,37,17.29,11013
11,15,221,189,85.52,32,14.48,11015
11,16,278,236,84.89,42,15.11,11016
11,17,7,7,100.0,0,0.0,11017
11,18,189,159,84.13,30,15.87,11018
11,19,219,198,90.41,21,9.59,11019
11,20,198,182,91.92,16,8.08,11020
11,21,280,251,89.64,29,10.36,11021
11,22,221,203,91.86,18,8.14,11022
11,23,223,194,87.0,29,13.0,11023
11,24,448,415,92.63,33,7.37,11024
11,25,219,207,94.52,12,5.48,11025
11,26,352,322,91.48,30,8.52,11026
11,28,222,197,88.74,25,11.26,11028
11,29,295,266,90.17,29,9.83,11029
11,30,262,225,85.88,37,14.12,11030
11,31,197,126,63.96,71,36.04,11031
11,32,212,183,86.32,29,13.68,11032
11,33,179,160,89.39,19,10.61,11033
11,34,73,48,65.75,25,34.25,11034
11,35,358,320,89.39,38,10.61,11035
11,37,320,272,85.0,48,15.0,11037
11,38,369,312,84.55,57,15.45,11038
11,39,388,341,87.89,47,12.11,11039
11,40,170,148,87.06,22,12.94,11040
11,41,162,144,88.89,18,11.11,11041
11,42,179,158,88.27,21,11.73,11042
11,43,318,257,80.82,61,19.18,11043
11,44,232,186,80.17,46,19.83,11044
11,45,138,111,80.43,27,19.57,11045
11,47,250,221,88.4,29,11.6,11047
11,48,102,84,82.35,18,17.65,11048
11,49,219,186,84.93,33,15.07,11049
11,50,167,139,83.23,28,16.77,11050
12,8,161,140,86.96,21,13.04,12008
13,1,271,230,84.87,41,15.13,13001
13,2,198,179,90.4,19,9.6,13002
13,4,402,317,78.86,85,21.14,13004
13,5,271,241,88.93,30,11.07,13005
