ward,precinct,total,Edward J. Acevedo,Edward J. Acevedo Percent,precinct_id
11,1,226,226,100.0,11001
11,2,184,184,100.0,11002
11,4,249,249,100.0,11004
11,5,139,139,100.0,11005
11,6,287,287,100.0,11006
11,7,205,205,100.0,11007
11,8,233,233,100.0,11008
11,9,164,164,100.0,11009
11,10,146,146,100.0,11010
11,11,300,300,100.0,11011
11,16,240,240,100.0,11016
11,17,273,273,100.0,11017
11,18,171,171,100.0,11018
11,19,196,196,100.0,11019
11,20,167,167,100.0,11020
11,21,237,237,100.0,11021
11,22,179,179,100.0,11022
11,24,396,396,100.0,11024
11,25,174,174,100.0,11025
11,26,316,316,100.0,11026
11,29,266,266,100.0,11029
11,30,238,238,100.0,11030
11,38,304,304,100.0,11038
11,40,142,142,100.0,11040
11,41,146,146,100.0,11041
11,44,196,196,100.0,11044
11,45,111,111,100.0,11045
11,47,197,197,100.0,11047
11,50,149,149,100.0,11050
12,1,93,93,100.0,12001
12,7,171,171,100.0,12007
12,8,199,199,100.0,12008
12,9,134,134,100.0,12009
12,15,123,123,100.0,12015
12,16,54,54,100.0,12016
12,18,197,197,100.0,12018
12,19,4,4,100.0,12019
12,22,133,133,100.0,12022
22,1,131,131,100.0,22001
22,29,125,125,100.0,22029
24,57,206,206,100.0,24057
25,1,227,227,100.0,25001
25,2,292,292,100.0,25002
25,5,201,201,100.0,25005
25,7,207,207,100.0,25007
25,8,243,243,100.0,25008
25,9,277,277,100.0,25009
25,11,234,234,100.0,25011
25,13,264,264,100.0,25013
25,15,242,242,100.0,25015
25,17,336,336,100.0,25017
25,19,268,268,100.0,25019
25,20,286,286,100.0,25020
25,22,128,128,100.0,25022
25,23,258,258,100.0,25023
25,24,267,267,100.0,25024
25,30,202,202,100.0,25030
28,29,188,188,100.0,28029
28,38,80,80,100.0,28038
28,53,0,0,0.0,28053
