ward,precinct,total,James T. Meeks,James T. Meeks Percent,precinct_id
9,3,168,168,100.0,09003
9,4,295,295,100.0,09004
9,6,283,283,100.0,09006
9,7,246,246,100.0,09007
9,11,235,235,100.0,09011
9,15,254,254,100.0,09015
9,16,221,221,100.0,09016
9,18,241,241,100.0,09018
9,19,288,288,100.0,09019
9,24,166,166,100.0,09024
9,26,166,166,100.0,09026
9,28,150,150,100.0,09028
9,30,203,203,100.0,09030
9,33,180,180,100.0,09033
9,39,273,273,100.0,09039
9,41,302,302,100.0,09041
9,42,158,158,100.0,09042
9,44,190,190,100.0,09044
9,45,276,276,100.0,09045
9,50,230,230,100.0,09050
34,3,45,45,100.0,34003
34,6,175,175,100.0,34006
34,35,351,351,100.0,34035
