ward,precinct,total,William ''Willie'' Delgado,William ''Willie'' Delgado Percent,precinct_id
26,4,112,112,100.0,26004
26,6,122,122,100.0,26006
26,13,151,151,100.0,26013
26,16,103,103,100.0,26016
26,26,98,98,100.0,26026
26,30,115,115,100.0,26030
26,42,105,105,100.0,26042
26,54,110,110,100.0,26054
26,60,120,120,100.0,26060
26,62,157,157,100.0,26062
29,2,193,193,100.0,29002
29,6,123,123,100.0,29006
29,7,154,154,100.0,29007
29,9,129,129,100.0,29009
29,24,178,178,100.0,29024
29,30,148,148,100.0,29030
29,32,177,177,100.0,29032
29,39,163,163,100.0,29039
29,52,119,119,100.0,29052
30,2,121,121,100.0,30002
30,4,166,166,100.0,30004
30,5,111,111,100.0,30005
30,6,117,117,100.0,30006
30,9,54,54,100.0,30009
30,10,131,131,100.0,30010
30,11,124,124,100.0,30011
30,12,137,137,100.0,30012
30,17,115,115,100.0,30017
30,21,176,176,100.0,30021
30,22,177,177,100.0,30022
30,24,163,163,100.0,30024
30,27,213,213,100.0,30027
30,28,131,131,100.0,30028
30,34,177,177,100.0,30034
30,35,181,181,100.0,30035
30,37,128,128,100.0,30037
30,40,141,141,100.0,30040
30,41,168,168,100.0,30041
31,3,139,139,100.0,31003
31,10,84,84,100.0,31010
31,12,133,133,100.0,31012
31,15,80,80,100.0,31015
31,17,144,144,100.0,31017
31,20,124,124,100.0,31020
31,21,171,171,100.0,31021
31,23,101,101,100.0,31023
31,24,117,117,100.0,31024
31,25,160,160,100.0,31025
31,27,125,125,100.0,31027
31,29,136,136,100.0,31029
31,34,121,121,100.0,31034
31,35,96,96,100.0,31035
31,36,168,168,100.0,31036
31,37,144,144,100.0,31037
31,39,105,105,100.0,31039
31,40,113,113,100.0,31040
31,42,174,174,100.0,31042
31,43,160,160,100.0,31043
31,44,128,128,100.0,31044
31,45,131,131,100.0,31045
31,51,104,104,100.0,31051
35,2,221,221,100.0,35002
35,23,133,133,100.0,35023
35,35,235,235,100.0,35035
36,1,220,220,100.0,36001
36,3,346,346,100.0,36003
36,4,150,150,100.0,36004
36,6,34,34,100.0,36006
36,36,188,188,100.0,36036
36,41,106,106,100.0,36041
36,51,264,264,100.0,36051
36,52,0,0,0.0,36052
36,53,63,63,100.0,36053
37,1,187,187,100.0,37001
37,2,38,38,100.0,37002
37,11,94,94,100.0,37011
37,19,191,191,100.0,37019
37,39,214,214,100.0,37039
37,42,151,151,100.0,37042
38,16,201,201,100.0,38016
38,53,26,26,100.0,38053
