ward,precinct,total,Rahm Emanuel,Rahm Emanuel Percent,Kevin Edward White,Kevin Edward White Percent,precinct_id
32,37,242,204,84.3,38,15.7,32037
32,38,313,256,81.79,57,18.21,32038
32,39,345,248,71.88,97,28.12,32039
32,40,344,280,81.4,64,18.6,32040
32,41,328,260,79.27,68,20.73,32041
32,42,384,312,81.25,72,18.75,32042
32,43,351,261,74.36,90,25.64,32043
32,44,200,161,80.5,39,19.5,32044
32,45,251,197,78.49,54,21.51,32045
32,47,394,286,72.59,108,27.41,32047
32,48,398,286,71.86,112,28.14,32048
32,49,197,148,75.13,49,24.87,32049
32,50,60,44,73.33,16,26.67,32050
33,5,268,237,88.43,31,11.57,33005
33,7,425,356,83.76,69,16.24,33007
33,9,320,276,86.25,44,13.75,33009
33,10,383,327,85.38,56,14.62,33010
33,14,264,233,88.26,31,11.74,33014
33,18,121,95,78.51,26,21.49,33018
33,22,215,195,90.7,20,9.3,33022
33,23,360,312,86.67,48,13.33,33023
33,24,455,392,86.15,63,13.85,33024
33,25,409,356,87.04,53,12.96,33025
35,22,106,89,83.96,17,16.04,35022
35,33,246,216,87.8,30,12.2,35033
36,1,252,211,83.73,41,16.27,36001
36,2,215,176,81.86,39,18.14,36002
36,3,364,325,89.29,39,10.71,36003
36,5,220,169,76.82,51,23.18,36005
36,6,261,213,81.61,48,18.39,36006
36,7,230,177,76.96,53,23.04,36007
36,8,268,198,73.88,70,26.12,36008
36,9,264,194,73.48,70,26.52,36009
36,10,180,139,77.22,41,22.78,36010
36,11,334,261,78.14,73,21.86,36011
36,12,201,150,74.63,51,25.37,36012
36,13,431,360,83.53,71,16.47,36013
36,14,277,232,83.75,45,16.25,36014
36,15,248,208,83.87,40,16.13,36015
36,16,392,343,87.5,49,12.5,36016
36,17,243,159,65.43,84,34.57,36017
36,18,308,219,71.1,89,28.9,36018
36,19,287,239,83.28,48,16.72,36019
36,20,328,248,75.61,80,24.39,36020
36,21,457,330,72.21,127,27.79,36021
36,22,346,273,78.9,73,21.1,36022
36,25,180,131,72.78,49,27.22,36025
36,26,296,207,69.93,89,30.07,36026
36,27,163,118,72.39,45,27.61,36027
36,28,236,177,75.0,59,25.0,36028
36,29,232,184,79.31,48,20.69,36029
36,30,304,216,71.05,88,28.95,36030
36,31,296,237,80.07,59,19.93,36031
36,32,255,203,79.61,52,20.39,36032
36,33,90,67,74.44,23,25.56,36033
36,34,219,145,66.21,74,33.79,36034
36,35,303,248,81.85,55,18.15,36035
36,36,218,183,83.94,35,16.06,36036
36,37,245,178,72.65,67,27.35,36037
36,38,173,138,79.77,35,20.23,36038
36,39,258,186,72.09,72,27.91,36039
36,40,331,247,74.62,84,25.38,36040
36,41,216,168,77.78,48,22.22,36041
36,42,229,173,75.55,56,24.45,36042
36,43,217,179,82.49,38,17.51,36043
36,45,248,218,87.9,30,12.1,36045
36,46,236,173,73.31,63,26.69,36046
36,47,199,154,77.39,45,22.61,36047
36,48,216,156,72.22,60,27.78,36048
36,49,310,217,70.0,93,30.0,36049
36,50,223,178,79.82,45,20.18,36050
36,51,292,247,84.59,45,15.41,36051
36,52,218,171,78.44,47,21.56,36052
36,53,184,149,80.98,35,19.02,36053
36,55,339,270,79.65,69,20.35,36055
37,39,14,11,78.57,3,21.43,37039
38,1,274,220,80.29,54,19.71,38001
38,2,207,166,80.19,41,19.81,38002
38,3,195,133,68.21,62,31.79,38003
38,4,113,88,77.88,25,22.12,38004
38,5,376,297,78.99,79,21.01,38005
38,6,254,194,76.38,60,23.62,38006
38,7,288,215,74.65,73,25.35,38007
38,8,170,115,67.65,55,32.35,38008
38,9,204,163,79.9,41,20.1,38009
38,10,323,263,81.42,60,18.58,38010
38,11,176,128,72.73,48,27.27,38011
38,12,290,222,76.55,68,23.45,38012
38,13,228,174,76.32,54,23.68,38013
38,14,205,160,78.05,45,21.95,38014
38,15,168,136,80.95,32,19.05,38015
38,16,250,206,82.4,44,17.6,38016
38,17,185,159,85.95,26,14.05,38017
38,18,246,181,73.58,65,26.42,38018
38,19,289,215,74.39,74,25.61,38019
38,20,322,237,73.6,85,26.4,38020
38,21,243,182,74.9,61,25.1,38021
38,22,249,178,71.49,71,28.51,38022
38,23,180,138,76.67,42,23.33,38023
38,24,160,127,79.38,33,20.63,38024
38,25,204,179,87.75,25,12.25,38025
38,26,191,152,79.58,39,20.42,38026
38,27,154,114,74.03,40,25.97,38027
38,28,187,155,82.89,32,17.11,38028
38,29,223,188,84.3,35,15.7,38029
38,30,238,196,82.35,42,17.65,38030
38,31,286,228,79.72,58,20.28,38031
38,32,297,222,74.75,75,25.25,38032
38,33,194,161,82.99,33,17.01,38033
38,34,165,135,81.82,30,18.18,38034
38,35,288,218,75.69,70,24.31,38035
38,36,213,176,82.63,37,17.37,38036
38,37,241,194,80.5,47,19.5,38037
38,38,295,224,75.93,71,24.07,38038
38,39,224,175,78.13,49,21.88,38039
38,40,176,143,81.25,33,18.75,38040
38,41,307,243,79.15,64,20.85,38041
38,42,287,223,77.7,64,22.3,38042
38,43,252,205,81.35,47,18.65,38043
38,44,250,190,76.0,60,24.0,38044
38,45,277,210,75.81,67,24.19,38045
38,46,231,173,74.89,58,25.11,38046
38,47,233,184,78.97,49,21.03,38047
38,48,226,185,81.86,41,18.14,38048
38,49,209,153,73.21,56,26.79,38049
38,50,246,188,76.42,58,23.58,38050
38,51,195,154,78.97,41,21.03,38051
38,52,235,191,81.28,44,18.72,38052
38,53,57,48,84.21,9,15.79,38053
39,1,264,181,68.56,83,31.44,39001
39,2,449,351,78.17,98,21.83,39002
39,3,279,204,73.12,75,26.88,39003
39,4,210,156,74.29,54,25.71,39004
39,5,189,137,72.49,52,27.51,39005
