ward,precinct,total,William Edward Gomolinski,William Edward Gomolinski Percent,Tony Peraica,Tony Peraica Percent,precinct_id
23,7,129,123,95.35,6,4.65,23007
23,14,101,101,100.0,0,0.0,23014
