ward,precinct,total,Mary E. Flowers,Mary E. Flowers Percent,precinct_id
6,11,45,45,100.0,06011
6,12,0,0,0.0,06012
6,19,332,332,100.0,06019
6,32,1,1,100.0,06032
6,42,157,157,100.0,06042
6,49,283,283,100.0,06049
17,2,179,179,100.0,17002
17,3,141,141,100.0,17003
17,4,315,315,100.0,17004
17,5,209,209,100.0,17005
17,7,236,236,100.0,17007
17,9,145,145,100.0,17009
17,10,210,210,100.0,17010
17,11,187,187,100.0,17011
17,12,253,253,100.0,17012
17,15,195,195,100.0,17015
17,18,254,254,100.0,17018
17,20,211,211,100.0,17020
17,21,301,301,100.0,17021
17,22,223,223,100.0,17022
17,23,175,175,100.0,17023
17,24,220,220,100.0,17024
17,25,132,132,100.0,17025
17,26,273,273,100.0,17026
17,27,294,294,100.0,17027
17,28,189,189,100.0,17028
17,29,228,228,100.0,17029
17,30,228,228,100.0,17030
17,31,222,222,100.0,17031
17,32,245,245,100.0,17032
17,33,180,180,100.0,17033
17,35,128,128,100.0,17035
17,37,214,214,100.0,17037
17,38,202,202,100.0,17038
17,40,162,162,100.0,17040
17,44,159,159,100.0,17044
17,47,119,119,100.0,17047
17,48,230,230,100.0,17048
17,50,211,211,100.0,17050
17,51,244,244,100.0,17051
17,52,271,271,100.0,17052
17,53,194,194,100.0,17053
17,54,250,250,100.0,17054
17,55,200,200,100.0,17055
17,56,0,0,0.0,17056
17,57,248,248,100.0,17057
17,61,208,208,100.0,17061
18,3,194,194,100.0,18003
18,4,302,302,100.0,18004
18,6,204,204,100.0,18006
18,7,245,245,100.0,18007
18,8,112,112,100.0,18008
18,9,309,309,100.0,18009
18,10,392,392,100.0,18010
18,12,341,341,100.0,18012
18,13,304,304,100.0,18013
18,14,329,329,100.0,18014
18,16,324,324,100.0,18016
18,18,321,321,100.0,18018
18,20,289,289,100.0,18020
18,22,327,327,100.0,18022
18,28,232,232,100.0,18028
18,35,337,337,100.0,18035
18,36,218,218,100.0,18036
18,37,210,210,100.0,18037
18,38,324,324,100.0,18038
18,40,339,339,100.0,18040
18,41,244,244,100.0,18041
18,48,141,141,100.0,18048
18,54,295,295,100.0,18054
18,55,220,220,100.0,18055
18,60,326,326,100.0,18060
18,61,249,249,100.0,18061
21,2,263,263,100.0,21002
21,16,252,252,100.0,21016
21,30,202,202,100.0,21030
21,32,248,248,100.0,21032
21,34,306,306,100.0,21034
21,37,221,221,100.0,21037
21,39,223,223,100.0,21039
21,41,211,211,100.0,21041
21,52,288,288,100.0,21052
21,62,285,285,100.0,21062
21,64,150,150,100.0,21064
21,65,341,341,100.0,21065
21,67,274,274,100.0,21067
21,69,225,225,100.0,21069
21,72,242,242,100.0,21072
21,74,101,101,100.0,21074
