ward,precinct,total,Ramon Ocasio III,Ramon Ocasio III Percent,precinct_id
1,1,191,191,100.0,01001
1,2,166,166,100.0,01002
1,3,163,163,100.0,01003
1,4,190,190,100.0,01004
1,5,182,182,100.0,01005
1,6,69,69,100.0,01006
1,7,185,185,100.0,01007
1,8,181,181,100.0,01008
1,9,195,195,100.0,01009
1,10,207,207,100.0,01010
1,11,165,165,100.0,01011
1,12,194,194,100.0,01012
1,13,234,234,100.0,01013
1,14,214,214,100.0,01014
1,15,170,170,100.0,01015
1,16,85,85,100.0,01016
1,17,179,179,100.0,01017
1,18,150,150,100.0,01018
1,19,183,183,100.0,01019
1,20,203,203,100.0,01020
1,21,163,163,100.0,01021
1,22,183,183,100.0,01022
1,23,183,183,100.0,01023
1,24,271,271,100.0,01024
1,25,167,167,100.0,01025
1,26,160,160,100.0,01026
1,27,131,131,100.0,01027
1,28,136,136,100.0,01028
1,29,185,185,100.0,01029
1,30,291,291,100.0,01030
1,31,201,201,100.0,01031
1,32,193,193,100.0,01032
1,33,193,193,100.0,01033
1,34,131,131,100.0,01034
1,35,123,123,100.0,01035
1,36,162,162,100.0,01036
1,37,153,153,100.0,01037
1,38,116,116,100.0,01038
1,39,219,219,100.0,01039
1,40,83,83,100.0,01040
1,41,154,154,100.0,01041
1,42,128,128,100.0,01042
1,43,139,139,100.0,01043
1,44,151,151,100.0,01044
1,45,189,189,100.0,01045
1,46,189,189,100.0,01046
1,47,135,135,100.0,01047
1,48,91,91,100.0,01048
1,49,98,98,100.0,01049
1,50,122,122,100.0,01050
26,1,115,115,100.0,26001
26,3,123,123,100.0,26003
26,4,106,106,100.0,26004
26,5,165,165,100.0,26005
26,6,107,107,100.0,26006
26,7,77,77,100.0,26007
26,8,109,109,100.0,26008
26,9,96,96,100.0,26009
26,10,89,89,100.0,26010
26,11,123,123,100.0,26011
26,12,84,84,100.0,26012
26,13,136,136,100.0,26013
26,14,118,118,100.0,26014
26,15,119,119,100.0,26015
26,16,97,97,100.0,26016
26,18,85,85,100.0,26018
26,19,167,167,100.0,26019
26,20,152,152,100.0,26020
26,21,152,152,100.0,26021
26,22,87,87,100.0,26022
26,23,119,119,100.0,26023
26,24,84,84,100.0,26024
26,25,50,50,100.0,26025
26,26,92,92,100.0,26026
26,27,114,114,100.0,26027
26,28,70,70,100.0,26028
26,29,130,130,100.0,26029
26,30,108,108,100.0,26030
26,31,102,102,100.0,26031
26,32,140,140,100.0,26032
26,34,126,126,100.0,26034
26,35,121,121,100.0,26035
26,36,114,114,100.0,26036
26,37,75,75,100.0,26037
26,38,98,98,100.0,26038
26,39,99,99,100.0,26039
