ward,precinct,total,Nancy Carlson,Nancy Carlson Percent,precinct_id
1,1,241,25,10.37,01001
1,2,205,25,12.2,01002
1,3,203,24,11.82,01003
1,4,242,22,9.09,01004
1,5,238,28,11.76,01005
1,6,234,46,19.66,01006
1,7,237,42,17.72,01007
1,8,233,31,13.3,01008
1,9,231,30,12.99,01009
1,10,265,42,15.85,01010
1,11,210,28,13.33,01011
1,12,253,43,17.0,01012
1,13,276,27,9.78,01013
1,14,253,20,7.91,01014
1,15,184,16,8.7,01015
1,16,96,4,4.17,01016
1,17,223,17,7.62,01017
1,18,187,18,9.63,01018
1,19,227,33,14.54,01019
1,20,231,29,12.55,01020
1,21,202,28,13.86,01021
1,22,219,13,5.94,01022
1,23,222,31,13.96,01023
1,24,316,27,8.54,01024
1,25,204,25,12.25,01025
1,26,202,35,17.33,01026
1,27,151,18,11.92,01027
1,28,167,18,10.78,01028
1,29,237,30,12.66,01029
1,30,339,26,7.67,01030
1,31,286,65,22.73,01031
1,32,229,16,6.99,01032
1,33,252,28,11.11,01033
1,34,146,18,12.33,01034
1,35,167,35,20.96,01035
1,36,212,35,16.51,01036
1,37,178,24,13.48,01037
1,38,140,12,8.57,01038
1,39,258,21,8.14,01039
1,40,103,16,15.53,01040
1,41,189,31,16.4,01041
1,42,165,21,12.73,01042
1,43,178,25,14.04,01043
1,44,190,24,12.63,01044
1,45,227,24,10.57,01045
1,46,233,36,15.45,01046
1,47,167,23,13.77,01047
1,48,136,20,14.71,01048
1,49,132,18,13.64,01049
1,50,149,19,12.75,01050
2,1,415,76,18.31,02001
2,2,8,0,0.0,02002
2,3,279,48,17.2,02003
2,4,222,1,0.45,02004
2,5,147,4,2.72,02005
2,6,315,63,20.0,02006
2,7,278,4,1.44,02007
2,8,362,65,17.96,02008
2,9,209,0,0.0,02009
2,10,45,3,6.67,02010
2,11,159,30,18.87,02011
2,12,410,89,21.71,02012
2,13,231,28,12.12,02013
2,14,359,17,4.74,02014
2,15,32,0,0.0,02015
2,16,304,66,21.71,02016
2,17,224,3,1.34,02017
2,18,311,57,18.33,02018
2,19,341,85,24.93,02019
2,20,297,11,3.7,02020
2,21,305,23,7.54,02021
2,22,486,88,18.11,02022
2,23,172,14,8.14,02023
2,24,152,8,5.26,02024
