ward,precinct,total,William M. Beavers,William M. Beavers Percent,Ann Rochelle Hunter,Ann Rochelle Hunter Percent,precinct_id
6,1,313,298,95.21,15,4.79,06001
6,2,320,292,91.25,28,8.75,06002
6,3,322,310,96.27,12,3.73,06003
6,8,319,310,97.18,9,2.82,06008
6,9,277,265,95.67,12,4.33,06009
6,10,372,355,95.43,17,4.57,06010
6,13,259,248,95.75,11,4.25,06013
6,14,298,290,97.32,8,2.68,06014
6,16,324,312,96.3,12,3.7,06016
6,17,322,309,95.96,13,4.04,06017
6,19,332,321,96.69,11,3.31,06019
6,21,265,255,96.23,10,3.77,06021
6,22,264,254,96.21,10,3.79,06022
6,24,292,284,97.26,8,2.74,06024
6,25,209,199,95.22,10,4.78,06025
6,26,304,296,97.37,8,2.63,06026
6,27,369,358,97.02,11,2.98,06027
6,28,456,435,95.39,21,4.61,06028
6,29,314,300,95.54,14,4.46,06029
6,31,324,308,95.06,16,4.94,06031
6,34,251,243,96.81,8,3.19,06034
6,35,264,250,94.7,14,5.3,06035
6,37,339,320,94.4,19,5.6,06037
6,38,302,291,96.36,11,3.64,06038
6,41,302,288,95.36,14,4.64,06041
6,43,324,307,94.75,17,5.25,06043
6,44,266,255,95.86,11,4.14,06044
6,45,210,197,93.81,13,6.19,06045
6,46,262,246,93.89,16,6.11,06046
6,47,343,326,95.04,17,4.96,06047
6,50,307,295,96.09,12,3.91,06050
6,51,209,204,97.61,5,2.39,06051
6,52,200,192,96.0,8,4.0,06052
6,53,254,246,96.85,8,3.15,06053
6,54,269,250,92.94,19,7.06,06054
6,57,183,176,96.17,7,3.83,06057
6,58,299,276,92.31,23,7.69,06058
6,59,267,255,95.51,12,4.49,06059
6,60,194,187,96.39,7,3.61,06060
6,63,253,244,96.44,9,3.56,06063
6,64,325,313,96.31,12,3.69,06064
7,1,296,274,92.57,22,7.43,07001
7,2,311,273,87.78,38,12.22,07002
7,3,154,136,88.31,18,11.69,07003
7,4,220,199,90.45,21,9.55,07004
7,5,220,201,91.36,19,8.64,07005
7,6,219,194,88.58,25,11.42,07006
7,7,159,142,89.31,17,10.69,07007
7,8,104,93,89.42,11,10.58,07008
7,10,181,165,91.16,16,8.84,07010
7,11,257,238,92.61,19,7.39,07011
7,12,185,172,92.97,13,7.03,07012
7,13,167,157,94.01,10,5.99,07013
7,14,265,232,87.55,33,12.45,07014
7,15,145,132,91.03,13,8.97,07015
7,16,182,162,89.01,20,10.99,07016
7,17,156,146,93.59,10,6.41,07017
7,18,174,146,83.91,28,16.09,07018
7,19,340,310,91.18,30,8.82,07019
7,20,133,127,95.49,6,4.51,07020
7,21,239,217,90.79,22,9.21,07021
7,22,173,153,88.44,20,11.56,07022
7,23,161,144,89.44,17,10.56,07023
7,24,229,217,94.76,12,5.24,07024
7,25,305,286,93.77,19,6.23,07025
7,26,315,280,88.89,35,11.11,07026
7,27,339,289,85.25,50,14.75,07027
7,28,246,225,91.46,21,8.54,07028
7,29,141,135,95.74,6,4.26,07029
7,30,278,259,93.17,19,6.83,07030
7,31,237,223,94.09,14,5.91,07031
7,32,218,192,88.07,26,11.93,07032
7,33,209,199,95.22,10,4.78,07033
7,34,226,210,92.92,16,7.08,07034
7,36,299,282,94.31,17,5.69,07036
7,37,110,103,93.64,7,6.36,07037
7,38,196,178,90.82,18,9.18,07038
7,39,208,196,94.23,12,5.77,07039
7,41,181,158,87.29,23,12.71,07041
7,42,360,328,91.11,32,8.89,07042
7,43,256,232,90.63,24,9.38,07043
7,44,335,294,87.76,41,12.24,07044
7,45,334,288,86.23,46,13.77,07045
7,46,109,99,90.83,10,9.17,07046
7,47,219,206,94.06,13,5.94,07047
7,49,135,125,92.59,10,7.41,07049
7,51,203,183,90.15,20,9.85,07051
7,52,211,192,91.0,19,9.0,07052
7,53,213,202,94.84,11,5.16,07053
7,54,116,105,90.52,11,9.48,07054
7,55,213,192,90.14,21,9.86,07055
7,56,204,182,89.22,22,10.78,07056
7,57,184,155,84.24,29,15.76,07057
7,58,327,303,92.66,24,7.34,07058
7,59,149,134,89.93,15,10.07,07059
7,60,167,160,95.81,7,4.19,07060
7,61,226,208,92.04,18,7.96,07061
7,62,224,212,94.64,12,5.36,07062
7,63,234,204,87.18,30,12.82,07063
7,65,251,238,94.82,13,5.18,07065
8,1,302,280,92.72,22,7.28,08001
8,2,151,145,96.03,6,3.97,08002
8,3,342,317,92.69,25,7.31,08003
8,4,271,263,97.05,8,2.95,08004
8,5,320,300,93.75,20,6.25,08005
8,6,300,292,97.33,8,2.67,08006
8,7,214,204,95.33,10,4.67,08007
8,8,314,295,93.95,19,6.05,08008
8,9,325,307,94.46,18,5.54,08009
8,10,362,338,93.37,24,6.63,08010
8,11,259,245,94.59,14,5.41,08011
8,12,250,237,94.8,13,5.2,08012
8,13,230,217,94.35,13,5.65,08013
8,14,211,209,99.05,2,0.95,08014
8,15,229,211,92.14,18,7.86,08015
8,16,288,273,94.79,15,5.21,08016
8,17,258,249,96.51,9,3.49,08017
8,18,182,177,97.25,5,2.75,08018
8,19,345,328,95.07,17,4.93,08019
8,20,202,197,97.52,5,2.48,08020
8,21,220,204,92.73,16,7.27,08021
8,22,235,221,94.04,14,5.96,08022
8,23,247,233,94.33,14,5.67,08023
8,24,305,292,95.74,13,4.26,08024
8,25,291,270,92.78,21,7.22,08025
8,26,187,180,96.26,7,3.74,08026
8,27,316,296,93.67,20,6.33,08027
8,28,223,219,98.21,4,1.79,08028
8,29,297,290,97.64,7,2.36,08029
8,30,244,231,94.67,13,5.33,08030
8,31,210,201,95.71,9,4.29,08031
8,32,404,393,97.28,11,2.72,08032
8,33,249,241,96.79,8,3.21,08033
8,34,356,342,96.07,14,3.93,08034
8,35,332,314,94.58,18,5.42,08035
8,36,264,253,95.83,11,4.17,08036
8,37,287,278,96.86,9,3.14,08037
8,38,258,248,96.12,10,3.88,08038
8,39,308,300,97.4,8,2.6,08039
