ward,precinct,total,Mattie Hunter,Mattie Hunter Percent,Chad Jackson Surles,Chad Jackson Surles Percent,precinct_id
2,1,413,331,80.15,82,19.85,02001
2,11,144,106,73.61,38,26.39,02011
2,14,324,310,95.68,14,4.32,02014
2,20,21,18,85.71,3,14.29,02020
2,22,465,358,76.99,107,23.01,02022
2,31,107,95,88.79,12,11.21,02031
2,35,111,92,82.88,19,17.12,02035
2,43,404,333,82.43,71,17.57,02043
2,49,259,222,85.71,37,14.29,02049
2,54,376,318,84.57,58,15.43,02054
2,55,79,69,87.34,10,12.66,02055
2,58,159,128,80.5,31,19.5,02058
2,59,288,229,79.51,59,20.49,02059
3,1,233,228,97.85,5,2.15,03001
3,3,230,198,86.09,32,13.91,03003
3,6,132,131,99.24,1,0.76,03006
3,8,47,46,97.87,1,2.13,03008
3,9,89,85,95.51,4,4.49,03009
3,10,107,105,98.13,2,1.87,03010
3,11,199,193,96.98,6,3.02,03011
3,12,239,235,98.33,4,1.67,03012
3,13,175,166,94.86,9,5.14,03013
3,14,121,118,97.52,3,2.48,03014
3,15,257,250,97.28,7,2.72,03015
3,17,139,135,97.12,4,2.88,03017
3,18,131,125,95.42,6,4.58,03018
3,19,12,11,91.67,1,8.33,03019
3,21,124,122,98.39,2,1.61,03021
3,22,147,142,96.6,5,3.4,03022
3,23,41,41,100.0,0,0.0,03023
3,24,167,163,97.6,4,2.4,03024
3,25,175,171,97.71,4,2.29,03025
3,26,207,201,97.1,6,2.9,03026
3,27,197,196,99.49,1,0.51,03027
3,28,111,105,94.59,6,5.41,03028
3,29,188,185,98.4,3,1.6,03029
3,32,183,179,97.81,4,2.19,03032
3,33,300,292,97.33,8,2.67,03033
3,35,213,208,97.65,5,2.35,03035
3,36,109,102,93.58,7,6.42,03036
3,37,60,57,95.0,3,5.0,03037
3,38,48,47,97.92,1,2.08,03038
3,40,182,178,97.8,4,2.2,03040
3,41,202,196,97.03,6,2.97,03041
3,42,177,171,96.61,6,3.39,03042
3,43,106,104,98.11,2,1.89,03043
3,44,94,91,96.81,3,3.19,03044
3,45,27,26,96.3,1,3.7,03045
3,46,100,96,96.0,4,4.0,03046
3,47,145,143,98.62,2,1.38,03047
3,48,159,157,98.74,2,1.26,03048
3,49,68,66,97.06,2,2.94,03049
3,50,199,193,96.98,6,3.02,03050
3,51,86,73,84.88,13,15.12,03051
3,52,91,90,98.9,1,1.1,03052
3,53,191,169,88.48,22,11.52,03053
3,54,468,368,78.63,100,21.37,03054
4,6,130,129,99.23,1,0.77,04006
11,12,199,168,84.42,31,15.58,11012
11,13,172,149,86.63,23,13.37,11013
11,14,174,145,83.33,29,16.67,11014
11,15,185,153,82.7,32,17.3,11015
11,23,214,197,92.06,17,7.94,11023
11,25,5,4,80.0,1,20.0,11025
11,27,221,182,82.35,39,17.65,11027
11,28,188,172,91.49,16,8.51,11028
11,30,0,0,0.0,0,0.0,11030
11,31,151,128,84.77,23,15.23,11031
11,32,156,131,83.97,25,16.03,11032
11,33,166,147,88.55,19,11.45,11033
11,34,136,127,93.38,9,6.62,11034
11,35,342,310,90.64,32,9.36,11035
11,36,51,46,90.2,5,9.8,11036
11,37,291,250,85.91,41,14.09,11037
11,39,341,304,89.15,37,10.85,11039
11,42,157,133,84.71,24,15.29,11042
11,43,247,206,83.4,41,16.6,11043
11,46,158,147,93.04,11,6.96,11046
11,48,85,72,84.71,13,15.29,11048
11,49,172,140,81.4,32,18.6,11049
12,9,8,8,100.0,0,0.0,12009
12,16,72,67,93.06,5,6.94,12016
15,2,176,172,97.73,4,2.27,15002
15,3,178,172,96.63,6,3.37,15003
15,4,183,180,98.36,3,1.64,15004
15,5,189,188,99.47,1,0.53,15005
15,17,184,178,96.74,6,3.26,15017
15,18,144,143,99.31,1,0.69,15018
15,19,193,188,97.41,5,2.59,15019
15,20,165,160,96.97,5,3.03,15020
15,22,239,229,95.82,10,4.18,15022
15,23,150,147,98.0,3,2.0,15023
15,24,248,233,93.95,15,6.05,15024
15,26,140,132,94.29,8,5.71,15026
15,29,98,96,97.96,2,2.04,15029
15,30,168,163,97.02,5,2.98,15030
15,31,162,158,97.53,4,2.47,15031
15,33,123,117,95.12,6,4.88,15033
15,35,188,184,97.87,4,2.13,15035
15,36,141,138,97.87,3,2.13,15036
15,37,157,156,99.36,1,0.64,15037
15,38,174,162,93.1,12,6.9,15038
15,39,203,201,99.01,2,0.99,15039
15,40,186,179,96.24,7,3.76,15040
15,43,155,152,98.06,3,1.94,15043
15,48,142,137,96.48,5,3.52,15048
15,49,65,60,92.31,5,7.69,15049
15,50,179,177,98.88,2,1.12,15050
15,52,124,121,97.58,3,2.42,15052
16,1,148,142,95.95,6,4.05,16001
16,2,146,144,98.63,2,1.37,16002
16,3,187,185,98.93,2,1.07,16003
16,4,143,130,90.91,13,9.09,16004
16,5,200,196,98.0,4,2.0,16005
16,6,79,75,94.94,4,5.06,16006
16,7,186,180,96.77,6,3.23,16007
16,8,233,223,95.71,10,4.29,16008
16,9,267,264,98.88,3,1.12,16009
16,10,139,137,98.56,2,1.44,16010
16,12,153,149,97.39,4,2.61,16012
16,14,195,192,98.46,3,1.54,16014
16,15,239,237,99.16,2,0.84,16015
16,16,210,206,98.1,4,1.9,16016
16,18,183,177,96.72,6,3.28,16018
16,19,171,167,97.66,4,2.34,16019
16,20,194,191,98.45,3,1.55,16020
16,22,172,169,98.26,3,1.74,16022
16,24,123,122,99.19,1,0.81,16024
16,25,154,150,97.4,4,2.6,16025
16,26,184,182,98.91,2,1.09,16026
16,27,242,238,98.35,4,1.65,16027
16,28,234,231,98.72,3,1.28,16028
16,29,103,99,96.12,4,3.88,16029
16,30,144,138,95.83,6,4.17,16030
16,31,231,227,98.27,4,1.73,16031
16,33,153,150,98.04,3,1.96,16033
16,34,151,148,98.01,3,1.99,16034
16,36,195,194,99.49,1,0.51,16036
16,37,126,123,97.62,3,2.38,16037
16,38,182,177,97.25,5,2.75,16038
16,40,223,217,97.31,6,2.69,16040
16,42,0,0,0.0,0,0.0,16042
16,43,231,227,98.27,4,1.73,16043
16,44,195,179,91.79,16,8.21,16044
16,45,127,122,96.06,5,3.94,16045
16,46,65,62,95.38,3,4.62,16046
17,13,0,0,0.0,0,0.0,17013
17,14,31,29,93.55,2,6.45,17014
20,1,200,199,99.5,1,0.5,20001
20,3,188,186,98.94,2,1.06,20003
20,6,300,292,97.33,8,2.67,20006
20,7,92,90,97.83,2,2.17,20007
20,8,86,81,94.19,5,5.81,20008
20,11,167,167,100.0,0,0.0,20011
20,12,135,132,97.78,3,2.22,20012
20,13,160,153,95.63,7,4.38,20013
20,14,317,310,97.79,7,2.21,20014
20,15,185,164,88.65,21,11.35,20015
20,17,163,158,96.93,5,3.07,20017
20,19,169,167,98.82,2,1.18,20019
20,20,161,156,96.89,5,3.11,20020
