ward,precinct,total,Kwame Raoul,Kwame Raoul Percent,Charles Kinzer,Charles Kinzer Percent,precinct_id
20,16,288,280,97.22,8,2.78,20016
20,18,177,176,99.44,1,0.56,20018
20,22,259,252,97.3,7,2.7,20022
20,24,255,250,98.04,5,1.96,20024
20,26,228,220,96.49,8,3.51,20026
20,29,221,215,97.29,6,2.71,20029
20,32,194,190,97.94,4,2.06,20032
20,34,312,299,95.83,13,4.17,20034
20,36,193,187,96.89,6,3.11,20036
20,38,35,33,94.29,2,5.71,20038
20,47,168,162,96.43,6,3.57,20047
42,1,401,276,68.83,125,31.17,42001
42,2,193,150,77.72,43,22.28,42002
42,5,282,203,71.99,79,28.01,42005
42,6,483,327,67.7,156,32.3,42006
42,7,302,205,67.88,97,32.12,42007
42,9,135,83,61.48,52,38.52,42009
42,11,352,209,59.38,143,40.63,42011
42,13,482,303,62.86,179,37.14,42013
42,23,370,236,63.78,134,36.22,42023
42,24,283,191,67.49,92,32.51,42024
42,25,275,184,66.91,91,33.09,42025
42,29,378,212,56.08,166,43.92,42029
42,31,213,115,53.99,98,46.01,42031
42,35,227,153,67.4,74,32.6,42035
42,37,276,173,62.68,103,37.32,42037
42,38,293,174,59.39,119,40.61,42038
42,40,268,154,57.46,114,42.54,42040
42,41,273,172,63.0,101,37.0,42041
42,42,205,123,60.0,82,40.0,42042
42,43,304,197,64.8,107,35.2,42043
42,44,357,236,66.11,121,33.89,42044
42,47,191,135,70.68,56,29.32,42047
42,48,262,160,61.07,102,38.93,42048
42,50,212,146,68.87,66,31.13,42050
42,51,270,178,65.93,92,34.07,42051
42,52,162,120,74.07,42,25.93,42052
42,53,270,180,66.67,90,33.33,42053
42,54,221,149,67.42,72,32.58,42054
42,61,215,126,58.6,89,41.4,42061
42,62,210,127,60.48,83,39.52,42062
42,63,293,196,66.89,97,33.11,42063
42,64,131,98,74.81,33,25.19,42064
42,65,294,211,71.77,83,28.23,42065
42,66,268,186,69.4,82,30.6,42066
43,35,343,220,64.14,123,35.86,43035
43,40,120,76,63.33,44,36.67,43040
