ward,precinct,total,Daniel W. Hynes,Daniel W. Hynes Percent,Carole Pankau,Carole Pankau Percent,Alicia Snyder,Alicia Snyder Percent,precinct_id
1,1,247,202,81.78,23,9.31,22,8.91,01001
1,2,209,164,78.47,20,9.57,25,11.96,01002
1,3,206,162,78.64,17,8.25,27,13.11,01003
1,4,245,204,83.27,17,6.94,24,9.8,01004
1,5,240,186,77.5,23,9.58,31,12.92,01005
1,6,238,173,72.69,39,16.39,26,10.92,01006
1,7,237,188,79.32,40,16.88,9,3.8,01007
1,8,238,183,76.89,29,12.18,26,10.92,01008
1,9,238,194,81.51,22,9.24,22,9.24,01009
1,10,267,207,77.53,28,10.49,32,11.99,01010
1,11,213,166,77.93,32,15.02,15,7.04,01011
1,12,258,201,77.91,35,13.57,22,8.53,01012
1,13,271,225,83.03,17,6.27,29,10.7,01013
1,14,254,215,84.65,21,8.27,18,7.09,01014
1,15,186,166,89.25,8,4.3,12,6.45,01015
1,16,98,93,94.9,2,2.04,3,3.06,01016
1,17,228,179,78.51,16,7.02,33,14.47,01017
1,18,186,154,82.8,12,6.45,20,10.75,01018
1,19,227,187,82.38,24,10.57,16,7.05,01019
1,20,255,214,83.92,20,7.84,21,8.24,01020
1,21,201,160,79.6,23,11.44,18,8.96,01021
1,22,221,194,87.78,11,4.98,16,7.24,01022
1,23,220,172,78.18,28,12.73,20,9.09,01023
1,24,325,274,84.31,21,6.46,30,9.23,01024
1,25,200,158,79.0,21,10.5,21,10.5,01025
1,26,214,153,71.5,39,18.22,22,10.28,01026
1,27,151,123,81.46,18,11.92,10,6.62,01027
1,28,160,141,88.13,13,8.13,6,3.75,01028
1,29,234,182,77.78,28,11.97,24,10.26,01029
1,30,342,290,84.8,24,7.02,28,8.19,01030
1,31,290,220,75.86,53,18.28,17,5.86,01031
1,32,231,200,86.58,12,5.19,19,8.23,01032
1,33,255,208,81.57,27,10.59,20,7.84,01033
1,34,152,122,80.26,15,9.87,15,9.87,01034
1,35,165,125,75.76,26,15.76,14,8.48,01035
1,36,212,160,75.47,33,15.57,19,8.96,01036
1,37,185,141,76.22,17,9.19,27,14.59,01037
1,38,137,115,83.94,11,8.03,11,8.03,01038
1,39,262,229,87.4,22,8.4,11,4.2,01039
1,40,103,78,75.73,15,14.56,10,9.71,01040
1,41,189,149,78.84,27,14.29,13,6.88,01041
1,42,169,138,81.66,20,11.83,11,6.51,01042
1,43,183,145,79.23,21,11.48,17,9.29,01043
1,44,193,138,71.5,22,11.4,33,17.1,01044
1,45,225,180,80.0,15,6.67,30,13.33,01045
1,46,232,180,77.59,26,11.21,26,11.21,01046
1,47,171,143,83.63,17,9.94,11,6.43,01047
1,48,138,119,86.23,11,7.97,8,5.8,01048
1,49,134,98,73.13,16,11.94,20,14.93,01049
1,50,153,126,82.35,14,9.15,13,8.5,01050
2,1,419,327,78.04,58,13.84,34,8.11,02001
2,2,8,8,100.0,0,0.0,0,0.0,02002
2,3,294,242,82.31,34,11.56,18,6.12,02003
2,4,223,222,99.55,1,0.45,0,0.0,02004
2,5,145,142,97.93,3,2.07,0,0.0,02005
2,6,320,245,76.56,59,18.44,16,5.0,02006
2,7,279,265,94.98,7,2.51,7,2.51,02007
2,8,359,277,77.16,59,16.43,23,6.41,02008
2,9,206,201,97.57,2,0.97,3,1.46,02009
2,10,44,42,95.45,1,2.27,1,2.27,02010
2,11,161,126,78.26,31,19.25,4,2.48,02011
2,12,417,301,72.18,83,19.9,33,7.91,02012
2,13,231,197,85.28,24,10.39,10,4.33,02013
2,14,357,332,93.0,14,3.92,11,3.08,02014
2,15,31,29,93.55,0,0.0,2,6.45,02015
2,16,312,237,75.96,61,19.55,14,4.49,02016
2,17,227,220,96.92,4,1.76,3,1.32,02017
2,18,316,253,80.06,51,16.14,12,3.8,02018
2,19,337,241,71.51,70,20.77,26,7.72,02019
2,20,294,275,93.54,9,3.06,10,3.4,02020
2,21,307,278,90.55,24,7.82,5,1.63,02021
2,22,487,388,79.67,78,16.02,21,4.31,02022
2,23,174,158,90.8,10,5.75,6,3.45,02023
2,24,154,141,91.56,7,4.55,6,3.9,02024
2,25,147,130,88.44,12,8.16,5,3.4,02025
2,26,485,397,81.86,61,12.58,27,5.57,02026
2,27,225,215,95.56,3,1.33,7,3.11,02027
2,28,167,128,76.65,30,17.96,9,5.39,02028
2,29,92,72,78.26,11,11.96,9,9.78,02029
2,30,105,102,97.14,0,0.0,3,2.86,02030
2,31,281,264,93.95,8,2.85,9,3.2,02031
2,32,123,120,97.56,1,0.81,2,1.63,02032
2,33,172,164,95.35,5,2.91,3,1.74,02033
