ward,precinct,total,Arthur L. Turner,Arthur L. Turner Percent,Myra Bland,Myra Bland Percent,precinct_id
2,2,8,8,100.0,0,0.0,02002
2,3,277,228,82.31,49,17.69,02003
2,4,216,215,99.54,1,0.46,02004
2,6,305,231,75.74,74,24.26,02006
2,9,206,201,97.57,5,2.43,02009
2,10,44,42,95.45,2,4.55,02010
2,12,400,299,74.75,101,25.25,02012
2,13,220,184,83.64,36,16.36,02013
2,16,303,230,75.91,73,24.09,02016
2,17,224,217,96.88,7,3.13,02017
2,23,29,26,89.66,3,10.34,02023
2,25,143,124,86.71,19,13.29,02025
2,28,166,125,75.3,41,24.7,02028
2,29,92,75,81.52,17,18.48,02029
2,30,101,99,98.02,2,1.98,02030
2,32,120,120,100.0,0,0.0,02032
2,33,169,161,95.27,8,4.73,02033
2,34,246,241,97.97,5,2.03,02034
2,36,129,128,99.22,1,0.78,02036
2,38,248,237,95.56,11,4.44,02038
2,39,237,211,89.03,26,10.97,02039
2,41,116,114,98.28,2,1.72,02041
2,42,78,74,94.87,4,5.13,02042
2,49,1,1,100.0,0,0.0,02049
2,50,184,160,86.96,24,13.04,02050
2,51,215,209,97.21,6,2.79,02051
11,50,4,4,100.0,0,0.0,11050
22,7,213,213,100.0,0,0.0,22007
22,19,177,175,98.87,2,1.13,22019
22,21,233,229,98.28,4,1.72,22021
24,1,178,173,97.19,5,2.81,24001
24,2,171,169,98.83,2,1.17,24002
24,3,237,229,96.62,8,3.38,24003
24,4,230,227,98.7,3,1.3,24004
24,5,179,179,100.0,0,0.0,24005
24,6,251,245,97.61,6,2.39,24006
24,8,209,198,94.74,11,5.26,24008
24,9,223,216,96.86,7,3.14,24009
24,10,177,174,98.31,3,1.69,24010
24,11,125,122,97.6,3,2.4,24011
24,12,162,155,95.68,7,4.32,24012
24,13,166,160,96.39,6,3.61,24013
24,14,298,285,95.64,13,4.36,24014
24,15,178,174,97.75,4,2.25,24015
24,17,192,189,98.44,3,1.56,24017
24,19,165,163,98.79,2,1.21,24019
24,20,206,203,98.54,3,1.46,24020
24,21,127,124,97.64,3,2.36,24021
24,22,214,212,99.07,2,0.93,24022
24,23,176,174,98.86,2,1.14,24023
24,24,158,155,98.1,3,1.9,24024
24,25,212,208,98.11,4,1.89,24025
24,26,259,254,98.07,5,1.93,24026
24,27,141,134,95.04,7,4.96,24027
24,28,266,262,98.5,4,1.5,24028
24,29,13,13,100.0,0,0.0,24029
24,30,189,188,99.47,1,0.53,24030
24,31,193,187,96.89,6,3.11,24031
24,32,211,206,97.63,5,2.37,24032
24,34,216,213,98.61,3,1.39,24034
24,35,270,265,98.15,5,1.85,24035
24,36,172,169,98.26,3,1.74,24036
24,37,226,214,94.69,12,5.31,24037
24,38,227,220,96.92,7,3.08,24038
24,39,209,206,98.56,3,1.44,24039
24,40,286,283,98.95,3,1.05,24040
24,42,183,180,98.36,3,1.64,24042
24,43,262,255,97.33,7,2.67,24043
24,44,82,78,95.12,4,4.88,24044
24,45,180,177,98.33,3,1.67,24045
24,47,169,165,97.63,4,2.37,24047
24,48,100,99,99.0,1,1.0,24048
24,49,336,330,98.21,6,1.79,24049
24,50,326,318,97.55,8,2.45,24050
24,51,289,276,95.5,13,4.5,24051
24,52,177,173,97.74,4,2.26,24052
24,53,227,216,95.15,11,4.85,24053
24,54,146,143,97.95,3,2.05,24054
24,56,248,245,98.79,3,1.21,24056
24,58,249,243,97.59,6,2.41,24058
25,3,160,151,94.38,9,5.63,25003
25,4,269,215,79.93,54,20.07,25004
25,6,172,156,90.7,16,9.3,25006
25,9,5,5,100.0,0,0.0,25009
25,10,151,141,93.38,10,6.62,25010
25,12,212,194,91.51,18,8.49,25012
25,18,116,93,80.17,23,19.83,25018
25,21,185,127,68.65,58,31.35,25021
25,25,217,168,77.42,49,22.58,25025
25,26,183,137,74.86,46,25.14,25026
25,27,200,160,80.0,40,20.0,25027
25,28,304,221,72.7,83,27.3,25028
25,29,290,233,80.34,57,19.66,25029
25,31,146,122,83.56,24,16.44,25031
27,1,248,189,76.21,59,23.79,27001
27,7,219,147,67.12,72,32.88,27007
27,11,257,211,82.1,46,17.9,27011
27,17,223,168,75.34,55,24.66,27017
27,18,0,0,0.0,0,0.0,27018
27,54,237,179,75.53,58,24.47,27054
27,57,180,145,80.56,35,19.44,27057
27,58,97,77,79.38,20,20.62,27058
28,34,26,25,96.15,1,3.85,28034
28,35,166,160,96.39,6,3.61,28035
28,52,142,140,98.59,2,1.41,28052
28,53,89,81,91.01,8,8.99,28053
28,54,154,149,96.75,5,3.25,28054
28,61,119,115,96.64,4,3.36,28061
42,9,137,94,68.61,43,31.39,42009
42,12,196,141,71.94,55,28.06,42012
42,14,324,215,66.36,109,33.64,42014
42,18,406,275,67.73,131,32.27,42018
42,21,189,127,67.2,62,32.8,42021
42,59,385,272,70.65,113,29.35,42059
42,67,396,271,68.43,125,31.57,42067
42,68,257,174,67.7,83,32.3,42068
42,69,283,217,76.68,66,23.32,42069
