ward,precinct,total,Kimberly A. Lightford,Kimberly A. Lightford Percent,Antoinette Ruback,Antoinette Ruback Percent,precinct_id
24,7,178,176,98.88,2,1.12,24007
24,16,169,168,99.41,1,0.59,24016
24,41,190,185,97.37,5,2.63,24041
24,46,230,228,99.13,2,0.87,24046
28,1,178,175,98.31,3,1.69,28001
28,4,254,251,98.82,3,1.18,28004
28,8,166,162,97.59,4,2.41,28008
28,12,162,159,98.15,3,1.85,28012
28,14,138,136,98.55,2,1.45,28014
28,15,196,193,98.47,3,1.53,28015
28,17,168,159,94.64,9,5.36,28017
28,19,203,202,99.51,1,0.49,28019
28,21,245,243,99.18,2,0.82,28021
28,27,252,246,97.62,6,2.38,28027
28,39,174,170,97.7,4,2.3,28039
28,40,254,251,98.82,3,1.18,28040
28,41,182,182,100.0,0,0.0,28041
28,42,172,170,98.84,2,1.16,28042
28,45,212,210,99.06,2,0.94,28045
28,46,212,210,99.06,2,0.94,28046
28,48,108,105,97.22,3,2.78,28048
28,49,102,98,96.08,4,3.92,28049
28,51,173,166,95.95,7,4.05,28051
28,55,181,180,99.45,1,0.55,28055
28,56,196,190,96.94,6,3.06,28056
28,57,207,204,98.55,3,1.45,28057
28,58,184,180,97.83,4,2.17,28058
28,60,132,131,99.24,1,0.76,28060
29,1,256,256,100.0,0,0.0,29001
29,3,342,337,98.54,5,1.46,29003
29,10,180,180,100.0,0,0.0,29010
29,12,311,303,97.43,8,2.57,29012
29,14,332,329,99.1,3,0.9,29014
29,15,289,282,97.58,7,2.42,29015
29,16,326,324,99.39,2,0.61,29016
29,17,207,206,99.52,1,0.48,29017
29,19,223,219,98.21,4,1.79,29019
29,20,261,251,96.17,10,3.83,29020
29,21,230,224,97.39,6,2.61,29021
29,22,261,200,76.63,61,23.37,29022
29,25,254,251,98.82,3,1.18,29025
29,26,298,292,97.99,6,2.01,29026
29,27,217,216,99.54,1,0.46,29027
29,28,329,325,98.78,4,1.22,29028
29,31,235,230,97.87,5,2.13,29031
29,34,178,156,87.64,22,12.36,29034
29,36,268,266,99.25,2,0.75,29036
29,38,248,245,98.79,3,1.21,29038
29,42,299,296,99.0,3,1.0,29042
29,48,211,210,99.53,1,0.47,29048
29,49,286,286,100.0,0,0.0,29049
37,2,194,184,94.85,10,5.15,37002
37,3,0,0,0.0,0,0.0,37003
37,10,248,245,98.79,3,1.21,37010
37,14,322,314,97.52,8,2.48,37014
37,15,280,278,99.29,2,0.71,37015
37,16,249,240,96.39,9,3.61,37016
37,20,252,248,98.41,4,1.59,37020
37,21,292,290,99.32,2,0.68,37021
37,22,168,161,95.83,7,4.17,37022
37,23,216,213,98.61,3,1.39,37023
37,24,260,254,97.69,6,2.31,37024
37,25,309,301,97.41,8,2.59,37025
37,26,280,274,97.86,6,2.14,37026
37,27,277,269,97.11,8,2.89,37027
37,30,199,193,96.98,6,3.02,37030
37,31,277,266,96.03,11,3.97,37031
37,33,230,223,96.96,7,3.04,37033
37,34,281,275,97.86,6,2.14,37034
37,36,243,239,98.35,4,1.65,37036
37,40,265,263,99.25,2,0.75,37040
37,41,308,304,98.7,4,1.3,37041
37,43,221,211,95.48,10,4.52,37043
