ward,precinct,total,Carol Ronen,Carol Ronen Percent,Frank Thomas,Frank Thomas Percent,precinct_id
40,1,75,60,80.0,15,20.0,40001
40,2,160,131,81.88,29,18.13,40002
40,3,269,248,92.19,21,7.81,40003
40,4,244,218,89.34,26,10.66,40004
40,7,250,219,87.6,31,12.4,40007
40,9,156,130,83.33,26,16.67,40009
40,10,151,120,79.47,31,20.53,40010
40,11,222,195,87.84,27,12.16,40011
40,12,215,189,87.91,26,12.09,40012
40,13,278,253,91.01,25,8.99,40013
40,14,215,185,86.05,30,13.95,40014
40,15,233,199,85.41,34,14.59,40015
40,16,261,227,86.97,34,13.03,40016
40,18,235,202,85.96,33,14.04,40018
40,19,208,172,82.69,36,17.31,40019
40,21,235,204,86.81,31,13.19,40021
40,22,129,113,87.6,16,12.4,40022
40,23,303,270,89.11,33,10.89,40023
40,24,42,29,69.05,13,30.95,40024
40,25,188,144,76.6,44,23.4,40025
40,26,276,254,92.03,22,7.97,40026
40,27,200,177,88.5,23,11.5,40027
40,28,268,230,85.82,38,14.18,40028
40,33,234,206,88.03,28,11.97,40033
40,35,232,191,82.33,41,17.67,40035
40,36,296,248,83.78,48,16.22,40036
40,37,196,171,87.24,25,12.76,40037
40,39,213,184,86.38,29,13.62,40039
40,40,166,137,82.53,29,17.47,40040
40,41,310,275,88.71,35,11.29,40041
40,42,273,236,86.45,37,13.55,40042
40,43,266,230,86.47,36,13.53,40043
40,44,212,170,80.19,42,19.81,40044
40,45,378,312,82.54,66,17.46,40045
40,46,327,288,88.07,39,11.93,40046
40,47,255,229,89.8,26,10.2,40047
46,2,357,324,90.76,33,9.24,46002
46,4,284,243,85.56,41,14.44,46004
46,6,317,287,90.54,30,9.46,46006
46,7,219,190,86.76,29,13.24,46007
46,8,331,290,87.61,41,12.39,46008
46,9,301,249,82.72,52,17.28,46009
46,11,357,302,84.59,55,15.41,46011
46,12,281,247,87.9,34,12.1,46012
46,14,251,236,94.02,15,5.98,46014
46,16,283,247,87.28,36,12.72,46016
46,19,332,299,90.06,33,9.94,46019
46,20,224,202,90.18,22,9.82,46020
46,21,121,100,82.64,21,17.36,46021
46,22,229,168,73.36,61,26.64,46022
46,23,195,180,92.31,15,7.69,46023
46,25,355,262,73.8,93,26.2,46025
46,26,296,255,86.15,41,13.85,46026
46,27,302,243,80.46,59,19.54,46027
46,32,242,179,73.97,63,26.03,46032
46,34,331,291,87.92,40,12.08,46034
46,35,331,279,84.29,52,15.71,46035
46,38,234,200,85.47,34,14.53,46038
46,39,339,279,82.3,60,17.7,46039
46,40,227,188,82.82,39,17.18,46040
46,41,270,233,86.3,37,13.7,46041
46,42,295,256,86.78,39,13.22,46042
46,45,334,280,83.83,54,16.17,46045
46,46,255,214,83.92,41,16.08,46046
46,47,121,103,85.12,18,14.88,46047
47,5,326,260,79.75,66,20.25,47005
47,10,243,214,88.07,29,11.93,47010
47,11,488,447,91.6,41,8.4,47011
47,19,339,293,86.43,46,13.57,47019
47,20,304,249,81.91,55,18.09,47020
47,22,305,269,88.2,36,11.8,47022
47,23,170,150,88.24,20,11.76,47023
47,26,437,390,89.24,47,10.76,47026
47,28,372,325,87.37,47,12.63,47028
