ward,precinct,total,Bobbie L. Steele,Bobbie L. Steele Percent,Scott W. Kummer,Scott W. Kummer Percent,precinct_id
2,1,406,316,77.83,90,22.17,02001
2,2,8,8,100.0,0,0.0,02002
2,4,217,213,98.16,4,1.84,02004
2,6,285,215,75.44,70,24.56,02006
2,8,357,276,77.31,81,22.69,02008
2,9,209,207,99.04,2,0.96,02009
2,10,44,42,95.45,2,4.55,02010
2,11,155,113,72.9,42,27.1,02011
2,12,397,284,71.54,113,28.46,02012
2,13,227,196,86.34,31,13.66,02013
2,15,29,29,100.0,0,0.0,02015
2,16,37,33,89.19,4,10.81,02016
2,17,223,219,98.21,4,1.79,02017
2,22,473,359,75.9,114,24.1,02022
2,25,148,128,86.49,20,13.51,02025
2,27,221,217,98.19,4,1.81,02027
2,28,162,118,72.84,44,27.16,02028
2,29,90,76,84.44,14,15.56,02029
2,30,103,98,95.15,5,4.85,02030
2,32,123,121,98.37,2,1.63,02032
2,33,173,164,94.8,9,5.2,02033
2,34,254,250,98.43,4,1.57,02034
2,35,109,91,83.49,18,16.51,02035
2,36,131,130,99.24,1,0.76,02036
2,37,365,294,80.55,71,19.45,02037
2,38,248,232,93.55,16,6.45,02038
2,39,237,214,90.3,23,9.7,02039
2,40,344,303,88.08,41,11.92,02040
2,41,113,110,97.35,3,2.65,02041
2,42,81,78,96.3,3,3.7,02042
2,43,402,333,82.84,69,17.16,02043
2,47,205,199,97.07,6,2.93,02047
2,48,180,178,98.89,2,1.11,02048
2,49,303,244,80.53,59,19.47,02049
2,50,187,161,86.1,26,13.9,02050
2,51,214,209,97.66,5,2.34,02051
2,54,373,306,82.04,67,17.96,02054
2,55,79,68,86.08,11,13.92,02055
2,56,231,224,96.97,7,3.03,02056
2,58,154,121,78.57,33,21.43,02058
2,59,302,238,78.81,64,21.19,02059
2,60,0,0,0.0,0,0.0,02060
3,3,238,210,88.24,28,11.76,03003
3,8,42,41,97.62,1,2.38,03008
3,12,241,237,98.34,4,1.66,03012
3,14,128,126,98.44,2,1.56,03014
3,17,144,143,99.31,1,0.69,03017
3,18,130,128,98.46,2,1.54,03018
3,21,126,125,99.21,1,0.79,03021
3,22,151,147,97.35,4,2.65,03022
3,25,180,180,100.0,0,0.0,03025
3,26,207,204,98.55,3,1.45,03026
3,27,204,204,100.0,0,0.0,03027
3,29,187,184,98.4,3,1.6,03029
3,36,110,105,95.45,5,4.55,03036
3,42,175,173,98.86,2,1.14,03042
3,44,94,94,100.0,0,0.0,03044
3,45,242,216,89.26,26,10.74,03045
3,47,146,146,100.0,0,0.0,03047
3,48,161,159,98.76,2,1.24,03048
3,50,201,195,97.01,6,2.99,03050
3,52,92,92,100.0,0,0.0,03052
3,54,462,363,78.57,99,21.43,03054
6,18,166,162,97.59,4,2.41,06018
6,62,273,271,99.27,2,0.73,06062
11,14,170,138,81.18,32,18.82,11014
11,27,221,160,72.4,61,27.6,11027
11,34,81,77,95.06,4,4.94,11034
11,36,56,51,91.07,5,8.93,11036
11,46,176,162,92.05,14,7.95,11046
12,1,17,15,88.24,2,11.76,12001
12,6,26,24,92.31,2,7.69,12006
12,18,0,0,0.0,0,0.0,12018
15,2,182,179,98.35,3,1.65,15002
15,3,181,179,98.9,2,1.1,15003
15,4,190,188,98.95,2,1.05,15004
15,5,198,197,99.49,1,0.51,15005
15,7,153,152,99.35,1,0.65,15007
15,8,282,280,99.29,2,0.71,15008
15,9,219,207,94.52,12,5.48,15009
15,11,226,223,98.67,3,1.33,15011
15,12,124,124,100.0,0,0.0,15012
15,17,186,183,98.39,3,1.61,15017
15,18,144,144,100.0,0,0.0,15018
15,19,196,192,97.96,4,2.04,15019
15,20,172,168,97.67,4,2.33,15020
15,21,210,206,98.1,4,1.9,15021
15,23,155,153,98.71,2,1.29,15023
15,26,147,142,96.6,5,3.4,15026
15,27,156,150,96.15,6,3.85,15027
15,30,200,196,98.0,4,2.0,15030
15,31,166,163,98.19,3,1.81,15031
15,33,46,44,95.65,2,4.35,15033
15,34,158,156,98.73,2,1.27,15034
15,35,195,193,98.97,2,1.03,15035
15,36,144,143,99.31,1,0.69,15036
15,37,155,153,98.71,2,1.29,15037
15,38,175,165,94.29,10,5.71,15038
15,39,207,207,100.0,0,0.0,15039
15,40,193,188,97.41,5,2.59,15040
15,41,270,258,95.56,12,4.44,15041
15,42,96,96,100.0,0,0.0,15042
15,43,158,155,98.1,3,1.9,15043
15,46,139,139,100.0,0,0.0,15046
15,47,228,225,98.68,3,1.32,15047
15,48,149,148,99.33,1,0.67,15048
15,51,147,145,98.64,2,1.36,15051
15,52,126,125,99.21,1,0.79,15052
16,3,187,184,98.4,3,1.6,16003
16,5,204,203,99.51,1,0.49,16005
16,9,265,263,99.25,2,0.75,16009
16,14,197,193,97.97,4,2.03,16014
16,15,247,244,98.79,3,1.21,16015
16,16,210,209,99.52,1,0.48,16016
16,20,197,197,100.0,0,0.0,16020
16,22,173,172,99.42,1,0.58,16022
16,25,155,152,98.06,3,1.94,16025
16,26,189,189,100.0,0,0.0,16026
16,27,246,242,98.37,4,1.63,16027
16,28,237,236,99.58,1,0.42,16028
16,31,237,234,98.73,3,1.27,16031
16,33,157,156,99.36,1,0.64,16033
16,34,156,153,98.08,3,1.92,16034
16,36,195,193,98.97,2,1.03,16036
16,37,129,127,98.45,2,1.55,16037
16,40,226,220,97.35,6,2.65,16040
16,41,115,113,98.26,2,1.74,16041
16,43,234,231,98.72,3,1.28,16043
16,45,128,126,98.44,2,1.56,16045
16,46,66,64,96.97,2,3.03,16046
17,1,179,176,98.32,3,1.68,17001
17,6,172,167,97.09,5,2.91,17006
17,8,210,209,99.52,1,0.48,17008
17,13,164,161,98.17,3,1.83,17013
17,14,205,199,97.07,6,2.93,17014
17,16,181,179,98.9,2,1.1,17016
17,17,171,170,99.42,1,0.58,17017
17,19,95,94,98.95,1,1.05,17019
17,34,191,190,99.48,1,0.52,17034
17,36,124,121,97.58,3,2.42,17036
17,39,138,134,97.1,4,2.9,17039
17,41,184,182,98.91,2,1.09,17041
17,42,183,181,98.91,2,1.09,17042
17,43,181,178,98.34,3,1.66,17043
17,45,139,134,96.4,5,3.6,17045
17,46,211,210,99.53,1,0.47,17046
17,49,182,182,100.0,0,0.0,17049
17,58,173,171,98.84,2,1.16,17058
17,59,107,105,98.13,2,1.87,17059
17,60,299,297,99.33,2,0.67,17060
17,62,167,165,98.8,2,1.2,17062
17,63,190,188,98.95,2,1.05,17063
17,64,145,142,97.93,3,2.07,17064
18,5,303,302,99.67,1,0.33,18005
18,8,1,1,100.0,0,0.0,18008
18,27,258,238,92.25,20,7.75,18027
18,33,216,209,96.76,7,3.24,18033
18,39,259,247,95.37,12,4.63,18039
18,42,188,162,86.17,26,13.83,18042
18,47,237,228,96.2,9,3.8,18047
18,49,203,200,98.52,3,1.48,18049
18,50,267,255,95.51,12,4.49,18050
18,58,275,268,97.45,7,2.55,18058
18,59,196,194,98.98,2,1.02,18059
20,7,94,93,98.94,1,1.06,20007
20,11,168,167,99.4,1,0.6,20011
20,12,144,143,99.31,1,0.69,20012
20,13,168,163,97.02,5,2.98,20013
20,17,167,161,96.41,6,3.59,20017
20,19,173,170,98.27,3,1.73,20019
20,20,162,158,97.53,4,2.47,20020
20,23,277,274,98.92,3,1.08,20023
20,25,164,160,97.56,4,2.44,20025
20,27,141,139,98.58,2,1.42,20027
20,28,235,232,98.72,3,1.28,20028
20,30,236,235,99.58,1,0.42,20030
20,31,234,228,97.44,6,2.56,20031
20,33,245,240,97.96,5,2.04,20033
20,35,115,112,97.39,3,2.61,20035
20,39,198,193,97.47,5,2.53,20039
20,40,170,167,98.24,3,1.76,20040
20,42,195,191,97.95,4,2.05,20042
20,43,55,52,94.55,3,5.45,20043
20,44,281,279,99.29,2,0.71,20044
20,45,150,147,98.0,3,2.0,20045
20,46,180,171,95.0,9,5.0,20046
20,48,102,102,100.0,0,0.0,20048
20,49,189,187,98.94,2,1.06,20049
20,50,144,144,100.0,0,0.0,20050
22,7,212,208,98.11,4,1.89,22007
22,18,1,1,100.0,0,0.0,22018
22,19,181,179,98.9,2,1.1,22019
22,21,241,239,99.17,2,0.83,22021
24,1,172,171,99.42,1,0.58,24001
24,2,172,171,99.42,1,0.58,24002
24,3,235,227,96.6,8,3.4,24003
24,4,234,232,99.15,2,0.85,24004
24,5,178,178,100.0,0,0.0,24005
24,6,249,246,98.8,3,1.2,24006
24,7,181,178,98.34,3,1.66,24007
24,8,208,200,96.15,8,3.85,24008
24,9,221,218,98.64,3,1.36,24009
24,10,175,173,98.86,2,1.14,24010
24,11,122,119,97.54,3,2.46,24011
24,12,160,159,99.38,1,0.63,24012
24,13,166,163,98.19,3,1.81,24013
24,14,295,287,97.29,8,2.71,24014
24,15,178,172,96.63,6,3.37,24015
24,16,160,160,100.0,0,0.0,24016
24,17,193,190,98.45,3,1.55,24017
24,18,144,144,100.0,0,0.0,24018
24,19,168,167,99.4,1,0.6,24019
24,20,214,211,98.6,3,1.4,24020
24,21,123,123,100.0,0,0.0,24021
24,22,213,209,98.12,4,1.88,24022
24,23,179,175,97.77,4,2.23,24023
24,24,157,155,98.73,2,1.27,24024
24,25,211,206,97.63,5,2.37,24025
24,26,254,248,97.64,6,2.36,24026
24,27,143,127,88.81,16,11.19,24027
24,28,259,253,97.68,6,2.32,24028
24,29,236,233,98.73,3,1.27,24029
24,30,195,193,98.97,2,1.03,24030
24,31,189,187,98.94,2,1.06,24031
24,32,199,196,98.49,3,1.51,24032
24,33,153,153,100.0,0,0.0,24033
24,34,223,217,97.31,6,2.69,24034
24,35,271,267,98.52,4,1.48,24035
24,36,172,170,98.84,2,1.16,24036
24,37,222,215,96.85,7,3.15,24037
24,38,225,215,95.56,10,4.44,24038
24,39,207,205,99.03,2,0.97,24039
24,40,281,271,96.44,10,3.56,24040
24,41,192,187,97.4,5,2.6,24041
24,42,181,177,97.79,4,2.21,24042
24,43,258,253,98.06,5,1.94,24043
24,44,79,77,97.47,2,2.53,24044
24,45,179,176,98.32,3,1.68,24045
24,46,231,229,99.13,2,0.87,24046
24,47,168,161,95.83,7,4.17,24047
24,48,99,99,100.0,0,0.0,24048
24,49,339,333,98.23,6,1.77,24049
24,50,323,318,98.45,5,1.55,24050
24,51,290,284,97.93,6,2.07,24051
24,52,170,170,100.0,0,0.0,24052
24,53,41,39,95.12,2,4.88,24053
24,54,139,137,98.56,2,1.44,24054
24,56,246,245,99.59,1,0.41,24056
24,58,245,238,97.14,7,2.86,24058
25,3,124,114,91.94,10,8.06,25003
25,4,277,209,75.45,68,24.55,25004
