ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,Ann Melichar,Ann Melichar Percent,precinct_id
1,1,38,33,86.84,5,13.16,01001
1,2,217,188,86.64,29,13.36,01002
1,3,203,181,89.16,22,10.84,01003
1,4,246,214,86.99,32,13.01,01004
1,5,243,206,84.77,37,15.23,01005
1,7,238,193,81.09,45,18.91,01007
1,8,240,200,83.33,40,16.67,01008
1,9,245,210,85.71,35,14.29,01009
1,10,272,219,80.51,53,19.49,01010
1,11,226,186,82.3,40,17.7,01011
1,12,268,219,81.72,49,18.28,01012
1,13,277,251,90.61,26,9.39,01013
1,14,252,224,88.89,28,11.11,01014
1,15,190,172,90.53,18,9.47,01015
1,16,102,99,97.06,3,2.94,01016
1,17,232,216,93.1,16,6.9,01017
1,18,186,168,90.32,18,9.68,01018
1,19,229,177,77.29,52,22.71,01019
1,20,278,249,89.57,29,10.43,01020
1,21,203,173,85.22,30,14.78,01021
1,22,222,201,90.54,21,9.46,01022
1,23,223,188,84.3,35,15.7,01023
1,24,323,276,85.45,47,14.55,01024
1,25,207,179,86.47,28,13.53,01025
1,26,214,162,75.7,52,24.3,01026
1,27,152,132,86.84,20,13.16,01027
1,28,92,82,89.13,10,10.87,01028
1,29,243,209,86.01,34,13.99,01029
1,30,347,302,87.03,45,12.97,01030
1,31,293,224,76.45,69,23.55,01031
1,32,243,218,89.71,25,10.29,01032
1,33,251,216,86.06,35,13.94,01033
1,34,156,143,91.67,13,8.33,01034
1,35,166,135,81.33,31,18.67,01035
1,36,216,176,81.48,40,18.52,01036
1,37,188,162,86.17,26,13.83,01037
1,38,147,133,90.48,14,9.52,01038
1,39,268,233,86.94,35,13.06,01039
1,40,103,82,79.61,21,20.39,01040
1,41,195,165,84.62,30,15.38,01041
1,42,161,132,81.99,29,18.01,01042
1,43,187,165,88.24,22,11.76,01043
1,44,26,18,69.23,8,30.77,01044
1,45,239,217,90.79,22,9.21,01045
1,46,235,185,78.72,50,21.28,01046
1,47,176,151,85.8,25,14.2,01047
1,48,142,110,77.46,32,22.54,01048
1,49,132,115,87.12,17,12.88,01049
1,50,151,129,85.43,22,14.57,01050
3,13,185,176,95.14,9,4.86,03013
11,3,194,164,84.54,30,15.46,11003
11,10,153,124,81.05,29,18.95,11010
11,18,27,21,77.78,6,22.22,11018
11,26,0,0,0.0,0,0.0,11026
