ward,precinct,total,Edward D. Maloney,Edward D. Maloney Percent,precinct_id
18,19,340,340,100.0,18019
18,24,258,258,100.0,18024
18,25,275,275,100.0,18025
18,26,213,213,100.0,18026
18,30,234,234,100.0,18030
18,32,346,346,100.0,18032
18,34,342,342,100.0,18034
18,45,289,289,100.0,18045
18,46,283,283,100.0,18046
18,51,349,349,100.0,18051
18,52,300,300,100.0,18052
18,53,191,191,100.0,18053
19,1,336,336,100.0,19001
19,2,300,300,100.0,19002
19,3,286,286,100.0,19003
19,4,288,288,100.0,19004
19,5,344,344,100.0,19005
19,6,271,271,100.0,19006
19,7,322,322,100.0,19007
19,8,235,235,100.0,19008
19,9,242,242,100.0,19009
19,10,414,414,100.0,19010
19,11,305,305,100.0,19011
19,12,316,316,100.0,19012
19,14,187,187,100.0,19014
19,15,230,230,100.0,19015
19,16,380,380,100.0,19016
19,17,345,345,100.0,19017
19,18,388,388,100.0,19018
19,19,327,327,100.0,19019
19,21,248,248,100.0,19021
19,22,373,373,100.0,19022
19,23,382,382,100.0,19023
19,24,245,245,100.0,19024
19,25,374,374,100.0,19025
19,26,350,350,100.0,19026
19,29,246,246,100.0,19029
19,30,301,301,100.0,19030
19,32,396,396,100.0,19032
19,33,323,323,100.0,19033
19,34,347,347,100.0,19034
19,35,307,307,100.0,19035
19,36,323,323,100.0,19036
19,37,349,349,100.0,19037
19,38,351,351,100.0,19038
19,39,172,172,100.0,19039
19,41,266,266,100.0,19041
19,44,255,255,100.0,19044
19,45,354,354,100.0,19045
19,46,420,420,100.0,19046
19,47,242,242,100.0,19047
19,51,292,292,100.0,19051
19,52,245,245,100.0,19052
19,53,318,318,100.0,19053
19,54,242,242,100.0,19054
19,55,261,261,100.0,19055
19,56,420,420,100.0,19056
19,57,387,387,100.0,19057
19,58,313,313,100.0,19058
19,59,335,335,100.0,19059
19,61,422,422,100.0,19061
19,62,295,295,100.0,19062
19,65,241,241,100.0,19065
21,15,233,233,100.0,21015
21,29,121,121,100.0,21029
21,35,151,151,100.0,21035
21,36,220,220,100.0,21036
21,57,238,238,100.0,21057
21,70,245,245,100.0,21070
21,71,192,192,100.0,21071
21,73,339,339,100.0,21073
