ward,precinct,total,Mark Dobrzycki,Mark Dobrzycki Percent,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
29,9,27,22,81.48,5,18.52,29009
36,5,226,106,46.9,120,53.1,36005
36,7,237,82,34.6,155,65.4,36007
36,8,280,121,43.21,159,56.79,36008
36,9,267,139,52.06,128,47.94,36009
36,10,177,90,50.85,87,49.15,36010
36,11,329,144,43.77,185,56.23,36011
36,12,200,107,53.5,93,46.5,36012
36,13,345,180,52.17,165,47.83,36013
36,14,278,145,52.16,133,47.84,36014
36,15,245,142,57.96,103,42.04,36015
36,17,248,83,33.47,165,66.53,36017
36,18,319,115,36.05,204,63.95,36018
36,19,281,162,57.65,119,42.35,36019
36,20,321,165,51.4,156,48.6,36020
36,21,447,194,43.4,253,56.6,36021
36,25,190,71,37.37,119,62.63,36025
36,27,165,64,38.79,101,61.21,36027
36,28,232,139,59.91,93,40.09,36028
36,29,231,100,43.29,131,56.71,36029
36,30,308,113,36.69,195,63.31,36030
36,31,292,136,46.58,156,53.42,36031
36,32,250,140,56.0,110,44.0,36032
36,34,220,70,31.82,150,68.18,36034
36,35,304,152,50.0,152,50.0,36035
36,37,248,120,48.39,128,51.61,36037
36,38,173,85,49.13,88,50.87,36038
36,39,260,118,45.38,142,54.62,36039
36,40,329,154,46.81,175,53.19,36040
36,42,226,111,49.12,115,50.88,36042
36,46,237,92,38.82,145,61.18,36046
36,47,204,78,38.24,126,61.76,36047
36,48,219,87,39.73,132,60.27,36048
36,49,309,129,41.75,180,58.25,36049
36,50,225,115,51.11,110,48.89,36050
36,52,214,142,66.36,72,33.64,36052
36,53,95,70,73.68,25,26.32,36053
38,3,193,90,46.63,103,53.37,38003
38,38,288,160,55.56,128,44.44,38038
41,1,386,105,27.2,281,72.8,41001
41,2,416,111,26.68,305,73.32,41002
41,3,386,158,40.93,228,59.07,41003
41,4,399,105,26.32,294,73.68,41004
41,5,409,144,35.21,265,64.79,41005
41,7,446,122,27.35,324,72.65,41007
41,8,370,91,24.59,279,75.41,41008
41,9,386,191,49.48,195,50.52,41009
41,11,407,107,26.29,300,73.71,41011
41,12,366,152,41.53,214,58.47,41012
41,15,370,115,31.08,255,68.92,41015
41,16,403,124,30.77,279,69.23,41016
41,17,378,137,36.24,241,63.76,41017
41,18,346,137,39.6,209,60.4,41018
41,20,433,113,26.1,320,73.9,41020
41,21,391,158,40.41,233,59.59,41021
41,22,337,103,30.56,234,69.44,41022
41,24,359,150,41.78,209,58.22,41024
41,30,405,161,39.75,244,60.25,41030
41,31,383,121,31.59,262,68.41,41031
41,33,300,64,21.33,236,78.67,41033
41,34,292,72,24.66,220,75.34,41034
41,35,404,151,37.38,253,62.62,41035
41,36,428,123,28.74,305,71.26,41036
41,37,397,78,19.65,319,80.35,41037
41,38,369,153,41.46,216,58.54,41038
41,40,407,87,21.38,320,78.62,41040
41,41,394,142,36.04,252,63.96,41041
41,42,436,80,18.35,356,81.65,41042
41,43,385,157,40.78,228,59.22,41043
41,45,322,133,41.3,189,58.7,41045
41,46,281,94,33.45,187,66.55,41046
41,49,430,95,22.09,335,77.91,41049
41,50,354,134,37.85,220,62.15,41050
41,51,241,100,41.49,141,58.51,41051
41,52,456,134,29.39,322,70.61,41052
41,55,339,90,26.55,249,73.45,41055
41,56,441,121,27.44,320,72.56,41056
