ward,precinct,total,Maria Pappas,Maria Pappas Percent,Erik Peck,Erik Peck Percent,precinct_id
1,1,243,217,89.3,26,10.7,01001
1,2,209,195,93.3,14,6.7,01002
1,3,206,189,91.75,17,8.25,01003
1,4,245,227,92.65,18,7.35,01004
1,5,238,214,89.92,24,10.08,01005
1,6,237,199,83.97,38,16.03,01006
1,7,239,206,86.19,33,13.81,01007
1,8,231,203,87.88,28,12.12,01008
1,9,236,213,90.25,23,9.75,01009
1,10,266,233,87.59,33,12.41,01010
1,11,221,201,90.95,20,9.05,01011
1,12,259,214,82.63,45,17.37,01012
1,13,273,254,93.04,19,6.96,01013
1,14,252,229,90.87,23,9.13,01014
1,15,186,173,93.01,13,6.99,01015
1,16,98,96,97.96,2,2.04,01016
1,17,231,214,92.64,17,7.36,01017
1,18,190,179,94.21,11,5.79,01018
1,19,225,190,84.44,35,15.56,01019
1,20,241,223,92.53,18,7.47,01020
1,21,203,177,87.19,26,12.81,01021
1,22,223,213,95.52,10,4.48,01022
1,23,221,194,87.78,27,12.22,01023
1,24,321,297,92.52,24,7.48,01024
1,25,203,174,85.71,29,14.29,01025
1,26,203,170,83.74,33,16.26,01026
1,27,149,132,88.59,17,11.41,01027
1,28,165,150,90.91,15,9.09,01028
1,29,238,204,85.71,34,14.29,01029
1,30,336,310,92.26,26,7.74,01030
1,31,289,234,80.97,55,19.03,01031
1,32,234,216,92.31,18,7.69,01032
1,33,251,229,91.24,22,8.76,01033
1,34,154,141,91.56,13,8.44,01034
1,35,167,136,81.44,31,18.56,01035
1,36,213,184,86.38,29,13.62,01036
1,37,181,163,90.06,18,9.94,01037
1,38,138,124,89.86,14,10.14,01038
1,39,261,238,91.19,23,8.81,01039
1,40,100,89,89.0,11,11.0,01040
1,41,192,166,86.46,26,13.54,01041
1,42,169,143,84.62,26,15.38,01042
1,43,181,156,86.19,25,13.81,01043
1,44,192,174,90.63,18,9.38,01044
1,45,229,209,91.27,20,8.73,01045
1,46,236,204,86.44,32,13.56,01046
1,47,170,144,84.71,26,15.29,01047
1,48,130,112,86.15,18,13.85,01048
1,49,131,117,89.31,14,10.69,01049
1,50,149,133,89.26,16,10.74,01050
2,1,416,347,83.41,69,16.59,02001
2,2,8,8,100.0,0,0.0,02002
2,3,285,239,83.86,46,16.14,02003
2,4,217,216,99.54,1,0.46,02004
2,5,148,143,96.62,5,3.38,02005
2,6,315,256,81.27,59,18.73,02006
2,7,277,271,97.83,6,2.17,02007
2,8,365,306,83.84,59,16.16,02008
2,9,207,202,97.58,5,2.42,02009
2,10,43,42,97.67,1,2.33,02010
2,11,160,137,85.63,23,14.38,02011
2,12,412,331,80.34,81,19.66,02012
2,13,226,195,86.28,31,13.72,02013
2,14,357,343,96.08,14,3.92,02014
