ward,precinct,total,Sara Feigenholtz,Sara Feigenholtz Percent,Richard A. Caner,Richard A. Caner Percent,precinct_id
42,8,379,294,77.57,85,22.43,42008
42,10,255,190,74.51,65,25.49,42010
42,15,328,248,75.61,80,24.39,42015
42,16,198,141,71.21,57,28.79,42016
42,26,296,249,84.12,47,15.88,42026
42,28,332,256,77.11,76,22.89,42028
42,30,215,156,72.56,59,27.44,42030
42,33,372,300,80.65,72,19.35,42033
42,34,269,223,82.9,46,17.1,42034
42,36,251,173,68.92,78,31.08,42036
43,4,362,266,73.48,96,26.52,43004
43,8,380,311,81.84,69,18.16,43008
43,12,356,283,79.49,73,20.51,43012
43,14,270,206,76.3,64,23.7,43014
43,16,289,221,76.47,68,23.53,43016
43,17,353,249,70.54,104,29.46,43017
43,18,364,259,71.15,105,28.85,43018
43,23,236,191,80.93,45,19.07,43023
43,24,331,240,72.51,91,27.49,43024
43,25,293,251,85.67,42,14.33,43025
43,26,245,172,70.2,73,29.8,43026
43,27,246,193,78.46,53,21.54,43027
43,28,395,272,68.86,123,31.14,43028
43,32,302,241,79.8,61,20.2,43032
43,33,148,115,77.7,33,22.3,43033
43,34,158,128,81.01,30,18.99,43034
43,36,257,184,71.6,73,28.4,43036
43,38,231,184,79.65,47,20.35,43038
43,39,222,149,67.12,73,32.88,43039
43,42,289,217,75.09,72,24.91,43042
43,43,232,169,72.84,63,27.16,43043
43,44,330,249,75.45,81,24.55,43044
43,45,100,81,81.0,19,19.0,43045
43,46,406,263,64.78,143,35.22,43046
43,48,310,248,80.0,62,20.0,43048
43,49,268,204,76.12,64,23.88,43049
43,52,286,209,73.08,77,26.92,43052
43,53,324,254,78.4,70,21.6,43053
43,58,242,189,78.1,53,21.9,43058
43,59,271,214,78.97,57,21.03,43059
44,1,255,211,82.75,44,17.25,44001
44,2,236,201,85.17,35,14.83,44002
44,3,339,296,87.32,43,12.68,44003
44,4,327,272,83.18,55,16.82,44004
44,5,337,297,88.13,40,11.87,44005
44,6,321,274,85.36,47,14.64,44006
44,7,331,266,80.36,65,19.64,44007
44,8,143,120,83.92,23,16.08,44008
44,10,232,194,83.62,38,16.38,44010
44,12,249,210,84.34,39,15.66,44012
44,14,278,223,80.22,55,19.78,44014
44,15,375,315,84.0,60,16.0,44015
44,17,333,285,85.59,48,14.41,44017
44,18,231,181,78.35,50,21.65,44018
44,19,189,165,87.3,24,12.7,44019
44,20,293,252,86.01,41,13.99,44020
44,21,338,297,87.87,41,12.13,44021
44,22,383,323,84.33,60,15.67,44022
44,23,266,232,87.22,34,12.78,44023
44,24,211,182,86.26,29,13.74,44024
44,26,240,209,87.08,31,12.92,44026
44,28,240,192,80.0,48,20.0,44028
44,29,325,261,80.31,64,19.69,44029
44,30,248,232,93.55,16,6.45,44030
44,31,325,260,80.0,65,20.0,44031
44,32,241,207,85.89,34,14.11,44032
44,33,353,332,94.05,21,5.95,44033
44,34,220,184,83.64,36,16.36,44034
44,35,254,215,84.65,39,15.35,44035
44,36,309,250,80.91,59,19.09,44036
44,37,396,348,87.88,48,12.12,44037
44,38,290,220,75.86,70,24.14,44038
44,39,346,269,77.75,77,22.25,44039
44,41,261,214,81.99,47,18.01,44041
44,42,388,331,85.31,57,14.69,44042
44,44,337,278,82.49,59,17.51,44044
44,45,347,297,85.59,50,14.41,44045
44,46,228,205,89.91,23,10.09,44046
44,48,247,207,83.81,40,16.19,44048
44,49,478,397,83.05,81,16.95,44049
44,50,290,224,77.24,66,22.76,44050
46,1,481,415,86.28,66,13.72,46001
46,3,332,313,94.28,19,5.72,46003
46,5,221,187,84.62,34,15.38,46005
46,10,258,226,87.6,32,12.4,46010
46,13,295,230,77.97,65,22.03,46013
46,15,341,292,85.63,49,14.37,46015
46,17,420,358,85.24,62,14.76,46017
46,18,357,287,80.39,70,19.61,46018
46,24,272,224,82.35,48,17.65,46024
46,28,363,294,80.99,69,19.01,46028
46,29,303,257,84.82,46,15.18,46029
46,30,334,276,82.63,58,17.37,46030
46,31,353,305,86.4,48,13.6,46031
46,33,380,315,82.89,65,17.11,46033
46,36,330,283,85.76,47,14.24,46036
46,37,232,202,87.07,30,12.93,46037
46,43,378,329,87.04,49,12.96,46043
46,44,202,186,92.08,16,7.92,46044
