ward,precinct,total,Antonio ''Tony'' Munoz,Antonio ''Tony'' Munoz Percent,Rose Pappas,Rose Pappas Percent,Dorian Breuer,Dorian Breuer Percent,precinct_id
24,57,221,196,88.69,17,7.69,8,3.62,24057
25,1,251,198,78.88,28,11.16,25,9.96,25001
25,2,332,257,77.41,15,4.52,60,18.07,25002
25,5,254,197,77.56,40,15.75,17,6.69,25005
25,7,241,194,80.5,20,8.3,27,11.2,25007
25,8,276,233,84.42,19,6.88,24,8.7,25008
25,9,332,265,79.82,32,9.64,35,10.54,25009
25,11,267,208,77.9,36,13.48,23,8.61,25011
25,13,298,250,83.89,22,7.38,26,8.72,25013
25,15,268,231,86.19,19,7.09,18,6.72,25015
25,17,393,308,78.37,30,7.63,55,13.99,25017
25,19,295,248,84.07,22,7.46,25,8.47,25019
25,20,307,269,87.62,14,4.56,24,7.82,25020
25,22,143,113,79.02,16,11.19,14,9.79,25022
25,23,289,234,80.97,10,3.46,45,15.57,25023
25,24,295,241,81.69,19,6.44,35,11.86,25024
25,30,249,194,77.91,18,7.23,37,14.86,25030
28,29,200,183,91.5,10,5.0,7,3.5,28029
28,38,94,80,85.11,10,10.64,4,4.26,28038
28,53,0,0,0.0,0,0.0,0,0.0,28053
