ward,precinct,total,Joseph Mario Moreno,Joseph Mario Moreno Percent,precinct_id
3,13,169,169,100.0,03013
3,51,46,46,100.0,03051
11,2,190,190,100.0,11002
11,3,179,179,100.0,11003
11,6,289,289,100.0,11006
11,10,3,3,100.0,11010
11,17,279,279,100.0,11017
11,18,0,0,0.0,11018
11,30,0,0,0.0,11030
12,1,76,76,100.0,12001
12,2,163,163,100.0,12002
12,3,166,166,100.0,12003
12,4,148,148,100.0,12004
12,5,143,143,100.0,12005
12,6,112,112,100.0,12006
12,7,171,171,100.0,12007
12,8,105,105,100.0,12008
12,9,141,141,100.0,12009
12,10,161,161,100.0,12010
12,11,255,255,100.0,12011
12,12,158,158,100.0,12012
12,13,222,222,100.0,12013
12,14,147,147,100.0,12014
12,15,130,130,100.0,12015
12,16,128,128,100.0,12016
12,17,194,194,100.0,12017
12,18,201,201,100.0,12018
12,19,206,206,100.0,12019
12,20,162,162,100.0,12020
12,21,198,198,100.0,12021
12,22,130,130,100.0,12022
12,23,156,156,100.0,12023
12,24,216,216,100.0,12024
13,3,292,292,100.0,13003
13,5,39,39,100.0,13005
13,15,367,367,100.0,13015
13,16,76,76,100.0,13016
13,18,183,183,100.0,13018
13,20,234,234,100.0,13020
13,26,2,2,100.0,13026
13,28,211,211,100.0,13028
13,30,276,276,100.0,13030
13,31,288,288,100.0,13031
13,33,218,218,100.0,13033
13,34,28,28,100.0,13034
13,35,54,54,100.0,13035
13,39,34,34,100.0,13039
13,40,28,28,100.0,13040
13,46,77,77,100.0,13046
13,50,319,319,100.0,13050
14,1,130,130,100.0,14001
14,3,264,264,100.0,14003
14,4,161,161,100.0,14004
14,5,248,248,100.0,14005
14,6,184,184,100.0,14006
14,7,186,186,100.0,14007
14,8,134,134,100.0,14008
14,9,220,220,100.0,14009
14,10,202,202,100.0,14010
14,11,165,165,100.0,14011
14,12,140,140,100.0,14012
14,13,190,190,100.0,14013
14,14,163,163,100.0,14014
14,15,243,243,100.0,14015
14,16,195,195,100.0,14016
14,17,224,224,100.0,14017
14,18,189,189,100.0,14018
14,19,249,249,100.0,14019
14,20,156,156,100.0,14020
14,21,200,200,100.0,14021
14,22,229,229,100.0,14022
14,23,249,249,100.0,14023
14,24,126,126,100.0,14024
14,26,241,241,100.0,14026
14,27,241,241,100.0,14027
14,29,241,241,100.0,14029
14,30,154,154,100.0,14030
14,31,220,220,100.0,14031
14,32,134,134,100.0,14032
14,33,158,158,100.0,14033
14,34,170,170,100.0,14034
14,35,189,189,100.0,14035
15,1,149,149,100.0,15001
15,10,160,160,100.0,15010
15,14,237,237,100.0,15014
15,16,128,128,100.0,15016
15,25,171,171,100.0,15025
15,28,185,185,100.0,15028
15,32,186,186,100.0,15032
15,44,167,167,100.0,15044
15,49,125,125,100.0,15049
16,1,6,6,100.0,16001
16,4,140,140,100.0,16004
16,13,113,113,100.0,16013
16,17,192,192,100.0,16017
16,21,170,170,100.0,16021
16,23,130,130,100.0,16023
16,32,179,179,100.0,16032
16,35,185,185,100.0,16035
16,39,153,153,100.0,16039
16,42,153,153,100.0,16042
16,44,45,45,100.0,16044
20,4,174,174,100.0,20004
20,8,82,82,100.0,20008
20,15,186,186,100.0,20015
20,21,103,103,100.0,20021
20,41,61,61,100.0,20041
22,1,136,136,100.0,22001
22,2,127,127,100.0,22002
22,3,201,201,100.0,22003
22,4,182,182,100.0,22004
22,5,170,170,100.0,22005
22,6,148,148,100.0,22006
22,8,153,153,100.0,22008
22,9,194,194,100.0,22009
22,10,158,158,100.0,22010
22,11,171,171,100.0,22011
22,12,133,133,100.0,22012
22,13,210,210,100.0,22013
22,14,108,108,100.0,22014
22,15,143,143,100.0,22015
22,16,185,185,100.0,22016
22,17,159,159,100.0,22017
22,18,166,166,100.0,22018
22,20,208,208,100.0,22020
22,22,132,132,100.0,22022
22,23,161,161,100.0,22023
22,24,126,126,100.0,22024
22,25,150,150,100.0,22025
22,26,128,128,100.0,22026
22,27,208,208,100.0,22027
22,28,114,114,100.0,22028
22,29,123,123,100.0,22029
23,6,175,175,100.0,23006
23,9,259,259,100.0,23009
23,24,176,176,100.0,23024
23,29,231,231,100.0,23029
24,53,184,184,100.0,24053
24,57,208,208,100.0,24057
25,1,227,227,100.0,25001
25,2,287,287,100.0,25002
25,3,33,33,100.0,25003
25,5,208,208,100.0,25005
25,7,213,213,100.0,25007
25,8,199,199,100.0,25008
25,9,286,286,100.0,25009
25,11,229,229,100.0,25011
25,12,207,207,100.0,25012
25,13,275,275,100.0,25013
25,15,248,248,100.0,25015
25,17,344,344,100.0,25017
25,19,266,266,100.0,25019
25,20,293,293,100.0,25020
25,22,129,129,100.0,25022
25,23,260,260,100.0,25023
25,24,262,262,100.0,25024
25,29,109,109,100.0,25029
25,30,211,211,100.0,25030
25,31,126,126,100.0,25031
28,29,191,191,100.0,28029
28,34,24,24,100.0,28034
28,38,89,89,100.0,28038
