ward,precinct,total,Mary Colleen Roberts,Mary Colleen Roberts Percent,precinct_id
29,2,179,179,100.0,29002
29,6,126,126,100.0,29006
29,7,111,111,100.0,29007
29,9,140,140,100.0,29009
29,12,291,291,100.0,29012
29,15,256,256,100.0,29015
29,17,183,183,100.0,29017
29,24,165,165,100.0,29024
29,25,234,234,100.0,29025
29,30,137,137,100.0,29030
29,32,155,155,100.0,29032
29,36,245,245,100.0,29036
29,39,142,142,100.0,29039
29,48,197,197,100.0,29048
29,49,260,260,100.0,29049
29,52,101,101,100.0,29052
30,2,114,114,100.0,30002
30,6,109,109,100.0,30006
30,7,131,131,100.0,30007
30,8,170,170,100.0,30008
30,9,156,156,100.0,30009
30,10,119,119,100.0,30010
30,11,112,112,100.0,30011
30,12,124,124,100.0,30012
30,13,141,141,100.0,30013
30,14,66,66,100.0,30014
30,16,155,155,100.0,30016
30,17,108,108,100.0,30017
30,18,116,116,100.0,30018
30,25,87,87,100.0,30025
30,28,124,124,100.0,30028
30,30,172,172,100.0,30030
30,34,179,179,100.0,30034
30,36,135,135,100.0,30036
30,37,114,114,100.0,30037
30,38,194,194,100.0,30038
30,39,142,142,100.0,30039
31,3,121,121,100.0,31003
31,8,123,123,100.0,31008
31,9,107,107,100.0,31009
31,15,68,68,100.0,31015
31,16,73,73,100.0,31016
31,18,14,14,100.0,31018
31,26,80,80,100.0,31026
31,29,127,127,100.0,31029
31,38,58,58,100.0,31038
31,43,132,132,100.0,31043
31,45,116,116,100.0,31045
35,11,15,15,100.0,35011
35,13,63,63,100.0,35013
35,33,91,91,100.0,35033
36,1,182,182,100.0,36001
36,2,151,151,100.0,36002
36,3,289,289,100.0,36003
36,4,133,133,100.0,36004
36,5,151,151,100.0,36005
36,6,208,208,100.0,36006
36,7,179,179,100.0,36007
36,8,201,201,100.0,36008
36,9,197,197,100.0,36009
36,10,138,138,100.0,36010
36,11,254,254,100.0,36011
36,12,153,153,100.0,36012
36,13,280,280,100.0,36013
36,14,198,198,100.0,36014
36,15,193,193,100.0,36015
36,16,311,311,100.0,36016
36,17,160,160,100.0,36017
36,18,207,207,100.0,36018
36,19,223,223,100.0,36019
36,20,224,224,100.0,36020
36,21,345,345,100.0,36021
36,22,263,263,100.0,36022
36,23,115,115,100.0,36023
36,24,233,233,100.0,36024
36,25,141,141,100.0,36025
36,26,206,206,100.0,36026
36,27,123,123,100.0,36027
36,28,178,178,100.0,36028
36,29,171,171,100.0,36029
36,30,240,240,100.0,36030
36,31,228,228,100.0,36031
36,32,187,187,100.0,36032
36,33,166,166,100.0,36033
36,34,151,151,100.0,36034
36,35,228,228,100.0,36035
36,36,178,178,100.0,36036
36,37,176,176,100.0,36037
36,38,143,143,100.0,36038
36,39,198,198,100.0,36039
36,40,239,239,100.0,36040
36,41,160,160,100.0,36041
36,42,175,175,100.0,36042
36,43,154,154,100.0,36043
36,44,244,244,100.0,36044
36,45,189,189,100.0,36045
36,46,178,178,100.0,36046
36,47,150,150,100.0,36047
36,48,154,154,100.0,36048
36,49,230,230,100.0,36049
36,50,172,172,100.0,36050
36,51,231,231,100.0,36051
36,52,181,181,100.0,36052
36,53,146,146,100.0,36053
36,54,283,283,100.0,36054
36,55,285,285,100.0,36055
37,11,78,78,100.0,37011
37,16,218,218,100.0,37016
37,24,228,228,100.0,37024
37,26,246,246,100.0,37026
37,39,11,11,100.0,37039
38,2,157,157,100.0,38002
38,3,148,148,100.0,38003
38,6,201,201,100.0,38006
38,8,130,130,100.0,38008
38,9,152,152,100.0,38009
38,10,150,150,100.0,38010
38,11,135,135,100.0,38011
38,12,212,212,100.0,38012
38,13,183,183,100.0,38013
38,14,167,167,100.0,38014
38,15,132,132,100.0,38015
38,16,183,183,100.0,38016
38,17,160,160,100.0,38017
38,18,190,190,100.0,38018
38,19,223,223,100.0,38019
38,20,238,238,100.0,38020
38,21,177,177,100.0,38021
38,22,187,187,100.0,38022
38,23,137,137,100.0,38023
38,24,127,127,100.0,38024
38,25,170,170,100.0,38025
38,26,143,143,100.0,38026
38,27,116,116,100.0,38027
38,28,148,148,100.0,38028
38,29,176,176,100.0,38029
38,30,189,189,100.0,38030
38,31,212,212,100.0,38031
38,32,198,198,100.0,38032
38,33,149,149,100.0,38033
38,34,131,131,100.0,38034
38,35,211,211,100.0,38035
38,36,180,180,100.0,38036
38,37,181,181,100.0,38037
38,38,224,224,100.0,38038
38,39,176,176,100.0,38039
38,40,135,135,100.0,38040
38,43,195,195,100.0,38043
38,44,194,194,100.0,38044
38,45,217,217,100.0,38045
38,46,173,173,100.0,38046
38,47,175,175,100.0,38047
38,48,180,180,100.0,38048
38,49,155,155,100.0,38049
38,50,191,191,100.0,38050
38,51,139,139,100.0,38051
38,52,179,179,100.0,38052
38,53,45,45,100.0,38053
41,25,115,115,100.0,41025
41,26,120,120,100.0,41026
41,27,90,90,100.0,41027
41,28,214,214,100.0,41028
41,29,122,122,100.0,41029
41,48,154,154,100.0,41048
45,1,178,178,100.0,45001
45,20,53,53,100.0,45020
