ward,precinct,total,John J. Cullerton,John J. Cullerton Percent,William S. Hackney,William S. Hackney Percent,precinct_id
1,28,60,48,80.0,12,20.0,01028
1,42,4,4,100.0,0,0.0,01042
32,7,208,154,74.04,54,25.96,32007
32,8,365,268,73.42,97,26.58,32008
32,9,429,376,87.65,53,12.35,32009
32,10,282,214,75.89,68,24.11,32010
32,13,126,92,73.02,34,26.98,32013
32,15,220,188,85.45,32,14.55,32015
32,16,162,132,81.48,30,18.52,32016
32,18,257,195,75.88,62,24.12,32018
32,19,268,234,87.31,34,12.69,32019
32,20,258,195,75.58,63,24.42,32020
32,21,228,181,79.39,47,20.61,32021
32,22,336,273,81.25,63,18.75,32022
32,23,280,226,80.71,54,19.29,32023
32,24,283,202,71.38,81,28.62,32024
32,25,230,195,84.78,35,15.22,32025
32,27,265,206,77.74,59,22.26,32027
32,28,205,173,84.39,32,15.61,32028
32,29,28,25,89.29,3,10.71,32029
32,30,288,199,69.1,89,30.9,32030
32,32,306,222,72.55,84,27.45,32032
32,34,71,53,74.65,18,25.35,32034
32,37,238,202,84.87,36,15.13,32037
32,38,309,257,83.17,52,16.83,32038
32,39,333,250,75.08,83,24.92,32039
32,40,339,278,82.01,61,17.99,32040
32,41,318,251,78.93,67,21.07,32041
32,42,379,307,81.0,72,19.0,32042
32,43,341,247,72.43,94,27.57,32043
32,44,199,165,82.91,34,17.09,32044
32,45,249,200,80.32,49,19.68,32045
32,47,390,284,72.82,106,27.18,32047
32,48,394,282,71.57,112,28.43,32048
32,49,191,151,79.06,40,20.94,32049
32,50,339,255,75.22,84,24.78,32050
33,4,0,0,0.0,0,0.0,33004
33,7,420,365,86.9,55,13.1,33007
33,8,322,285,88.51,37,11.49,33008
33,10,374,320,85.56,54,14.44,33010
33,24,450,401,89.11,49,10.89,33024
40,5,269,237,88.1,32,11.9,40005
40,6,255,227,89.02,28,10.98,40006
40,20,180,149,82.78,31,17.22,40020
42,8,378,288,76.19,90,23.81,42008
42,10,256,192,75.0,64,25.0,42010
42,15,331,248,74.92,83,25.08,42015
42,16,197,142,72.08,55,27.92,42016
42,26,304,256,84.21,48,15.79,42026
42,28,330,250,75.76,80,24.24,42028
42,30,214,156,72.9,58,27.1,42030
42,33,371,294,79.25,77,20.75,42033
42,34,271,228,84.13,43,15.87,42034
42,36,247,170,68.83,77,31.17,42036
43,2,321,245,76.32,76,23.68,43002
43,4,362,270,74.59,92,25.41,43004
43,6,246,203,82.52,43,17.48,43006
43,7,304,230,75.66,74,24.34,43007
43,8,380,306,80.53,74,19.47,43008
43,12,353,285,80.74,68,19.26,43012
43,14,270,208,77.04,62,22.96,43014
43,16,291,218,74.91,73,25.09,43016
43,17,356,264,74.16,92,25.84,43017
43,18,369,267,72.36,102,27.64,43018
43,20,313,242,77.32,71,22.68,43020
43,21,290,218,75.17,72,24.83,43021
43,22,233,165,70.82,68,29.18,43022
43,23,238,189,79.41,49,20.59,43023
43,24,336,247,73.51,89,26.49,43024
43,25,295,253,85.76,42,14.24,43025
43,26,250,180,72.0,70,28.0,43026
43,27,247,196,79.35,51,20.65,43027
43,28,396,269,67.93,127,32.07,43028
43,29,244,190,77.87,54,22.13,43029
43,31,338,261,77.22,77,22.78,43031
43,32,304,246,80.92,58,19.08,43032
43,33,149,114,76.51,35,23.49,43033
43,34,158,131,82.91,27,17.09,43034
43,36,260,189,72.69,71,27.31,43036
43,38,230,187,81.3,43,18.7,43038
43,39,222,152,68.47,70,31.53,43039
43,41,158,122,77.22,36,22.78,43041
43,42,291,215,73.88,76,26.12,43042
43,43,232,167,71.98,65,28.02,43043
43,44,331,257,77.64,74,22.36,43044
43,45,102,82,80.39,20,19.61,43045
43,46,406,269,66.26,137,33.74,43046
43,48,311,252,81.03,59,18.97,43048
43,49,269,212,78.81,57,21.19,43049
43,50,208,175,84.13,33,15.87,43050
43,52,278,202,72.66,76,27.34,43052
43,53,328,256,78.05,72,21.95,43053
43,56,162,123,75.93,39,24.07,43056
43,57,253,195,77.08,58,22.92,43057
43,58,248,192,77.42,56,22.58,43058
