ward,precinct,total,Daniel J. Burke,Daniel J. Burke Percent,precinct_id
13,3,281,281,100.0,13003
13,18,186,186,100.0,13018
13,20,231,231,100.0,13020
13,31,242,242,100.0,13031
14,1,120,120,100.0,14001
14,2,159,159,100.0,14002
14,3,257,257,100.0,14003
14,4,163,163,100.0,14004
14,5,228,228,100.0,14005
14,6,175,175,100.0,14006
14,9,214,214,100.0,14009
14,11,150,150,100.0,14011
14,13,174,174,100.0,14013
14,15,227,227,100.0,14015
14,24,116,116,100.0,14024
14,25,183,183,100.0,14025
14,27,223,223,100.0,14027
14,28,206,206,100.0,14028
14,32,115,115,100.0,14032
14,34,116,116,100.0,14034
15,1,49,49,100.0,15001
15,10,151,151,100.0,15010
15,16,127,127,100.0,15016
16,17,179,179,100.0,16017
16,32,92,92,100.0,16032
16,39,155,155,100.0,16039
22,2,122,122,100.0,22002
22,3,192,192,100.0,22003
22,4,176,176,100.0,22004
22,5,165,165,100.0,22005
22,6,143,143,100.0,22006
22,10,144,144,100.0,22010
22,12,123,123,100.0,22012
22,13,208,208,100.0,22013
22,14,104,104,100.0,22014
22,16,183,183,100.0,22016
22,17,156,156,100.0,22017
22,18,148,148,100.0,22018
22,20,201,201,100.0,22020
22,23,158,158,100.0,22023
22,24,125,125,100.0,22024
22,25,142,142,100.0,22025
22,26,117,117,100.0,22026
22,27,194,194,100.0,22027
22,28,25,25,100.0,22028
23,5,230,230,100.0,23005
23,6,265,265,100.0,23006
23,7,6,6,100.0,23007
23,9,252,252,100.0,23009
23,10,272,272,100.0,23010
23,14,89,89,100.0,23014
23,24,172,172,100.0,23024
23,25,171,171,100.0,23025
23,29,239,239,100.0,23029
23,31,258,258,100.0,23031
23,32,260,260,100.0,23032
23,33,260,260,100.0,23033
23,37,3,3,100.0,23037
23,41,226,226,100.0,23041
23,50,154,154,100.0,23050
23,51,208,208,100.0,23051
23,53,154,154,100.0,23053
