ward,precinct,total,Richard T. Bradley,Richard T. Bradley Percent,precinct_id
1,7,107,107,100.0,01007
1,16,92,92,100.0,01016
1,19,191,191,100.0,01019
1,28,94,94,100.0,01028
1,41,157,157,100.0,01041
1,42,144,144,100.0,01042
30,1,191,191,100.0,30001
30,3,264,264,100.0,30003
30,7,140,140,100.0,30007
30,8,196,196,100.0,30008
30,13,158,158,100.0,30013
30,14,69,69,100.0,30014
30,15,200,200,100.0,30015
30,16,182,182,100.0,30016
30,30,187,187,100.0,30030
30,38,229,229,100.0,30038
30,39,173,173,100.0,30039
31,8,136,136,100.0,31008
31,26,88,88,100.0,31026
32,34,0,0,0.0,32034
33,1,308,308,100.0,33001
33,2,290,290,100.0,33002
33,3,293,293,100.0,33003
33,4,328,328,100.0,33004
33,5,247,247,100.0,33005
33,6,343,343,100.0,33006
33,9,295,295,100.0,33009
33,11,291,291,100.0,33011
33,12,328,328,100.0,33012
33,13,283,283,100.0,33013
33,14,235,235,100.0,33014
33,15,292,292,100.0,33015
33,16,254,254,100.0,33016
33,17,338,338,100.0,33017
33,18,64,64,100.0,33018
33,19,347,347,100.0,33019
33,20,300,300,100.0,33020
33,21,314,314,100.0,33021
33,22,340,340,100.0,33022
33,23,317,317,100.0,33023
33,25,366,366,100.0,33025
33,26,276,276,100.0,33026
33,27,251,251,100.0,33027
35,1,8,8,100.0,35001
35,4,264,264,100.0,35004
35,22,89,89,100.0,35022
35,24,0,0,0.0,35024
35,26,259,259,100.0,35026
35,33,153,153,100.0,35033
38,10,32,32,100.0,38010
38,24,137,137,100.0,38024
38,34,141,141,100.0,38034
39,12,212,212,100.0,39012
39,13,135,135,100.0,39013
39,22,210,210,100.0,39022
39,23,139,139,100.0,39023
39,24,236,236,100.0,39024
39,27,231,231,100.0,39027
39,28,250,250,100.0,39028
39,29,225,225,100.0,39029
39,30,148,148,100.0,39030
39,31,157,157,100.0,39031
39,44,294,294,100.0,39044
39,46,175,175,100.0,39046
