ward,precinct,total,Earlean Collins,Earlean Collins Percent,Henrietta S. Butler,Henrietta S. Butler Percent,precinct_id
1,2,194,166,85.57,28,14.43,01002
1,3,190,167,87.89,23,12.11,01003
1,4,225,201,89.33,24,10.67,01004
1,5,222,186,83.78,36,16.22,01005
1,6,91,70,76.92,21,23.08,01006
1,8,228,193,84.65,35,15.35,01008
1,10,254,209,82.28,45,17.72,01010
1,11,194,160,82.47,34,17.53,01011
1,17,209,189,90.43,20,9.57,01017
1,21,191,162,84.82,29,15.18,01021
1,23,3,2,66.67,1,33.33,01023
1,25,196,165,84.18,31,15.82,01025
1,26,190,147,77.37,43,22.63,01026
1,36,198,157,79.29,41,20.71,01036
1,37,171,147,85.96,24,14.04,01037
1,46,217,173,79.72,44,20.28,01046
1,47,162,139,85.8,23,14.2,01047
1,48,110,86,78.18,24,21.82,01048
1,49,126,113,89.68,13,10.32,01049
1,50,138,120,86.96,18,13.04,01050
2,3,274,222,81.02,52,18.98,02003
2,5,144,141,97.92,3,2.08,02005
2,6,20,15,75.0,5,25.0,02006
2,16,257,192,74.71,65,25.29,02016
2,23,170,155,91.18,15,8.82,02023
2,24,151,142,94.04,9,5.96,02024
2,45,223,214,95.96,9,4.04,02045
2,52,280,269,96.07,11,3.93,02052
2,53,76,75,98.68,1,1.32,02053
2,57,149,143,95.97,6,4.03,02057
24,55,90,86,95.56,4,4.44,24055
24,59,103,101,98.06,2,1.94,24059
26,46,74,63,85.14,11,14.86,26046
27,2,177,170,96.05,7,3.95,27002
27,3,201,193,96.02,8,3.98,27003
27,4,116,109,93.97,7,6.03,27004
27,7,217,148,68.2,69,31.8,27007
27,8,200,197,98.5,3,1.5,27008
27,10,280,270,96.43,10,3.57,27010
27,14,268,259,96.64,9,3.36,27014
27,15,156,149,95.51,7,4.49,27015
27,17,162,114,70.37,48,29.63,27017
27,18,207,157,75.85,50,24.15,27018
27,19,194,189,97.42,5,2.58,27019
27,22,206,203,98.54,3,1.46,27022
27,23,38,38,100.0,0,0.0,27023
27,24,191,189,98.95,2,1.05,27024
27,25,151,145,96.03,6,3.97,27025
27,26,176,172,97.73,4,2.27,27026
27,27,149,141,94.63,8,5.37,27027
27,29,165,163,98.79,2,1.21,27029
27,30,107,105,98.13,2,1.87,27030
27,31,140,140,100.0,0,0.0,27031
27,33,191,171,89.53,20,10.47,27033
27,34,185,183,98.92,2,1.08,27034
27,36,186,175,94.09,11,5.91,27036
27,40,144,142,98.61,2,1.39,27040
27,41,243,184,75.72,59,24.28,27041
27,44,157,154,98.09,3,1.91,27044
27,45,146,140,95.89,6,4.11,27045
27,46,211,204,96.68,7,3.32,27046
27,47,157,152,96.82,5,3.18,27047
27,48,228,226,99.12,2,0.88,27048
27,49,212,207,97.64,5,2.36,27049
27,50,48,35,72.92,13,27.08,27050
27,52,175,172,98.29,3,1.71,27052
27,53,154,129,83.77,25,16.23,27053
27,54,1,1,100.0,0,0.0,27054
27,55,165,159,96.36,6,3.64,27055
27,56,134,118,88.06,16,11.94,27056
27,57,176,148,84.09,28,15.91,27057
27,59,2,2,100.0,0,0.0,27059
28,1,173,169,97.69,4,2.31,28001
28,2,245,240,97.96,5,2.04,28002
28,3,148,142,95.95,6,4.05,28003
28,4,247,244,98.79,3,1.21,28004
28,5,186,176,94.62,10,5.38,28005
28,6,161,158,98.14,3,1.86,28006
28,7,208,202,97.12,6,2.88,28007
28,8,166,162,97.59,4,2.41,28008
28,9,158,158,100.0,0,0.0,28009
28,11,165,163,98.79,2,1.21,28011
28,12,162,159,98.15,3,1.85,28012
28,13,122,121,99.18,1,0.82,28013
28,14,134,132,98.51,2,1.49,28014
28,15,196,193,98.47,3,1.53,28015
28,16,175,174,99.43,1,0.57,28016
28,17,170,164,96.47,6,3.53,28017
28,18,263,251,95.44,12,4.56,28018
28,19,201,199,99.0,2,1.0,28019
28,20,238,230,96.64,8,3.36,28020
