ward,precinct,total,Jerry ''Iceman'' Butler,Jerry ''Iceman'' Butler Percent,Maurice Perkins,Maurice Perkins Percent,precinct_id
2,7,275,267,97.09,8,2.91,02007
2,14,358,334,93.3,24,6.7,02014
2,18,297,218,73.4,79,26.6,02018
2,19,324,217,66.98,107,33.02,02019
2,20,292,275,94.18,17,5.82,02020
2,21,313,278,88.82,35,11.18,02021
2,26,461,347,75.27,114,24.73,02026
2,31,286,274,95.8,12,4.2,02031
2,44,200,200,100.0,0,0.0,02044
2,46,361,354,98.06,7,1.94,02046
2,60,537,352,65.55,185,34.45,02060
3,1,235,229,97.45,6,2.55,03001
3,2,318,307,96.54,11,3.46,03002
3,4,174,170,97.7,4,2.3,03004
3,5,240,223,92.92,17,7.08,03005
3,6,135,132,97.78,3,2.22,03006
3,7,229,220,96.07,9,3.93,03007
3,8,5,5,100.0,0,0.0,03008
3,9,184,178,96.74,6,3.26,03009
3,11,249,243,97.59,6,2.41,03011
3,15,260,247,95.0,13,5.0,03015
3,16,208,205,98.56,3,1.44,03016
3,19,13,13,100.0,0,0.0,03019
3,20,182,172,94.51,10,5.49,03020
3,23,40,40,100.0,0,0.0,03023
3,24,167,162,97.01,5,2.99,03024
3,28,109,105,96.33,4,3.67,03028
3,30,198,195,98.48,3,1.52,03030
3,31,301,295,98.01,6,1.99,03031
3,32,188,185,98.4,3,1.6,03032
3,33,300,297,99.0,3,1.0,03033
3,34,183,177,96.72,6,3.28,03034
3,35,211,208,98.58,3,1.42,03035
3,37,64,60,93.75,4,6.25,03037
3,38,269,260,96.65,9,3.35,03038
3,39,271,263,97.05,8,2.95,03039
3,40,180,173,96.11,7,3.89,03040
3,41,207,201,97.1,6,2.9,03041
3,43,104,101,97.12,3,2.88,03043
3,46,99,96,96.97,3,3.03,03046
3,49,71,70,98.59,1,1.41,03049
3,53,201,180,89.55,21,10.45,03053
4,1,233,211,90.56,22,9.44,04001
4,2,322,311,96.58,11,3.42,04002
4,3,376,369,98.14,7,1.86,04003
4,4,340,334,98.24,6,1.76,04004
4,5,310,303,97.74,7,2.26,04005
4,6,132,131,99.24,1,0.76,04006
4,7,287,275,95.82,12,4.18,04007
4,8,297,291,97.98,6,2.02,04008
4,9,550,539,98.0,11,2.0,04009
4,10,288,281,97.57,7,2.43,04010
4,11,280,272,97.14,8,2.86,04011
4,12,166,160,96.39,6,3.61,04012
4,13,231,216,93.51,15,6.49,04013
4,14,241,238,98.76,3,1.24,04014
4,15,177,167,94.35,10,5.65,04015
4,16,350,341,97.43,9,2.57,04016
4,17,280,251,89.64,29,10.36,04017
4,18,301,291,96.68,10,3.32,04018
4,19,313,305,97.44,8,2.56,04019
4,20,93,90,96.77,3,3.23,04020
4,21,358,334,93.3,24,6.7,04021
4,22,380,365,96.05,15,3.95,04022
4,23,203,176,86.7,27,13.3,04023
4,24,305,290,95.08,15,4.92,04024
4,25,307,301,98.05,6,1.95,04025
4,26,309,301,97.41,8,2.59,04026
4,27,251,248,98.8,3,1.2,04027
4,28,206,174,84.47,32,15.53,04028
4,29,258,229,88.76,29,11.24,04029
4,30,73,69,94.52,4,5.48,04030
4,31,132,129,97.73,3,2.27,04031
4,32,334,294,88.02,40,11.98,04032
4,33,187,180,96.26,7,3.74,04033
4,34,246,205,83.33,41,16.67,04034
4,35,207,203,98.07,4,1.93,04035
4,36,175,172,98.29,3,1.71,04036
4,37,119,114,95.8,5,4.2,04037
4,38,413,381,92.25,32,7.75,04038
4,39,174,168,96.55,6,3.45,04039
4,40,267,251,94.01,16,5.99,04040
4,41,157,135,85.99,22,14.01,04041
4,42,326,314,96.32,12,3.68,04042
4,43,216,200,92.59,16,7.41,04043
4,44,215,194,90.23,21,9.77,04044
4,45,469,442,94.24,27,5.76,04045
4,46,243,235,96.71,8,3.29,04046
4,47,393,359,91.35,34,8.65,04047
4,48,385,346,89.87,39,10.13,04048
4,49,212,204,96.23,8,3.77,04049
4,50,248,243,97.98,5,2.02,04050
4,51,313,303,96.81,10,3.19,04051
4,52,344,336,97.67,8,2.33,04052
4,53,253,247,97.63,6,2.37,04053
4,54,162,154,95.06,8,4.94,04054
4,55,195,173,88.72,22,11.28,04055
5,1,302,297,98.34,5,1.66,05001
5,2,243,240,98.77,3,1.23,05002
