ward,precinct,total,Larry Suffredin,Larry Suffredin Percent,precinct_id
49,1,212,212,100.0,49001
49,3,159,159,100.0,49003
49,5,247,247,100.0,49005
49,6,233,233,100.0,49006
49,8,234,234,100.0,49008
49,10,197,197,100.0,49010
49,11,200,200,100.0,49011
49,12,253,253,100.0,49012
49,13,287,287,100.0,49013
49,14,228,228,100.0,49014
49,15,150,150,100.0,49015
49,16,204,204,100.0,49016
49,18,155,155,100.0,49018
49,19,163,163,100.0,49019
49,20,264,264,100.0,49020
49,22,224,224,100.0,49022
49,23,196,196,100.0,49023
49,24,261,261,100.0,49024
49,25,258,258,100.0,49025
49,26,208,208,100.0,49026
49,27,273,273,100.0,49027
49,28,190,190,100.0,49028
49,29,261,261,100.0,49029
49,30,224,224,100.0,49030
49,31,165,165,100.0,49031
49,33,184,184,100.0,49033
49,34,237,237,100.0,49034
49,35,292,292,100.0,49035
49,36,311,311,100.0,49036
49,38,176,176,100.0,49038
49,39,190,190,100.0,49039
49,40,182,182,100.0,49040
49,41,203,203,100.0,49041
49,42,245,245,100.0,49042
50,1,253,253,100.0,50001
50,2,249,249,100.0,50002
50,3,230,230,100.0,50003
50,4,235,235,100.0,50004
50,5,248,248,100.0,50005
50,6,214,214,100.0,50006
50,7,258,258,100.0,50007
50,9,196,196,100.0,50009
50,10,133,133,100.0,50010
50,11,207,207,100.0,50011
50,12,163,163,100.0,50012
50,13,262,262,100.0,50013
50,14,122,122,100.0,50014
50,15,259,259,100.0,50015
50,16,139,139,100.0,50016
50,18,229,229,100.0,50018
50,19,192,192,100.0,50019
50,20,203,203,100.0,50020
50,21,257,257,100.0,50021
50,22,219,219,100.0,50022
50,27,92,92,100.0,50027
50,28,226,226,100.0,50028
50,30,205,205,100.0,50030
50,31,85,85,100.0,50031
50,33,176,176,100.0,50033
50,35,291,291,100.0,50035
50,36,233,233,100.0,50036
50,37,266,266,100.0,50037
50,38,175,175,100.0,50038
50,40,239,239,100.0,50040
50,41,266,266,100.0,50041
50,42,218,218,100.0,50042
