ward,precinct,total,"Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",Robert Belin,Robert Belin Percent,Anthony W. Williams,Anthony W. Williams Percent,precinct_id
8,17,262,256,97.71,2,0.76,4,1.53,08017
8,19,353,345,97.73,4,1.13,4,1.13,08019
8,23,252,244,96.83,5,1.98,3,1.19,08023
8,24,324,312,96.3,3,0.93,9,2.78,08024
8,25,297,290,97.64,2,0.67,5,1.68,08025
8,26,196,185,94.39,4,2.04,7,3.57,08026
8,27,327,312,95.41,5,1.53,10,3.06,08027
8,28,234,228,97.44,3,1.28,3,1.28,08028
8,32,422,411,97.39,5,1.18,6,1.42,08032
8,34,361,350,96.95,6,1.66,5,1.39,08034
8,36,278,273,98.2,2,0.72,3,1.08,08036
8,39,315,307,97.46,3,0.95,5,1.59,08039
8,42,297,290,97.64,3,1.01,4,1.35,08042
8,44,216,211,97.69,2,0.93,3,1.39,08044
8,46,239,231,96.65,4,1.67,4,1.67,08046
8,47,284,274,96.48,4,1.41,6,2.11,08047
8,49,331,323,97.58,0,0.0,8,2.42,08049
8,50,301,290,96.35,2,0.66,9,2.99,08050
8,51,333,326,97.9,3,0.9,4,1.2,08051
8,57,258,249,96.51,2,0.78,7,2.71,08057
8,60,226,214,94.69,7,3.1,5,2.21,08060
8,62,238,231,97.06,2,0.84,5,2.1,08062
8,63,326,315,96.63,5,1.53,6,1.84,08063
8,65,192,187,97.4,1,0.52,4,2.08,08065
8,66,432,422,97.69,5,1.16,5,1.16,08066
8,70,378,368,97.35,5,1.32,5,1.32,08070
9,1,338,328,97.04,1,0.3,9,2.66,09001
9,2,329,323,98.18,4,1.22,2,0.61,09002
9,3,185,180,97.3,1,0.54,4,2.16,09003
9,4,312,299,95.83,7,2.24,6,1.92,09004
9,5,281,275,97.86,2,0.71,4,1.42,09005
9,6,300,288,96.0,5,1.67,7,2.33,09006
9,7,269,258,95.91,1,0.37,10,3.72,09007
9,8,265,256,96.6,0,0.0,9,3.4,09008
9,9,329,321,97.57,2,0.61,6,1.82,09009
9,10,259,246,94.98,5,1.93,8,3.09,09010
9,11,247,239,96.76,1,0.4,7,2.83,09011
9,12,272,268,98.53,1,0.37,3,1.1,09012
9,13,289,283,97.92,2,0.69,4,1.38,09013
9,14,380,366,96.32,4,1.05,10,2.63,09014
9,15,277,262,94.58,5,1.81,10,3.61,09015
9,16,230,214,93.04,2,0.87,14,6.09,09016
9,17,278,274,98.56,1,0.36,3,1.08,09017
9,18,284,272,95.77,6,2.11,6,2.11,09018
9,19,301,293,97.34,5,1.66,3,1.0,09019
9,20,342,333,97.37,2,0.58,7,2.05,09020
9,21,310,303,97.74,2,0.65,5,1.61,09021
9,22,343,332,96.79,5,1.46,6,1.75,09022
9,23,252,244,96.83,2,0.79,6,2.38,09023
9,24,177,171,96.61,0,0.0,6,3.39,09024
9,25,224,170,75.89,40,17.86,14,6.25,09025
9,26,173,167,96.53,2,1.16,4,2.31,09026
9,27,296,287,96.96,3,1.01,6,2.03,09027
9,28,177,166,93.79,8,4.52,3,1.69,09028
9,29,259,253,97.68,0,0.0,6,2.32,09029
9,30,222,211,95.05,4,1.8,7,3.15,09030
9,31,258,249,96.51,4,1.55,5,1.94,09031
9,32,302,291,96.36,4,1.32,7,2.32,09032
