ward,precinct,total,Dan Kotowski,Dan Kotowski Percent,Cheryl Axley,Cheryl Axley Percent,precinct_id
41,13,205,148,72.2,57,27.8,41013
41,25,179,134,74.86,45,25.14,41025
41,26,186,128,68.82,58,31.18,41026
41,28,281,193,68.68,88,31.32,41028
41,29,171,118,69.01,53,30.99,41029
41,32,259,167,64.48,92,35.52,41032
41,48,220,161,73.18,59,26.82,41048
