ward,precinct,total,Jodi L. Biancalana,Jodi L. Biancalana Percent,Peter N. Silvestri,Peter N. Silvestri Percent,precinct_id
29,9,184,131,71.2,53,28.8,29009
29,32,189,133,70.37,56,29.63,29032
30,2,137,96,70.07,41,29.93,30002
36,1,244,137,56.15,107,43.85,36001
36,2,204,126,61.76,78,38.24,36002
36,3,350,233,66.57,117,33.43,36003
36,4,158,107,67.72,51,32.28,36004
36,5,219,92,42.01,127,57.99,36005
36,6,248,141,56.85,107,43.15,36006
36,7,227,95,41.85,132,58.15,36007
36,8,268,117,43.66,151,56.34,36008
36,9,250,114,45.6,136,54.4,36009
36,10,173,87,50.29,86,49.71,36010
36,11,327,145,44.34,182,55.66,36011
36,12,194,97,50.0,97,50.0,36012
36,13,426,351,82.39,75,17.61,36013
36,14,275,135,49.09,140,50.91,36014
36,15,244,124,50.82,120,49.18,36015
36,16,385,230,59.74,155,40.26,36016
36,17,243,84,34.57,159,65.43,36017
36,18,315,122,38.73,193,61.27,36018
36,19,276,156,56.52,120,43.48,36019
36,20,317,141,44.48,176,55.52,36020
36,21,445,203,45.62,242,54.38,36021
36,22,338,220,65.09,118,34.91,36022
36,25,180,90,50.0,90,50.0,36025
36,26,284,136,47.89,148,52.11,36026
36,27,160,64,40.0,96,60.0,36027
36,28,224,103,45.98,121,54.02,36028
36,29,217,98,45.16,119,54.84,36029
36,30,293,119,40.61,174,59.39,36030
36,31,293,140,47.78,153,52.22,36031
36,32,250,130,52.0,120,48.0,36032
36,33,195,122,62.56,73,37.44,36033
36,34,215,76,35.35,139,64.65,36034
36,35,301,128,42.52,173,57.48,36035
36,36,48,35,72.92,13,27.08,36036
36,37,236,110,46.61,126,53.39,36037
36,38,168,88,52.38,80,47.62,36038
36,39,260,106,40.77,154,59.23,36039
36,40,323,152,47.06,171,52.94,36040
36,42,221,110,49.77,111,50.23,36042
36,45,248,141,56.85,107,43.15,36045
36,46,229,89,38.86,140,61.14,36046
36,47,199,100,50.25,99,49.75,36047
36,48,214,88,41.12,126,58.88,36048
36,49,308,130,42.21,178,57.79,36049
36,50,215,107,49.77,108,50.23,36050
36,51,291,169,58.08,122,41.92,36051
36,52,217,133,61.29,84,38.71,36052
36,53,174,102,58.62,72,41.38,36053
36,55,359,213,59.33,146,40.67,36055
38,3,192,96,50.0,96,50.0,38003
38,8,165,84,50.91,81,49.09,38008
38,12,280,149,53.21,131,46.79,38012
38,19,284,142,50.0,142,50.0,38019
38,38,284,151,53.17,133,46.83,38038
41,1,376,155,41.22,221,58.78,41001
41,2,406,170,41.87,236,58.13,41002
41,3,367,170,46.32,197,53.68,41003
41,4,377,124,32.89,253,67.11,41004
41,5,389,155,39.85,234,60.15,41005
41,6,298,114,38.26,184,61.74,41006
41,7,432,184,42.59,248,57.41,41007
41,8,366,156,42.62,210,57.38,41008
41,9,374,164,43.85,210,56.15,41009
41,10,282,109,38.65,173,61.35,41010
41,11,388,139,35.82,249,64.18,41011
41,12,350,164,46.86,186,53.14,41012
41,13,203,88,43.35,115,56.65,41013
41,14,359,136,37.88,223,62.12,41014
41,15,360,117,32.5,243,67.5,41015
41,16,384,154,40.1,230,59.9,41016
41,17,368,154,41.85,214,58.15,41017
41,18,338,156,46.15,182,53.85,41018
41,19,121,45,37.19,76,62.81,41019
41,20,409,164,40.1,245,59.9,41020
41,21,373,172,46.11,201,53.89,41021
41,22,324,104,32.1,220,67.9,41022
41,23,294,117,39.8,177,60.2,41023
41,24,343,129,37.61,214,62.39,41024
41,25,160,98,61.25,62,38.75,41025
41,26,180,77,42.78,103,57.22,41026
41,27,120,68,56.67,52,43.33,41027
41,28,275,158,57.45,117,42.55,41028
41,29,164,84,51.22,80,48.78,41029
41,30,397,187,47.1,210,52.9,41030
41,31,376,137,36.44,239,63.56,41031
41,32,260,94,36.15,166,63.85,41032
41,33,284,94,33.1,190,66.9,41033
41,34,276,91,32.97,185,67.03,41034
41,35,396,155,39.14,241,60.86,41035
41,36,414,140,33.82,274,66.18,41036
41,37,380,127,33.42,253,66.58,41037
41,38,353,150,42.49,203,57.51,41038
41,39,263,107,40.68,156,59.32,41039
41,40,401,133,33.17,268,66.83,41040
41,41,373,174,46.65,199,53.35,41041
41,42,422,143,33.89,279,66.11,41042
41,43,377,160,42.44,217,57.56,41043
41,44,324,116,35.8,208,64.2,41044
41,45,306,136,44.44,170,55.56,41045
41,46,279,124,44.44,155,55.56,41046
41,47,319,113,35.42,206,64.58,41047
41,48,212,111,52.36,101,47.64,41048
41,49,422,165,39.1,257,60.9,41049
41,50,347,146,42.07,201,57.93,41050
41,51,231,98,42.42,133,57.58,41051
41,52,440,139,31.59,301,68.41,41052
41,53,333,156,46.85,177,53.15,41053
41,54,271,92,33.95,179,66.05,41054
41,55,326,86,26.38,240,73.62,41055
41,56,429,171,39.86,258,60.14,41056
41,57,286,138,48.25,148,51.75,41057
