ward,precinct,total,Esther Golar,Esther Golar Percent,precinct_id
3,10,105,105,100.0,03010
3,12,225,225,100.0,03012
3,13,161,161,100.0,03013
3,21,113,113,100.0,03021
3,25,166,166,100.0,03025
3,36,3,3,100.0,03036
3,44,87,87,100.0,03044
3,48,159,159,100.0,03048
3,50,188,188,100.0,03050
3,51,80,80,100.0,03051
3,52,84,84,100.0,03052
11,12,165,165,100.0,11012
11,13,155,155,100.0,11013
11,15,163,163,100.0,11015
11,23,197,197,100.0,11023
11,25,4,4,100.0,11025
11,27,192,192,100.0,11027
11,28,194,194,100.0,11028
11,30,0,0,0.0,11030
11,31,136,136,100.0,11031
11,32,137,137,100.0,11032
11,33,157,157,100.0,11033
11,34,114,114,100.0,11034
11,35,322,322,100.0,11035
11,36,11,11,100.0,11036
11,37,257,257,100.0,11037
11,39,306,306,100.0,11039
11,42,145,145,100.0,11042
11,43,213,213,100.0,11043
11,46,141,141,100.0,11046
11,48,63,63,100.0,11048
11,49,136,136,100.0,11049
12,9,8,8,100.0,12009
12,16,67,67,100.0,12016
15,2,167,167,100.0,15002
15,3,166,166,100.0,15003
15,4,177,177,100.0,15004
15,5,176,176,100.0,15005
15,17,175,175,100.0,15017
15,18,137,137,100.0,15018
15,19,178,178,100.0,15019
15,20,155,155,100.0,15020
15,22,215,215,100.0,15022
15,23,143,143,100.0,15023
15,24,237,237,100.0,15024
15,26,127,127,100.0,15026
15,29,87,87,100.0,15029
15,30,159,159,100.0,15030
15,31,154,154,100.0,15031
15,33,116,116,100.0,15033
15,35,178,178,100.0,15035
15,36,140,140,100.0,15036
15,37,151,151,100.0,15037
15,38,164,164,100.0,15038
15,39,194,194,100.0,15039
15,40,166,166,100.0,15040
15,43,144,144,100.0,15043
15,48,135,135,100.0,15048
15,49,61,61,100.0,15049
15,50,173,173,100.0,15050
15,52,114,114,100.0,15052
16,1,149,149,100.0,16001
16,2,142,142,100.0,16002
16,3,175,175,100.0,16003
16,4,134,134,100.0,16004
16,5,187,187,100.0,16005
16,6,78,78,100.0,16006
16,7,174,174,100.0,16007
16,8,233,233,100.0,16008
16,9,243,243,100.0,16009
16,10,137,137,100.0,16010
16,12,144,144,100.0,16012
16,14,188,188,100.0,16014
16,15,230,230,100.0,16015
16,16,204,204,100.0,16016
16,18,179,179,100.0,16018
16,19,163,163,100.0,16019
16,20,190,190,100.0,16020
16,22,161,161,100.0,16022
16,24,112,112,100.0,16024
16,25,138,138,100.0,16025
16,26,169,169,100.0,16026
16,27,221,221,100.0,16027
16,28,216,216,100.0,16028
16,29,97,97,100.0,16029
16,30,134,134,100.0,16030
16,31,220,220,100.0,16031
16,33,148,148,100.0,16033
16,34,137,137,100.0,16034
16,36,189,189,100.0,16036
16,37,120,120,100.0,16037
16,38,179,179,100.0,16038
16,40,205,205,100.0,16040
16,42,0,0,0.0,16042
16,43,210,210,100.0,16043
16,44,182,182,100.0,16044
16,45,119,119,100.0,16045
16,46,61,61,100.0,16046
17,13,0,0,0.0,17013
17,14,27,27,100.0,17014
20,8,79,79,100.0,20008
20,12,120,120,100.0,20012
20,13,150,150,100.0,20013
20,15,171,171,100.0,20015
20,19,166,166,100.0,20019
20,20,154,154,100.0,20020
20,25,30,30,100.0,20025
20,39,181,181,100.0,20039
20,40,146,146,100.0,20040
20,41,65,65,100.0,20041
20,43,55,55,100.0,20043
20,44,261,261,100.0,20044
20,45,145,145,100.0,20045
20,48,99,99,100.0,20048
20,50,133,133,100.0,20050
