ward,precinct,total,Marlow H. Colvin,Marlow H. Colvin Percent,Nathan Peoples,Nathan Peoples Percent,precinct_id
5,4,188,185,98.4,3,1.6,05004
7,1,301,295,98.01,6,1.99,07001
7,2,317,306,96.53,11,3.47,07002
7,4,220,209,95.0,11,5.0,07004
7,5,219,211,96.35,8,3.65,07005
7,6,219,216,98.63,3,1.37,07006
7,7,164,161,98.17,3,1.83,07007
7,12,184,180,97.83,4,2.17,07012
7,13,169,164,97.04,5,2.96,07013
7,19,347,334,96.25,13,3.75,07019
7,21,240,225,93.75,15,6.25,07021
7,24,229,221,96.51,8,3.49,07024
7,25,301,292,97.01,9,2.99,07025
7,26,317,311,98.11,6,1.89,07026
7,27,348,331,95.11,17,4.89,07027
7,29,149,145,97.32,4,2.68,07029
7,30,270,262,97.04,8,2.96,07030
7,31,241,237,98.34,4,1.66,07031
7,33,204,202,99.02,2,0.98,07033
7,34,229,222,96.94,7,3.06,07034
7,38,195,188,96.41,7,3.59,07038
7,41,187,184,98.4,3,1.6,07041
7,42,371,363,97.84,8,2.16,07042
7,46,4,4,100.0,0,0.0,07046
7,47,213,207,97.18,6,2.82,07047
7,49,140,136,97.14,4,2.86,07049
7,50,160,155,96.88,5,3.13,07050
7,51,211,206,97.63,5,2.37,07051
7,52,214,210,98.13,4,1.87,07052
7,53,217,214,98.62,3,1.38,07053
7,55,211,209,99.05,2,0.95,07055
7,57,195,190,97.44,5,2.56,07057
7,58,321,311,96.88,10,3.12,07058
7,59,148,144,97.3,4,2.7,07059
7,60,163,160,98.16,3,1.84,07060
7,61,224,218,97.32,6,2.68,07061
7,62,222,220,99.1,2,0.9,07062
8,1,304,296,97.37,8,2.63,08001
8,2,152,150,98.68,2,1.32,08002
8,3,350,346,98.86,4,1.14,08003
8,4,273,268,98.17,5,1.83,08004
8,5,328,320,97.56,8,2.44,08005
8,6,307,300,97.72,7,2.28,08006
8,7,217,212,97.7,5,2.3,08007
8,8,318,312,98.11,6,1.89,08008
8,9,346,339,97.98,7,2.02,08009
8,10,376,372,98.94,4,1.06,08010
8,11,264,259,98.11,5,1.89,08011
8,12,254,249,98.03,5,1.97,08012
8,13,229,224,97.82,5,2.18,08013
8,14,217,214,98.62,3,1.38,08014
8,15,235,227,96.6,8,3.4,08015
8,16,295,283,95.93,12,4.07,08016
8,17,263,256,97.34,7,2.66,08017
8,19,348,342,98.28,6,1.72,08019
8,20,201,199,99.0,2,1.0,08020
8,21,227,221,97.36,6,2.64,08021
8,22,233,223,95.71,10,4.29,08022
8,23,253,245,96.84,8,3.16,08023
8,24,314,308,98.09,6,1.91,08024
8,25,290,284,97.93,6,2.07,08025
8,26,186,182,97.85,4,2.15,08026
8,27,317,304,95.9,13,4.1,08027
8,28,218,214,98.17,4,1.83,08028
8,29,312,305,97.76,7,2.24,08029
8,30,239,231,96.65,8,3.35,08030
8,31,218,215,98.62,3,1.38,08031
8,33,254,247,97.24,7,2.76,08033
8,35,339,330,97.35,9,2.65,08035
8,36,267,263,98.5,4,1.5,08036
8,37,1,1,100.0,0,0.0,08037
8,38,268,258,96.27,10,3.73,08038
8,40,270,262,97.04,8,2.96,08040
8,41,232,229,98.71,3,1.29,08041
8,42,287,277,96.52,10,3.48,08042
8,44,215,209,97.21,6,2.79,08044
8,46,232,224,96.55,8,3.45,08046
8,48,215,205,95.35,10,4.65,08048
8,49,322,319,99.07,3,0.93,08049
8,50,292,288,98.63,4,1.37,08050
8,51,323,310,95.98,13,4.02,08051
8,52,284,281,98.94,3,1.06,08052
8,53,335,321,95.82,14,4.18,08053
8,54,296,287,96.96,9,3.04,08054
8,55,252,245,97.22,7,2.78,08055
8,57,250,242,96.8,8,3.2,08057
8,58,285,282,98.95,3,1.05,08058
8,60,219,214,97.72,5,2.28,08060
8,61,233,230,98.71,3,1.29,08061
8,62,237,232,97.89,5,2.11,08062
8,63,319,313,98.12,6,1.88,08063
8,64,242,235,97.11,7,2.89,08064
8,65,188,184,97.87,4,2.13,08065
10,3,146,105,71.92,41,28.08,10003
10,6,226,218,96.46,8,3.54,10006
10,8,186,141,75.81,45,24.19,10008
10,9,221,170,76.92,51,23.08,10009
10,10,219,164,74.89,55,25.11,10010
10,11,220,174,79.09,46,20.91,10011
10,12,181,152,83.98,29,16.02,10012
10,13,182,153,84.07,29,15.93,10013
10,14,221,164,74.21,57,25.79,10014
10,16,209,150,71.77,59,28.23,10016
10,19,249,190,76.31,59,23.69,10019
10,20,168,140,83.33,28,16.67,10020
10,23,176,154,87.5,22,12.5,10023
10,24,196,143,72.96,53,27.04,10024
10,26,181,154,85.08,27,14.92,10026
10,27,262,208,79.39,54,20.61,10027
10,28,153,148,96.73,5,3.27,10028
10,29,207,203,98.07,4,1.93,10029
10,30,239,213,89.12,26,10.88,10030
10,31,223,181,81.17,42,18.83,10031
10,32,229,177,77.29,52,22.71,10032
10,33,196,168,85.71,28,14.29,10033
10,34,187,173,92.51,14,7.49,10034
10,35,204,182,89.22,22,10.78,10035
10,36,234,225,96.15,9,3.85,10036
10,38,240,194,80.83,46,19.17,10038
10,39,193,166,86.01,27,13.99,10039
10,40,165,155,93.94,10,6.06,10040
10,41,257,196,76.26,61,23.74,10041
10,42,181,128,70.72,53,29.28,10042
10,44,193,173,89.64,20,10.36,10044
10,46,227,201,88.55,26,11.45,10046
10,49,18,18,100.0,0,0.0,10049
