ward,precinct,total,Raymond Tibbs,Raymond Tibbs Percent,precinct_id
9,3,180,4,2.22,09003
9,7,266,5,1.88,09007
9,15,261,7,2.68,09015
9,16,222,4,1.8,09016
9,24,171,1,0.58,09024
9,26,168,1,0.6,09026
9,28,165,4,2.42,09028
9,33,187,1,0.53,09033
9,41,318,8,2.52,09041
9,42,163,3,1.84,09042
9,44,196,3,1.53,09044
9,50,248,2,0.81,09050
