ward,precinct,total,Lisa Madigan,Lisa Madigan Percent,Stewart Umholtz,Stewart Umholtz Percent,precinct_id
1,1,252,220,87.3,15,5.95,01001
1,2,219,187,85.39,17,7.76,01002
1,3,213,177,83.1,12,5.63,01003
1,4,250,218,87.2,14,5.6,01004
1,5,250,207,82.8,18,7.2,01005
1,6,245,196,80.0,31,12.65,01006
1,7,246,210,85.37,28,11.38,01007
1,8,242,200,82.64,25,10.33,01008
1,9,243,216,88.89,13,5.35,01009
1,10,275,228,82.91,21,7.64,01010
1,11,226,196,86.73,22,9.73,01011
1,12,267,222,83.15,28,10.49,01012
1,13,283,261,92.23,13,4.59,01013
1,14,258,235,91.09,15,5.81,01014
1,15,193,174,90.16,9,4.66,01015
1,16,105,97,92.38,4,3.81,01016
1,17,239,211,88.28,8,3.35,01017
1,18,196,173,88.27,7,3.57,01018
1,19,230,197,85.65,20,8.7,01019
1,20,262,235,89.69,15,5.73,01020
1,21,209,180,86.12,19,9.09,01021
1,22,226,208,92.04,9,3.98,01022
1,23,223,194,87.0,15,6.73,01023
1,24,332,294,88.55,16,4.82,01024
1,25,210,180,85.71,11,5.24,01025
1,26,216,178,82.41,22,10.19,01026
1,27,158,139,87.97,10,6.33,01027
1,28,171,159,92.98,8,4.68,01028
1,29,242,204,84.3,22,9.09,01029
1,30,345,310,89.86,18,5.22,01030
1,31,301,242,80.4,45,14.95,01031
1,32,239,212,88.7,13,5.44,01032
1,33,257,232,90.27,16,6.23,01033
1,34,157,132,84.08,9,5.73,01034
1,35,171,143,83.63,19,11.11,01035
1,36,220,179,81.36,25,11.36,01036
1,37,191,159,83.25,17,8.9,01037
1,38,142,126,88.73,10,7.04,01038
1,39,266,235,88.35,22,8.27,01039
1,40,103,84,81.55,13,12.62,01040
1,41,194,166,85.57,19,9.79,01041
1,42,182,151,82.97,20,10.99,01042
1,43,192,161,83.85,17,8.85,01043
1,44,201,162,80.6,19,9.45,01044
1,45,243,211,86.83,14,5.76,01045
1,46,242,205,84.71,22,9.09,01046
1,47,175,145,82.86,21,12.0,01047
1,48,147,124,84.35,16,10.88,01048
1,49,137,114,83.21,13,9.49,01049
1,50,155,137,88.39,10,6.45,01050
2,1,425,360,84.71,43,10.12,02001
2,2,8,8,100.0,0,0.0,02002
2,3,296,253,85.47,29,9.8,02003
2,4,220,218,99.09,1,0.45,02004
2,5,150,143,95.33,4,2.67,02005
2,6,325,268,82.46,44,13.54,02006
2,7,286,275,96.15,5,1.75,02007
2,8,374,313,83.69,41,10.96,02008
2,9,209,203,97.13,2,0.96,02009
2,10,46,45,97.83,0,0.0,02010
2,11,166,149,89.76,14,8.43,02011
2,12,423,349,82.51,61,14.42,02012
2,13,240,213,88.75,20,8.33,02013
2,14,360,336,93.33,9,2.5,02014
2,15,32,31,96.88,0,0.0,02015
2,16,317,257,81.07,50,15.77,02016
2,17,226,217,96.02,6,2.65,02017
2,18,318,260,81.76,52,16.35,02018
2,19,357,283,79.27,52,14.57,02019
2,20,299,284,94.98,10,3.34,02020
2,21,323,299,92.57,14,4.33,02021
2,22,490,425,86.73,53,10.82,02022
2,23,176,165,93.75,4,2.27,02023
2,24,155,147,94.84,5,3.23,02024
2,25,153,136,88.89,13,8.5,02025
2,26,491,424,86.35,49,9.98,02026
2,27,226,219,96.9,2,0.88,02027
2,28,173,140,80.92,22,12.72,02028
2,29,99,88,88.89,7,7.07,02029
2,30,106,102,96.23,1,0.94,02030
2,31,285,275,96.49,4,1.4,02031
2,32,119,118,99.16,0,0.0,02032
2,33,176,166,94.32,5,2.84,02033
2,34,253,242,95.65,3,1.19,02034
2,35,112,90,80.36,13,11.61,02035
2,36,135,128,94.81,3,2.22,02036
2,37,399,357,89.47,31,7.77,02037
2,38,269,258,95.91,6,2.23,02038
2,39,247,226,91.5,15,6.07,02039
2,40,360,325,90.28,19,5.28,02040
2,41,117,110,94.02,1,0.85,02041
2,42,85,82,96.47,2,2.35,02042
2,43,420,362,86.19,33,7.86,02043
2,44,201,192,95.52,3,1.49,02044
2,45,231,216,93.51,7,3.03,02045
2,46,367,356,97.0,4,1.09,02046
2,47,209,196,93.78,6,2.87,02047
2,48,179,170,94.97,5,2.79,02048
2,49,321,277,86.29,26,8.1,02049
2,50,197,173,87.82,11,5.58,02050
2,51,215,210,97.67,3,1.4,02051
2,52,282,271,96.1,4,1.42,02052
2,53,80,78,97.5,0,0.0,02053
2,54,396,347,87.63,28,7.07,02054
2,55,84,76,90.48,5,5.95,02055
2,56,235,228,97.02,2,0.85,02056
2,57,157,153,97.45,2,1.27,02057
2,58,165,145,87.88,13,7.88,02058
2,59,316,289,91.46,20,6.33,02059
2,60,574,466,81.18,93,16.2,02060
3,1,236,223,94.49,4,1.69,03001
3,2,324,314,96.91,5,1.54,03002
3,3,242,221,91.32,13,5.37,03003
3,4,178,173,97.19,1,0.56,03004
3,5,244,229,93.85,3,1.23,03005
3,6,136,132,97.06,1,0.74,03006
3,7,230,214,93.04,7,3.04,03007
3,8,49,49,100.0,0,0.0,03008
3,9,185,177,95.68,1,0.54,03009
3,10,108,106,98.15,1,0.93,03010
3,11,252,244,96.83,5,1.98,03011
3,12,241,232,96.27,3,1.24,03012
3,13,186,173,93.01,9,4.84,03013
3,14,125,118,94.4,5,4.0,03014
3,15,263,251,95.44,3,1.14,03015
3,16,211,205,97.16,0,0.0,03016
3,17,143,135,94.41,3,2.1,03017
3,18,132,126,95.45,2,1.52,03018
3,19,13,12,92.31,0,0.0,03019
3,20,183,176,96.17,1,0.55,03020
3,21,129,124,96.12,1,0.78,03021
3,22,152,141,92.76,3,1.97,03022
3,23,46,44,95.65,1,2.17,03023
3,24,171,163,95.32,2,1.17,03024
3,25,181,177,97.79,4,2.21,03025
3,26,215,209,97.21,1,0.47,03026
3,27,205,197,96.1,3,1.46,03027
3,28,110,105,95.45,3,2.73,03028
3,29,193,183,94.82,1,0.52,03029
3,30,198,194,97.98,2,1.01,03030
3,31,312,298,95.51,4,1.28,03031
3,32,190,186,97.89,1,0.53,03032
3,33,306,294,96.08,4,1.31,03033
3,34,190,182,95.79,3,1.58,03034
3,35,213,206,96.71,0,0.0,03035
3,36,113,106,93.81,4,3.54,03036
3,37,63,60,95.24,1,1.59,03037
3,38,278,269,96.76,2,0.72,03038
3,39,275,271,98.55,3,1.09,03039
3,40,184,179,97.28,3,1.63,03040
3,41,216,205,94.91,2,0.93,03041
3,42,178,164,92.13,2,1.12,03042
3,43,108,104,96.3,1,0.93,03043
3,44,97,94,96.91,1,1.03,03044
3,45,250,233,93.2,7,2.8,03045
